fecha,anio,mes,dia,trimestre,idTiempo
2024-05-26,2024,5,26,2,131
2023-02-06,2023,2,6,1,132
2022-02-02,2022,2,2,1,133
2023-05-21,2023,5,21,2,134
2023-03-06,2023,3,6,1,135
2022-01-28,2022,1,28,1,136
2021-07-26,2021,7,26,3,137
2023-11-05,2023,11,5,4,138
2023-06-11,2023,6,11,2,139
2023-05-14,2023,5,14,2,140
2023-01-13,2023,1,13,1,141
2024-06-18,2024,6,18,2,142
2022-07-18,2022,7,18,3,143
2023-10-18,2023,10,18,4,144
2021-04-06,2021,4,6,2,145
2022-04-30,2022,4,30,2,146
2024-12-01,2024,12,1,4,147
2023-01-19,2023,1,19,1,148
2024-04-09,2024,4,9,2,149
2022-06-25,2022,6,25,2,150
2023-11-26,2023,11,26,4,151
2022-06-09,2022,6,9,2,152
2024-03-29,2024,3,29,1,153
2024-06-20,2024,6,20,2,154
2024-01-15,2024,1,15,1,155
2022-08-01,2022,8,1,3,156
2022-11-13,2022,11,13,4,157
2022-07-11,2022,7,11,3,158
2023-10-10,2023,10,10,4,159
2022-10-08,2022,10,8,4,160
2023-03-07,2023,3,7,1,161
2024-09-16,2024,9,16,3,162
2024-10-03,2024,10,3,4,163
2024-06-08,2024,6,8,2,164
2024-06-02,2024,6,2,2,165
2024-11-09,2024,11,9,4,166
2024-11-01,2024,11,1,4,167
2024-07-30,2024,7,30,3,168
2022-09-25,2022,9,25,3,169
2022-09-20,2022,9,20,3,170
2023-08-31,2023,8,31,3,171
2024-07-06,2024,7,6,3,172
2024-10-14,2024,10,14,4,173
2022-12-11,2022,12,11,4,174
2024-12-05,2024,12,5,4,175
2022-10-11,2022,10,11,4,176
2021-11-14,2021,11,14,4,177
2024-06-11,2024,6,11,2,178
2022-10-26,2022,10,26,4,179
2024-10-29,2024,10,29,4,180
2024-06-10,2024,6,10,2,181
2024-02-11,2024,2,11,1,182
2022-03-18,2022,3,18,1,183
2024-07-15,2024,7,15,3,184
2024-11-10,2024,11,10,4,185
2024-11-11,2024,11,11,4,186
2023-08-10,2023,8,10,3,187
2022-11-30,2022,11,30,4,188
2021-04-23,2021,4,23,2,189
2021-01-02,2021,1,2,1,190
2022-10-04,2022,10,4,4,191
2021-08-08,2021,8,8,3,192
2023-05-05,2023,5,5,2,193
2022-01-20,2022,1,20,1,194
2024-11-27,2024,11,27,4,195
2024-02-28,2024,2,28,1,196
2024-12-10,2024,12,10,4,197
2021-09-04,2021,9,4,3,198
2023-04-16,2023,4,16,2,199
2021-07-22,2021,7,22,3,200
2024-04-22,2024,4,22,2,201
2021-05-03,2021,5,3,2,202
2022-02-05,2022,2,5,1,203
2021-10-21,2021,10,21,4,204
2021-10-07,2021,10,7,4,205
2023-06-03,2023,6,3,2,206
2021-07-17,2021,7,17,3,207
2023-09-09,2023,9,9,3,208
2023-01-22,2023,1,22,1,209
2021-05-24,2021,5,24,2,210
2022-09-01,2022,9,1,3,211
2024-05-09,2024,5,9,2,212
2024-02-22,2024,2,22,1,213
2021-07-06,2021,7,6,3,214
2024-09-11,2024,9,11,3,215
2022-04-09,2022,4,9,2,216
2024-10-04,2024,10,4,4,217
2022-10-22,2022,10,22,4,218
2023-08-13,2023,8,13,3,219
2022-02-07,2022,2,7,1,220
2021-05-27,2021,5,27,2,221
2024-03-17,2024,3,17,1,222
2022-05-04,2022,5,4,2,223
2023-07-18,2023,7,18,3,224
2022-07-05,2022,7,5,3,225
2022-10-03,2022,10,3,4,226
2022-04-18,2022,4,18,2,227
2021-05-31,2021,5,31,2,228
2024-12-09,2024,12,9,4,229
2024-08-14,2024,8,14,3,230
2021-09-20,2021,9,20,3,231
2021-12-12,2021,12,12,4,232
2022-09-16,2022,9,16,3,233
2023-05-31,2023,5,31,2,234
2023-06-16,2023,6,16,2,235
2024-08-20,2024,8,20,3,236
2021-09-11,2021,9,11,3,237
2022-03-29,2022,3,29,1,238
2023-11-27,2023,11,27,4,239
2023-10-12,2023,10,12,4,240
2021-01-09,2021,1,9,1,241
2024-01-28,2024,1,28,1,242
2021-07-27,2021,7,27,3,243
2022-02-08,2022,2,8,1,244
2021-06-01,2021,6,1,2,245
2021-02-23,2021,2,23,1,246
2024-02-18,2024,2,18,1,247
2022-08-10,2022,8,10,3,248
2024-12-14,2024,12,14,4,249
2024-12-16,2024,12,16,4,250
2021-04-14,2021,4,14,2,251
2024-06-04,2024,6,4,2,252
2024-02-10,2024,2,10,1,253
2022-05-25,2022,5,25,2,254
2021-06-02,2021,6,2,2,255
2023-07-03,2023,7,3,3,256
2023-05-28,2023,5,28,2,257
2023-04-02,2023,4,2,2,258
2024-04-01,2024,4,1,2,259
2023-08-15,2023,8,15,3,260
2021-06-10,2021,6,10,2,261
2023-03-12,2023,3,12,1,262
2024-07-24,2024,7,24,3,263
2024-11-16,2024,11,16,4,264
2024-03-04,2024,3,4,1,265
2024-05-03,2024,5,3,2,266
2022-10-02,2022,10,2,4,267
2022-11-19,2022,11,19,4,268
2022-04-15,2022,4,15,2,269
2024-10-30,2024,10,30,4,270
2023-11-12,2023,11,12,4,271
2023-01-20,2023,1,20,1,272
2021-02-07,2021,2,7,1,273
2021-08-18,2021,8,18,3,274
2024-10-20,2024,10,20,4,275
2022-03-14,2022,3,14,1,276
2021-01-27,2021,1,27,1,277
2021-08-14,2021,8,14,3,278
2023-03-09,2023,3,9,1,279
2021-10-11,2021,10,11,4,280
2023-08-18,2023,8,18,3,281
2023-10-17,2023,10,17,4,282
2022-10-21,2022,10,21,4,283
2022-07-01,2022,7,1,3,284
2023-12-09,2023,12,9,4,285
2021-01-17,2021,1,17,1,286
2024-04-10,2024,4,10,2,287
2024-05-28,2024,5,28,2,288
2021-06-07,2021,6,7,2,289
2022-04-22,2022,4,22,2,290
2023-12-06,2023,12,6,4,291
2022-06-02,2022,6,2,2,292
2022-05-12,2022,5,12,2,293
2021-10-29,2021,10,29,4,294
2021-06-30,2021,6,30,2,295
2022-08-30,2022,8,30,3,296
2023-09-20,2023,9,20,3,297
2024-02-14,2024,2,14,1,298
2021-07-10,2021,7,10,3,299
2023-09-08,2023,9,8,3,300
2023-07-17,2023,7,17,3,301
2024-07-03,2024,7,3,3,302
2024-09-08,2024,9,8,3,303
2021-05-08,2021,5,8,2,304
2021-01-18,2021,1,18,1,305
2022-07-24,2022,7,24,3,306
2022-11-17,2022,11,17,4,307
2022-09-18,2022,9,18,3,308
2024-08-04,2024,8,4,3,309
2023-05-04,2023,5,4,2,310
2023-08-20,2023,8,20,3,311
2021-06-04,2021,6,4,2,312
2022-05-05,2022,5,5,2,313
2023-02-24,2023,2,24,1,314
2024-02-02,2024,2,2,1,315
2024-11-17,2024,11,17,4,316
2021-09-03,2021,9,3,3,317
2024-04-14,2024,4,14,2,318
2023-11-29,2023,11,29,4,319
2023-01-29,2023,1,29,1,320
2022-06-22,2022,6,22,2,321
2023-07-10,2023,7,10,3,322
2022-02-12,2022,2,12,1,323
2023-04-08,2023,4,8,2,324
2023-06-22,2023,6,22,2,325
2021-02-05,2021,2,5,1,326
2022-11-16,2022,11,16,4,327
2021-01-20,2021,1,20,1,328
2021-11-17,2021,11,17,4,329
2022-05-27,2022,5,27,2,330
2022-02-04,2022,2,4,1,331
2022-10-16,2022,10,16,4,332
2023-08-30,2023,8,30,3,333
2022-04-16,2022,4,16,2,334
2024-03-12,2024,3,12,1,335
2024-01-21,2024,1,21,1,336
2024-10-09,2024,10,9,4,337
2023-04-14,2023,4,14,2,338
2022-12-28,2022,12,28,4,339
2021-02-20,2021,2,20,1,340
2022-07-29,2022,7,29,3,341
2024-04-28,2024,4,28,2,342
2024-02-23,2024,2,23,1,343
2021-05-30,2021,5,30,2,344
2021-11-10,2021,11,10,4,345
2024-09-27,2024,9,27,3,346
2021-11-01,2021,11,1,4,347
2023-04-18,2023,4,18,2,348
2023-12-14,2023,12,14,4,349
2023-09-30,2023,9,30,3,350
2022-03-20,2022,3,20,1,351
2021-09-21,2021,9,21,3,352
2023-10-01,2023,10,1,4,353
2021-01-05,2021,1,5,1,354
2024-05-04,2024,5,4,2,355
2023-02-13,2023,2,13,1,356
2023-05-27,2023,5,27,2,357
2023-09-19,2023,9,19,3,358
2024-10-05,2024,10,5,4,359
2021-02-16,2021,2,16,1,360
2023-05-17,2023,5,17,2,361
2023-04-03,2023,4,3,2,362
2023-07-25,2023,7,25,3,363
2022-10-18,2022,10,18,4,364
2021-09-26,2021,9,26,3,365
2022-01-05,2022,1,5,1,366
2022-09-28,2022,9,28,3,367
2022-10-19,2022,10,19,4,368
2021-04-30,2021,4,30,2,369
2023-04-11,2023,4,11,2,370
2023-12-18,2023,12,18,4,371
2023-01-11,2023,1,11,1,372
2021-04-27,2021,4,27,2,373
2023-03-02,2023,3,2,1,374
2024-02-25,2024,2,25,1,375
2022-09-26,2022,9,26,3,376
2022-05-28,2022,5,28,2,377
2023-03-13,2023,3,13,1,378
2024-01-25,2024,1,25,1,379
2024-02-16,2024,2,16,1,380
2022-07-14,2022,7,14,3,381
2022-05-03,2022,5,3,2,382
2024-06-14,2024,6,14,2,383
2024-07-19,2024,7,19,3,384
2024-04-27,2024,4,27,2,385
2022-12-05,2022,12,5,4,386
2022-08-04,2022,8,4,3,387
2023-03-01,2023,3,1,1,388
2024-01-05,2024,1,5,1,389
2021-06-03,2021,6,3,2,390
2024-12-29,2024,12,29,4,391
2023-09-24,2023,9,24,3,392
2022-11-28,2022,11,28,4,393
2024-08-01,2024,8,1,3,394
2023-12-29,2023,12,29,4,395
2023-12-07,2023,12,7,4,396
2023-10-06,2023,10,6,4,397
2021-04-04,2021,4,4,2,398
2023-10-09,2023,10,9,4,399
2024-05-12,2024,5,12,2,400
2023-07-01,2023,7,1,3,401
2021-08-06,2021,8,6,3,402
2022-04-19,2022,4,19,2,403
2022-03-08,2022,3,8,1,404
2021-12-07,2021,12,7,4,405
2024-08-05,2024,8,5,3,406
2024-07-01,2024,7,1,3,407
2021-12-23,2021,12,23,4,408
2021-01-23,2021,1,23,1,409
2022-06-06,2022,6,6,2,410
2024-04-18,2024,4,18,2,411
2024-05-31,2024,5,31,2,412
2023-02-01,2023,2,1,1,413
2023-02-08,2023,2,8,1,414
2023-10-13,2023,10,13,4,415
2024-09-10,2024,9,10,3,416
2022-05-31,2022,5,31,2,417
2023-11-06,2023,11,6,4,418
2021-12-02,2021,12,2,4,419
2021-09-15,2021,9,15,3,420
2023-06-15,2023,6,15,2,421
2021-06-09,2021,6,9,2,422
2023-05-02,2023,5,2,2,423
2022-11-21,2022,11,21,4,424
2022-11-22,2022,11,22,4,425
2024-12-21,2024,12,21,4,426
2024-12-11,2024,12,11,4,427
2024-04-06,2024,4,6,2,428
2023-12-03,2023,12,3,4,429
2021-10-12,2021,10,12,4,430
2022-02-01,2022,2,1,1,431
2021-01-12,2021,1,12,1,432
2024-08-18,2024,8,18,3,433
2024-06-30,2024,6,30,2,434
2022-05-14,2022,5,14,2,435
2023-01-24,2023,1,24,1,436
2023-04-29,2023,4,29,2,437
2021-03-31,2021,3,31,1,438
2022-08-28,2022,8,28,3,439
2023-08-28,2023,8,28,3,440
2022-02-22,2022,2,22,1,441
2021-04-25,2021,4,25,2,442
2022-09-09,2022,9,9,3,443
2023-04-06,2023,4,6,2,444
2024-01-04,2024,1,4,1,445
2022-02-17,2022,2,17,1,446
2024-10-31,2024,10,31,4,447
2022-12-30,2022,12,30,4,448
2023-01-31,2023,1,31,1,449
2022-11-07,2022,11,7,4,450
2024-11-18,2024,11,18,4,451
2022-04-02,2022,4,2,2,452
2023-07-09,2023,7,9,3,453
2021-07-11,2021,7,11,3,454
2023-01-09,2023,1,9,1,455
2023-09-05,2023,9,5,3,456
2022-10-25,2022,10,25,4,457
2021-02-06,2021,2,6,1,458
2024-10-24,2024,10,24,4,459
2021-10-06,2021,10,6,4,460
2023-05-23,2023,5,23,2,461
2024-07-20,2024,7,20,3,462
2021-03-03,2021,3,3,1,463
2022-08-19,2022,8,19,3,464
2023-11-09,2023,11,9,4,465
2021-06-26,2021,6,26,2,466
2022-01-31,2022,1,31,1,467
2022-03-21,2022,3,21,1,468
2021-03-17,2021,3,17,1,469
2021-09-22,2021,9,22,3,470
2022-03-31,2022,3,31,1,471
2022-12-19,2022,12,19,4,472
2023-01-05,2023,1,5,1,473
2024-11-08,2024,11,8,4,474
2023-05-01,2023,5,1,2,475
2023-06-04,2023,6,4,2,476
2023-11-15,2023,11,15,4,477
2023-08-06,2023,8,6,3,478
2023-06-10,2023,6,10,2,479
2024-03-20,2024,3,20,1,480
2024-03-13,2024,3,13,1,481
2022-07-23,2022,7,23,3,482
2021-04-19,2021,4,19,2,483
2023-12-02,2023,12,2,4,484
2024-04-24,2024,4,24,2,485
2023-07-24,2023,7,24,3,486
2024-03-02,2024,3,2,1,487
2023-01-03,2023,1,3,1,488
2021-08-23,2021,8,23,3,489
2022-10-20,2022,10,20,4,490
2023-01-21,2023,1,21,1,491
2022-08-11,2022,8,11,3,492
2023-10-30,2023,10,30,4,493
2024-01-03,2024,1,3,1,494
2023-08-12,2023,8,12,3,495
2022-05-07,2022,5,7,2,496
2023-07-02,2023,7,2,3,497
2024-06-07,2024,6,7,2,498
2024-04-12,2024,4,12,2,499
2021-06-19,2021,6,19,2,500
2023-08-04,2023,8,4,3,501
2024-05-02,2024,5,2,2,502
2021-01-29,2021,1,29,1,503
2024-04-03,2024,4,3,2,504
2021-12-05,2021,12,5,4,505
2022-05-15,2022,5,15,2,506
2024-09-12,2024,9,12,3,507
2024-08-17,2024,8,17,3,508
2024-03-01,2024,3,1,1,509
2023-12-30,2023,12,30,4,510
2023-05-26,2023,5,26,2,511
2024-04-20,2024,4,20,2,512
2021-04-01,2021,4,1,2,513
2022-12-15,2022,12,15,4,514
2021-02-08,2021,2,8,1,515
2024-02-24,2024,2,24,1,516
2021-06-22,2021,6,22,2,517
2022-10-15,2022,10,15,4,518
2022-04-21,2022,4,21,2,519
2023-04-09,2023,4,9,2,520
2023-06-14,2023,6,14,2,521
2024-10-16,2024,10,16,4,522
2023-10-22,2023,10,22,4,523
2022-01-22,2022,1,22,1,524
2021-12-14,2021,12,14,4,525
2022-05-20,2022,5,20,2,526
2024-04-29,2024,4,29,2,527
2024-12-03,2024,12,3,4,528
2023-04-04,2023,4,4,2,529
2023-07-23,2023,7,23,3,530
2024-02-15,2024,2,15,1,531
2021-05-14,2021,5,14,2,532
2021-02-27,2021,2,27,1,533
2022-11-03,2022,11,3,4,534
2023-03-26,2023,3,26,1,535
2024-03-18,2024,3,18,1,536
2021-03-21,2021,3,21,1,537
2023-06-05,2023,6,5,2,538
2024-05-21,2024,5,21,2,539
2024-06-06,2024,6,6,2,540
2024-11-26,2024,11,26,4,541
2024-08-21,2024,8,21,3,542
2023-08-29,2023,8,29,3,543
2023-11-02,2023,11,2,4,544
2024-09-15,2024,9,15,3,545
2023-01-06,2023,1,6,1,546
2023-02-23,2023,2,23,1,547
2023-08-26,2023,8,26,3,548
2021-12-24,2021,12,24,4,549
2024-12-02,2024,12,2,4,550
2022-10-30,2022,10,30,4,551
2022-01-08,2022,1,8,1,552
2023-10-29,2023,10,29,4,553
2024-02-20,2024,2,20,1,554
2022-11-29,2022,11,29,4,555
2024-09-01,2024,9,1,3,556
2024-04-16,2024,4,16,2,557
2022-06-24,2022,6,24,2,558
2023-01-02,2023,1,2,1,559
2023-05-19,2023,5,19,2,560
2023-01-10,2023,1,10,1,561
2022-05-17,2022,5,17,2,562
2023-08-17,2023,8,17,3,563
2024-03-14,2024,3,14,1,564
2022-04-06,2022,4,6,2,565
2023-07-14,2023,7,14,3,566
2023-06-28,2023,6,28,2,567
2022-01-25,2022,1,25,1,568
2023-06-02,2023,6,2,2,569
2021-09-13,2021,9,13,3,570
2022-12-10,2022,12,10,4,571
2022-03-26,2022,3,26,1,572
2021-01-10,2021,1,10,1,573
2024-06-19,2024,6,19,2,574
2024-06-28,2024,6,28,2,575
2024-02-17,2024,2,17,1,576
2022-01-09,2022,1,9,1,577
2023-12-25,2023,12,25,4,578
2021-05-26,2021,5,26,2,579
2021-08-12,2021,8,12,3,580
2024-06-16,2024,6,16,2,581
2023-05-03,2023,5,3,2,582
2024-07-29,2024,7,29,3,583
2021-03-04,2021,3,4,1,584
2024-05-25,2024,5,25,2,585
2023-04-07,2023,4,7,2,586
2022-11-20,2022,11,20,4,587
2021-04-15,2021,4,15,2,588
2022-02-09,2022,2,9,1,589
2023-02-10,2023,2,10,1,590
2024-12-31,2024,12,31,4,591
2023-11-13,2023,11,13,4,592
2022-11-08,2022,11,8,4,593
2021-03-24,2021,3,24,1,594
2024-01-14,2024,1,14,1,595
2024-01-07,2024,1,7,1,596
2021-01-01,2021,1,1,1,597
2022-12-18,2022,12,18,4,598
2022-03-25,2022,3,25,1,599
2021-02-03,2021,2,3,1,600
2021-04-05,2021,4,5,2,601
2021-09-07,2021,9,7,3,602
2022-11-05,2022,11,5,4,603
2021-04-28,2021,4,28,2,604
2024-08-22,2024,8,22,3,605
2021-09-25,2021,9,25,3,606
2021-08-24,2021,8,24,3,607
2022-01-24,2022,1,24,1,608
2023-09-17,2023,9,17,3,609
2023-02-02,2023,2,2,1,610
2024-08-19,2024,8,19,3,611
2023-07-08,2023,7,8,3,612
2024-05-15,2024,5,15,2,613
2021-03-16,2021,3,16,1,614
2022-03-11,2022,3,11,1,615
2021-04-13,2021,4,13,2,616
2023-01-08,2023,1,8,1,617
2021-04-08,2021,4,8,2,618
2024-09-20,2024,9,20,3,619
2023-05-09,2023,5,9,2,620
2022-03-23,2022,3,23,1,621
2024-08-24,2024,8,24,3,622
2021-09-06,2021,9,6,3,623
2021-06-15,2021,6,15,2,624
2023-09-11,2023,9,11,3,625
2022-06-26,2022,6,26,2,626
2021-03-22,2021,3,22,1,627
2021-05-13,2021,5,13,2,628
2023-03-08,2023,3,8,1,629
2023-06-19,2023,6,19,2,630
2021-05-18,2021,5,18,2,631
2021-07-03,2021,7,3,3,632
2024-11-25,2024,11,25,4,633
2021-03-10,2021,3,10,1,634
2022-06-30,2022,6,30,2,635
2021-02-22,2021,2,22,1,636
2021-07-24,2021,7,24,3,637
2021-05-06,2021,5,6,2,638
2021-02-12,2021,2,12,1,639
2021-04-21,2021,4,21,2,640
2024-04-21,2024,4,21,2,641
2023-04-28,2023,4,28,2,642
2021-12-26,2021,12,26,4,643
2021-10-08,2021,10,8,4,644
2022-10-29,2022,10,29,4,645
2021-04-03,2021,4,3,2,646
2021-03-02,2021,3,2,1,647
2023-12-11,2023,12,11,4,648
2022-08-27,2022,8,27,3,649
2022-06-18,2022,6,18,2,650
2024-11-29,2024,11,29,4,651
2022-10-07,2022,10,7,4,652
2021-08-21,2021,8,21,3,653
2022-06-08,2022,6,8,2,654
2024-01-02,2024,1,2,1,655
2023-03-05,2023,3,5,1,656
2024-02-19,2024,2,19,1,657
2021-08-02,2021,8,2,3,658
2021-08-27,2021,8,27,3,659
2023-12-16,2023,12,16,4,660
2021-12-16,2021,12,16,4,661
2021-04-17,2021,4,17,2,662
2021-02-17,2021,2,17,1,663
2021-12-03,2021,12,3,4,664
2023-11-16,2023,11,16,4,665
2023-03-15,2023,3,15,1,666
2024-07-04,2024,7,4,3,667
2021-01-08,2021,1,8,1,668
2022-09-17,2022,9,17,3,669
2022-12-20,2022,12,20,4,670
2021-10-30,2021,10,30,4,671
2022-10-01,2022,10,1,4,672
2021-02-25,2021,2,25,1,673
2022-06-10,2022,6,10,2,674
2021-01-28,2021,1,28,1,675
2021-03-19,2021,3,19,1,676
2024-05-24,2024,5,24,2,677
2021-12-31,2021,12,31,4,678
2022-10-28,2022,10,28,4,679
2024-08-28,2024,8,28,3,680
2023-10-28,2023,10,28,4,681
2023-10-24,2023,10,24,4,682
2021-12-29,2021,12,29,4,683
2021-03-27,2021,3,27,1,684
2023-03-23,2023,3,23,1,685
2022-06-21,2022,6,21,2,686
2021-05-25,2021,5,25,2,687
2024-05-20,2024,5,20,2,688
2021-01-25,2021,1,25,1,689
2021-03-08,2021,3,8,1,690
2024-03-15,2024,3,15,1,691
2021-08-16,2021,8,16,3,692
2022-09-15,2022,9,15,3,693
2022-08-18,2022,8,18,3,694
2022-03-01,2022,3,1,1,695
2022-11-23,2022,11,23,4,696
2024-09-05,2024,9,5,3,697
2021-11-11,2021,11,11,4,698
2022-10-24,2022,10,24,4,699
2023-04-23,2023,4,23,2,700
2024-03-06,2024,3,6,1,701
2023-06-18,2023,6,18,2,702
2021-08-31,2021,8,31,3,703
2022-06-27,2022,6,27,2,704
2023-11-30,2023,11,30,4,705
2021-08-17,2021,8,17,3,706
2022-07-02,2022,7,2,3,707
2021-01-06,2021,1,6,1,708
2024-09-07,2024,9,7,3,709
2022-04-13,2022,4,13,2,710
2021-01-04,2021,1,4,1,711
2022-05-19,2022,5,19,2,712
2023-08-05,2023,8,5,3,713
2022-07-28,2022,7,28,3,714
2021-07-13,2021,7,13,3,715
2023-04-27,2023,4,27,2,716
2022-12-16,2022,12,16,4,717
2024-08-16,2024,8,16,3,718
2021-11-22,2021,11,22,4,719
2024-12-04,2024,12,4,4,720
2022-12-25,2022,12,25,4,721
2021-08-13,2021,8,13,3,722
2022-06-16,2022,6,16,2,723
2021-05-20,2021,5,20,2,724
2022-07-13,2022,7,13,3,725
2021-11-16,2021,11,16,4,726
2021-05-19,2021,5,19,2,727
2023-04-25,2023,4,25,2,728
2021-09-16,2021,9,16,3,729
2023-06-21,2023,6,21,2,730
2021-09-18,2021,9,18,3,731
2021-06-21,2021,6,21,2,732
2021-01-13,2021,1,13,1,733
2024-09-04,2024,9,4,3,734
2021-11-25,2021,11,25,4,735
2023-06-30,2023,6,30,2,736
2024-12-13,2024,12,13,4,737
2024-01-24,2024,1,24,1,738
2021-11-30,2021,11,30,4,739
2022-01-11,2022,1,11,1,740
2024-08-12,2024,8,12,3,741
2023-07-07,2023,7,7,3,742
2024-08-07,2024,8,7,3,743
2022-12-26,2022,12,26,4,744
2024-11-03,2024,11,3,4,745
2021-05-12,2021,5,12,2,746
2021-03-30,2021,3,30,1,747
2024-08-11,2024,8,11,3,748
2022-09-08,2022,9,8,3,749
2023-03-11,2023,3,11,1,750
2022-02-26,2022,2,26,1,751
2021-05-23,2021,5,23,2,752
2022-10-27,2022,10,27,4,753
2023-10-04,2023,10,4,4,754
2023-04-01,2023,4,1,2,755
2022-08-02,2022,8,2,3,756
2022-01-26,2022,1,26,1,757
2024-04-17,2024,4,17,2,758
2022-07-08,2022,7,8,3,759
2022-04-23,2022,4,23,2,760
2023-07-12,2023,7,12,3,761
2022-02-24,2022,2,24,1,762
2021-06-06,2021,6,6,2,763
2022-07-04,2022,7,4,3,764
2024-01-26,2024,1,26,1,765
2023-08-09,2023,8,9,3,766
2021-07-15,2021,7,15,3,767
2022-08-21,2022,8,21,3,768
2022-06-01,2022,6,1,2,769
2023-05-15,2023,5,15,2,770
2024-03-28,2024,3,28,1,771
2021-08-04,2021,8,4,3,772
2024-07-08,2024,7,8,3,773
2021-11-20,2021,11,20,4,774
2023-04-24,2023,4,24,2,775
