id_visita,fecha,pais_origen,via_ingreso,motivo_viaje,departamento_visitado,noches_estadia,gasto_total,anio,mes,dia,trimestre,gasto_por_noche
82,2021-09-27,Estados Unidos,Aerea,Ocio,San Miguel,8,131,2021,9,27,3,16.38
83,2023-03-27,Guatemala,Aerea,Familiares,Usulutan,1,1180,2023,3,27,1,1180.0
84,2024-07-18,Guatemala,Terrestre,Religioso,Sonsonate,2,456,2024,7,18,3,228.0
85,2022-04-01,Guatemala,Aerea,Ocio,La Paz,3,2309,2022,4,1,2,769.67
86,2024-06-29,Estados Unidos,Terrestre,Ocio,La Paz,11,1183,2024,6,29,2,107.55
87,2023-10-14,España,Aerea,Ocio,San Miguel,5,1647,2023,10,14,4,329.4
88,2021-10-23,Guatemala,Terrestre,Ocio,Santa Ana,11,1481,2021,10,23,4,134.64
89,2022-12-21,Costa Rica,Aerea,Ocio,La Paz,8,1974,2022,12,21,4,246.75
90,2021-12-04,Estados Unidos,Aerea,Ocio,Sonsonate,5,2439,2021,12,4,4,487.8
91,2023-05-29,Estados Unidos,Aerea,Negocios,Usulutan,5,2225,2023,5,29,2,445.0
92,2023-12-13,Estados Unidos,Terrestre,Familiares,La Libertad,6,345,2023,12,13,4,57.5
93,2023-03-03,Honduras,Aerea,Ocio,Ahuachapan,9,2328,2023,3,3,1,258.67
94,2021-08-05,Estados Unidos,Aerea,Familiares,Sonsonate,9,846,2021,8,5,3,94.0
95,2023-02-03,Nicaragua,Aerea,Familiares,San Miguel,9,1346,2023,2,3,1,149.56
96,2021-07-07,Nicaragua,Terrestre,Religioso,Ahuachapan,11,851,2021,7,7,3,77.36
97,2022-01-15,Guatemala,Aerea,Familiares,Santa Ana,11,1923,2022,1,15,1,174.82
98,2022-05-08,Guatemala,Terrestre,Ocio,Santa Ana,5,1416,2022,5,8,2,283.2
99,2023-12-01,Honduras,Aerea,Ocio,San Salvador,6,2028,2023,12,1,4,338.0
100,2024-03-26,Honduras,Terrestre,Negocios,Santa Ana,7,1348,2024,3,26,1,192.57
101,2021-01-15,Estados Unidos,Terrestre,Familiares,Ahuachapan,3,644,2021,1,15,1,214.67
102,2021-03-06,Honduras,Aerea,Ocio,Ahuachapan,1,2327,2021,3,6,1,2327.0
103,2022-06-05,Canada,Aerea,Ocio,Santa Ana,2,1500,2022,6,5,2,750.0
104,2024-09-29,Estados Unidos,Aerea,Familiares,Usulutan,4,2336,2024,9,29,3,584.0
105,2024-02-27,Costa Rica,Terrestre,Familiares,Ahuachapan,9,2424,2024,2,27,1,269.33
106,2022-10-10,Estados Unidos,Aerea,Familiares,San Miguel,1,206,2022,10,10,4,206.0
107,2023-12-23,Estados Unidos,Aerea,Familiares,Sonsonate,6,2372,2023,12,23,4,395.33
108,2024-03-08,Estados Unidos,Aerea,Negocios,Sonsonate,4,1888,2024,3,8,1,472.0
109,2022-08-16,Estados Unidos,Aerea,Ocio,Usulutan,6,1498,2022,8,16,3,249.67
110,2022-01-27,Nicaragua,Terrestre,Ocio,Santa Ana,2,2132,2022,1,27,1,1066.0
111,2022-02-23,Canada,Aerea,Familiares,Usulutan,2,2489,2022,2,23,1,1244.5
112,2021-10-16,Honduras,Terrestre,Familiares,Ahuachapan,7,807,2021,10,16,4,115.29
113,2022-01-14,España,Terrestre,Ocio,Sonsonate,5,2221,2022,1,14,1,444.2
114,2021-08-19,Estados Unidos,Aerea,Religioso,Sonsonate,6,1786,2021,8,19,3,297.67
115,2023-10-15,Estados Unidos,Terrestre,Negocios,San Miguel,4,1605,2023,10,15,4,401.25
116,2021-02-10,Guatemala,Aerea,Religioso,San Miguel,1,1476,2021,2,10,1,1476.0
117,2023-11-18,Nicaragua,Terrestre,Ocio,Ahuachapan,8,2041,2023,11,18,4,255.12
118,2021-05-15,Estados Unidos,Aerea,Familiares,Usulutan,1,2094,2021,5,15,2,2094.0
119,2021-07-20,España,Terrestre,Familiares,Santa Ana,8,320,2021,7,20,3,40.0
120,2023-02-19,Guatemala,Aerea,Religioso,La Libertad,11,391,2023,2,19,1,35.55
121,2023-07-19,España,Terrestre,Ocio,Santa Ana,1,815,2023,7,19,3,815.0
122,2023-11-23,Estados Unidos,Terrestre,Negocios,Ahuachapan,10,2345,2023,11,23,4,234.5
123,2023-12-08,Guatemala,Aerea,Ocio,La Paz,10,2148,2023,12,8,4,214.8
124,2022-05-18,Honduras,Aerea,Negocios,Sonsonate,4,216,2022,5,18,2,54.0
125,2022-02-11,Honduras,Terrestre,Familiares,Ahuachapan,6,716,2022,2,11,1,119.33
126,2023-03-16,Estados Unidos,Aerea,Ocio,Usulutan,1,1538,2023,3,16,1,1538.0
127,2021-04-09,Costa Rica,Terrestre,Ocio,San Salvador,9,265,2021,4,9,2,29.44
128,2022-11-15,Mexico,Terrestre,Ocio,Santa Ana,7,1360,2022,11,15,4,194.29
129,2022-12-27,Estados Unidos,Terrestre,Negocios,La Libertad,1,2415,2022,12,27,4,2415.0
130,2023-08-19,Estados Unidos,Aerea,Salud,La Libertad,10,2251,2023,8,19,3,225.1
131,2022-09-05,Guatemala,Aerea,Familiares,Sonsonate,2,1584,2022,9,5,3,792.0
132,2022-10-05,Guatemala,Terrestre,Ocio,Santa Ana,5,1601,2022,10,5,4,320.2
133,2023-10-26,Honduras,Aerea,Ocio,Ahuachapan,3,619,2023,10,26,4,206.33
134,2024-05-26,Estados Unidos,Aerea,Ocio,Santa Ana,1,622,2024,5,26,2,622.0
135,2022-05-18,Guatemala,Aerea,Ocio,San Miguel,5,223,2022,5,18,2,44.6
136,2023-02-06,Guatemala,Terrestre,Negocios,La Paz,8,1237,2023,2,6,1,154.62
137,2022-02-02,Estados Unidos,Aerea,Ocio,San Miguel,1,2173,2022,2,2,1,2173.0
138,2023-05-21,Guatemala,Terrestre,Ocio,Ahuachapan,6,1455,2023,5,21,2,242.5
139,2023-03-06,Estados Unidos,Aerea,Familiares,Santa Ana,1,1641,2023,3,6,1,1641.0
140,2022-01-28,Estados Unidos,Aerea,Familiares,San Miguel,8,678,2022,1,28,1,84.75
141,2021-07-26,Guatemala,Terrestre,Salud,La Paz,5,967,2021,7,26,3,193.4
142,2023-11-05,España,Aerea,Religioso,La Libertad,3,138,2023,11,5,4,46.0
143,2023-06-11,Estados Unidos,Aerea,Ocio,Santa Ana,8,2170,2023,6,11,2,271.25
144,2023-05-14,Estados Unidos,Terrestre,Negocios,San Miguel,10,260,2023,5,14,2,26.0
145,2023-01-13,Estados Unidos,Aerea,Familiares,San Miguel,8,1271,2023,1,13,1,158.88
146,2024-06-18,Estados Unidos,Aerea,Familiares,Sonsonate,3,928,2024,6,18,2,309.33
147,2022-07-18,Estados Unidos,Aerea,Religioso,La Paz,7,1568,2022,7,18,3,224.0
148,2023-10-18,Honduras,Terrestre,Ocio,Usulutan,1,2174,2023,10,18,4,2174.0
149,2021-04-06,Estados Unidos,Terrestre,Ocio,La Paz,3,150,2021,4,6,2,50.0
150,2022-04-30,Costa Rica,Aerea,Religioso,Sonsonate,7,756,2022,4,30,2,108.0
151,2024-12-01,Estados Unidos,Aerea,Familiares,San Salvador,3,1143,2024,12,1,4,381.0
152,2021-08-19,Mexico,Aerea,Ocio,Usulutan,11,1738,2021,8,19,3,158.0
153,2023-01-19,Canada,Aerea,Familiares,Sonsonate,7,2186,2023,1,19,1,312.29
154,2024-04-09,Guatemala,Aerea,Salud,La Paz,3,166,2024,4,9,2,55.33
155,2022-06-25,Estados Unidos,Aerea,Salud,Sonsonate,3,575,2022,6,25,2,191.67
156,2023-11-26,Guatemala,Terrestre,Familiares,La Paz,2,2023,2023,11,26,4,1011.5
157,2022-06-09,Guatemala,Terrestre,Negocios,San Miguel,5,743,2022,6,9,2,148.6
158,2024-03-29,Mexico,Terrestre,Ocio,San Salvador,11,1652,2024,3,29,1,150.18
159,2024-06-20,Guatemala,Aerea,Familiares,Santa Ana,1,1441,2024,6,20,2,1441.0
160,2024-01-15,Estados Unidos,Aerea,Familiares,Ahuachapan,11,1612,2024,1,15,1,146.55
161,2022-08-01,Nicaragua,Terrestre,Familiares,La Libertad,4,404,2022,8,1,3,101.0
162,2022-11-13,España,Aerea,Familiares,San Salvador,11,2111,2022,11,13,4,191.91
163,2022-07-11,Guatemala,Terrestre,Ocio,Santa Ana,4,491,2022,7,11,3,122.75
164,2023-10-10,Mexico,Terrestre,Ocio,San Miguel,10,1661,2023,10,10,4,166.1
165,2022-10-08,Guatemala,Aerea,Salud,Sonsonate,3,2107,2022,10,8,4,702.33
166,2023-03-07,Honduras,Aerea,Familiares,Ahuachapan,5,2191,2023,3,7,1,438.2
167,2023-11-18,Honduras,Aerea,Ocio,La Paz,4,2146,2023,11,18,4,536.5
168,2024-09-25,Honduras,Aerea,Familiares,Usulutan,8,2150,2024,9,25,3,268.75
169,2024-09-16,Estados Unidos,Terrestre,Familiares,Ahuachapan,11,1482,2024,9,16,3,134.73
170,2024-10-03,Guatemala,Terrestre,Religioso,San Miguel,8,840,2024,10,3,4,105.0
171,2024-06-08,Guatemala,Terrestre,Familiares,San Miguel,10,2012,2024,6,8,2,201.2
172,2021-07-09,Estados Unidos,Aerea,Religioso,San Salvador,1,1806,2021,7,9,3,1806.0
173,2024-06-02,Estados Unidos,Terrestre,Religioso,Sonsonate,8,1093,2024,6,2,2,136.62
174,2024-11-09,Honduras,Terrestre,Negocios,San Miguel,11,1390,2024,11,9,4,126.36
175,2024-11-01,Guatemala,Terrestre,Familiares,Ahuachapan,9,1730,2024,11,1,4,192.22
176,2024-07-30,Estados Unidos,Terrestre,Salud,Santa Ana,4,2435,2024,7,30,3,608.75
177,2022-09-25,Nicaragua,Aerea,Familiares,San Miguel,11,1700,2022,9,25,3,154.55
178,2022-09-20,Mexico,Aerea,Religioso,Usulutan,8,1514,2022,9,20,3,189.25
179,2023-08-31,Guatemala,Aerea,Ocio,La Libertad,9,1584,2023,8,31,3,176.0
180,2024-07-06,Estados Unidos,Aerea,Familiares,San Salvador,2,2363,2024,7,6,3,1181.5
181,2024-10-14,Costa Rica,Terrestre,Ocio,Ahuachapan,11,2427,2024,10,14,4,220.64
182,2022-12-11,Mexico,Aerea,Ocio,Usulutan,9,964,2022,12,11,4,107.11
183,2024-12-05,Estados Unidos,Aerea,Negocios,Ahuachapan,6,534,2024,12,5,4,89.0
184,2022-10-11,Estados Unidos,Aerea,Ocio,La Libertad,9,1965,2022,10,11,4,218.33
185,2021-11-14,Estados Unidos,Terrestre,Familiares,Sonsonate,11,1942,2021,11,14,4,176.55
186,2024-06-02,Honduras,Aerea,Familiares,Santa Ana,11,1303,2024,6,2,2,118.45
187,2024-06-11,Estados Unidos,Aerea,Familiares,San Miguel,8,891,2024,6,11,2,111.38
188,2022-11-15,Guatemala,Aerea,Ocio,San Salvador,4,1918,2022,11,15,4,479.5
189,2022-10-26,Estados Unidos,Aerea,Familiares,San Miguel,11,1071,2022,10,26,4,97.36
190,2024-10-29,Canada,Terrestre,Ocio,Ahuachapan,7,2085,2024,10,29,4,297.86
191,2024-06-10,Estados Unidos,Aerea,Familiares,Santa Ana,3,2285,2024,6,10,2,761.67
192,2024-02-11,Guatemala,Aerea,Ocio,La Paz,1,1011,2024,2,11,1,1011.0
193,2022-03-18,Costa Rica,Terrestre,Ocio,Ahuachapan,4,2088,2022,3,18,1,522.0
194,2022-07-18,Estados Unidos,Aerea,Negocios,Santa Ana,4,373,2022,7,18,3,93.25
195,2024-07-15,Estados Unidos,Terrestre,Negocios,Usulutan,5,1720,2024,7,15,3,344.0
196,2024-11-10,Honduras,Terrestre,Salud,Santa Ana,4,2045,2024,11,10,4,511.25
197,2024-11-11,Estados Unidos,Terrestre,Familiares,San Miguel,9,973,2024,11,11,4,108.11
198,2024-02-11,Nicaragua,Aerea,Familiares,Santa Ana,5,1429,2024,2,11,1,285.8
199,2023-08-10,Estados Unidos,Aerea,Familiares,San Miguel,5,959,2023,8,10,3,191.8
200,2024-01-10,Estados Unidos,Aerea,Religioso,San Salvador,8,611,2024,1,10,1,76.38
201,2022-11-30,Canada,Aerea,Ocio,Ahuachapan,7,400,2022,11,30,4,57.14
202,2021-04-23,Guatemala,Aerea,Familiares,San Salvador,2,1825,2021,4,23,2,912.5
203,2021-01-02,Honduras,Aerea,Negocios,Usulutan,1,1471,2021,1,2,1,1471.0
204,2022-10-04,Estados Unidos,Aerea,Ocio,San Salvador,1,1782,2022,10,4,4,1782.0
205,2021-08-08,Estados Unidos,Aerea,Ocio,La Libertad,1,1179,2021,8,8,3,1179.0
206,2023-05-05,Nicaragua,Terrestre,Ocio,San Miguel,10,1102,2023,5,5,2,110.2
207,2024-06-02,Estados Unidos,Terrestre,Ocio,Usulutan,6,687,2024,6,2,2,114.5
208,2022-01-20,Guatemala,Aerea,Ocio,Sonsonate,5,1751,2022,1,20,1,350.2
209,2024-11-27,Estados Unidos,Terrestre,Ocio,Ahuachapan,9,2434,2024,11,27,4,270.44
210,2024-02-28,Estados Unidos,Terrestre,Familiares,Sonsonate,6,705,2024,2,28,1,117.5
211,2023-12-13,Honduras,Aerea,Familiares,Santa Ana,10,878,2023,12,13,4,87.8
212,2022-12-31,Nicaragua,Aerea,Familiares,La Libertad,10,1210,2022,12,31,4,121.0
213,2024-12-10,Honduras,Aerea,Negocios,Sonsonate,5,1283,2024,12,10,4,256.6
214,2021-09-04,Honduras,Terrestre,Ocio,Usulutan,7,2100,2021,9,4,3,300.0
215,2023-04-16,Guatemala,Aerea,Religioso,San Salvador,5,1912,2023,4,16,2,382.4
216,2021-07-22,Guatemala,Terrestre,Negocios,La Paz,1,2003,2021,7,22,3,2003.0
217,2024-04-22,Honduras,Terrestre,Negocios,San Miguel,9,1759,2024,4,22,2,195.44
218,2021-05-03,Estados Unidos,Terrestre,Familiares,La Paz,4,1380,2021,5,3,2,345.0
219,2022-02-05,Estados Unidos,Aerea,Familiares,Sonsonate,5,1395,2022,2,5,1,279.0
220,2023-02-06,Costa Rica,Aerea,Familiares,La Libertad,4,253,2023,2,6,1,63.25
221,2021-10-21,Estados Unidos,Aerea,Ocio,Sonsonate,6,2319,2021,10,21,4,386.5
222,2021-10-07,Estados Unidos,Aerea,Ocio,San Salvador,9,1947,2021,10,7,4,216.33
223,2023-06-03,Guatemala,Terrestre,Familiares,La Libertad,1,761,2023,6,3,2,761.0
224,2021-07-17,Honduras,Terrestre,Ocio,La Paz,4,2065,2021,7,17,3,516.25
225,2023-09-09,Guatemala,Terrestre,Ocio,San Miguel,10,2324,2023,9,9,3,232.4
226,2023-01-22,Estados Unidos,Aerea,Ocio,Usulutan,3,1515,2023,1,22,1,505.0
227,2021-05-24,España,Aerea,Religioso,Santa Ana,3,247,2021,5,24,2,82.33
228,2022-09-01,Honduras,Terrestre,Religioso,San Salvador,8,1971,2022,9,1,3,246.38
229,2024-05-09,Nicaragua,Terrestre,Familiares,Ahuachapan,8,1467,2024,5,9,2,183.38
230,2024-02-22,Estados Unidos,Aerea,Familiares,Ahuachapan,7,1909,2024,2,22,1,272.71
231,2021-07-06,Estados Unidos,Terrestre,Familiares,Usulutan,10,1294,2021,7,6,3,129.4
232,2024-09-11,Estados Unidos,Aerea,Familiares,La Libertad,5,1631,2024,9,11,3,326.2
233,2022-04-09,Estados Unidos,Aerea,Familiares,Santa Ana,2,1805,2022,4,9,2,902.5
234,2024-10-04,Estados Unidos,Terrestre,Salud,San Salvador,5,1375,2024,10,4,4,275.0
235,2022-10-22,Estados Unidos,Terrestre,Salud,Usulutan,4,1865,2022,10,22,4,466.25
236,2023-02-03,Guatemala,Aerea,Familiares,San Miguel,8,1141,2023,2,3,1,142.62
237,2023-08-13,Honduras,Terrestre,Negocios,San Miguel,6,1744,2023,8,13,3,290.67
238,2022-02-07,Honduras,Terrestre,Familiares,La Paz,1,1191,2022,2,7,1,1191.0
239,2024-10-01,Estados Unidos,Aerea,Familiares,Ahuachapan,5,375,2024,10,1,4,75.0
240,2021-05-27,Estados Unidos,Terrestre,Ocio,La Libertad,8,390,2021,5,27,2,48.75
241,2024-03-17,Estados Unidos,Aerea,Ocio,Sonsonate,1,1202,2024,3,17,1,1202.0
242,2023-05-14,Estados Unidos,Aerea,Negocios,La Libertad,1,2400,2023,5,14,2,2400.0
243,2022-05-04,Estados Unidos,Aerea,Salud,La Libertad,3,529,2022,5,4,2,176.33
244,2023-07-18,Guatemala,Aerea,Familiares,San Salvador,1,447,2023,7,18,3,447.0
245,2022-07-05,Canada,Aerea,Religioso,Sonsonate,6,1298,2022,7,5,3,216.33
246,2021-12-04,Honduras,Aerea,Familiares,Usulutan,5,1781,2021,12,4,4,356.2
247,2023-05-22,Guatemala,Terrestre,Familiares,Usulutan,5,868,2023,5,22,2,173.6
248,2022-10-03,Mexico,Aerea,Familiares,Usulutan,3,2455,2022,10,3,4,818.33
249,2022-04-18,Honduras,Aerea,Negocios,La Paz,2,890,2022,4,18,2,445.0
250,2021-05-31,Nicaragua,Terrestre,Ocio,Ahuachapan,1,1365,2021,5,31,2,1365.0
251,2024-12-09,Guatemala,Aerea,Religioso,Santa Ana,2,370,2024,12,9,4,185.0
252,2024-08-14,Guatemala,Aerea,Familiares,La Paz,10,1332,2024,8,14,3,133.2
253,2021-09-20,Honduras,Aerea,Familiares,Sonsonate,9,264,2021,9,20,3,29.33
254,2021-05-24,Estados Unidos,Aerea,Familiares,San Miguel,10,1001,2021,5,24,2,100.1
255,2021-12-12,Honduras,Terrestre,Ocio,Santa Ana,5,724,2021,12,12,4,144.8
256,2022-09-16,Costa Rica,Aerea,Familiares,La Libertad,11,1713,2022,9,16,3,155.73
257,2023-10-14,Honduras,Aerea,Familiares,Ahuachapan,8,1788,2023,10,14,4,223.5
258,2023-05-31,Estados Unidos,Aerea,Familiares,Usulutan,3,1241,2023,5,31,2,413.67
259,2021-01-02,Estados Unidos,Terrestre,Familiares,Santa Ana,5,1438,2021,1,2,1,287.6
260,2023-06-16,Honduras,Aerea,Ocio,Ahuachapan,7,774,2023,6,16,2,110.57
261,2024-08-20,Costa Rica,Aerea,Ocio,La Libertad,2,2493,2024,8,20,3,1246.5
262,2021-09-11,Estados Unidos,Terrestre,Negocios,San Miguel,3,351,2021,9,11,3,117.0
263,2022-03-29,Nicaragua,Aerea,Negocios,Sonsonate,3,556,2022,3,29,1,185.33
264,2023-11-27,Mexico,Aerea,Ocio,La Paz,11,1074,2023,11,27,4,97.64
265,2024-03-29,Estados Unidos,Terrestre,Negocios,San Salvador,9,1018,2024,3,29,1,113.11
266,2023-10-12,Nicaragua,Terrestre,Familiares,Santa Ana,11,176,2023,10,12,4,16.0
267,2021-01-09,Estados Unidos,Aerea,Ocio,San Salvador,1,2142,2021,1,9,1,2142.0
268,2024-06-10,Guatemala,Terrestre,Familiares,San Miguel,9,1962,2024,6,10,2,218.0
269,2024-01-28,Guatemala,Terrestre,Familiares,Ahuachapan,1,881,2024,1,28,1,881.0
270,2023-03-27,Guatemala,Terrestre,Ocio,San Salvador,10,294,2023,3,27,1,29.4
271,2021-07-27,Honduras,Aerea,Negocios,Santa Ana,7,528,2021,7,27,3,75.43
272,2024-02-29,Estados Unidos,Aerea,Familiares,San Salvador,11,2056,2024,2,29,1,186.91
273,2022-02-08,Mexico,Terrestre,Familiares,San Salvador,4,2094,2022,2,8,1,523.5
274,2021-06-01,Honduras,Aerea,Ocio,San Salvador,10,2017,2021,6,1,2,201.7
275,2021-02-23,Honduras,Terrestre,Familiares,La Paz,8,1045,2021,2,23,1,130.62
276,2024-02-18,Guatemala,Aerea,Ocio,La Libertad,1,826,2024,2,18,1,826.0
