id_visita,idPais,idDepartamento,idTiempo,idMotivo,idVia,noches_estadia,gasto_total
126,2,7,123,3,2,1,1538
127,8,3,124,3,1,9,265
128,4,1,125,3,1,7,1360
129,2,5,126,1,1,1,2415
130,2,5,127,4,2,10,2251
131,3,2,128,2,2,2,1584
132,3,1,129,3,1,5,1601
133,5,8,130,3,2,3,619
134,2,1,131,3,2,1,622
135,3,4,121,3,2,5,223
136,3,6,132,1,1,8,1237
137,2,4,133,3,2,1,2173
138,3,8,134,3,1,6,1455
139,2,1,135,2,2,1,1641
140,2,4,136,2,2,8,678
141,3,6,137,4,1,5,967
142,6,5,138,5,2,3,138
143,2,1,139,3,2,8,2170
144,2,4,140,1,1,10,260
145,2,4,141,2,2,8,1271
146,2,2,142,2,2,3,928
147,2,6,143,5,2,7,1568
148,5,7,144,3,1,1,2174
149,2,6,145,3,1,3,150
150,8,2,146,5,2,7,756
151,2,3,147,2,2,3,1143
152,4,7,111,3,2,11,1738
153,1,2,148,2,2,7,2186
154,3,6,149,4,2,3,166
155,2,2,150,4,2,3,575
156,3,6,151,2,1,2,2023
157,3,4,152,1,1,5,743
158,4,3,153,3,1,11,1652
159,3,1,154,2,2,1,1441
160,2,8,155,2,2,11,1612
161,7,5,156,2,1,4,404
162,6,3,157,2,2,11,2111
163,3,1,158,3,1,4,491
164,4,4,159,3,1,10,1661
165,3,2,160,4,2,3,2107
166,5,8,161,2,2,5,2191
167,5,6,114,3,2,4,2146
168,5,7,59,2,2,8,2150
169,2,8,162,2,1,11,1482
170,3,4,163,5,1,8,840
171,3,4,164,2,1,10,2012
172,2,3,38,5,2,1,1806
173,2,2,165,5,1,8,1093
174,5,4,166,1,1,11,1390
175,3,8,167,2,1,9,1730
176,2,1,168,4,1,4,2435
177,7,4,169,2,2,11,1700
178,4,7,170,5,2,8,1514
179,3,5,171,3,2,9,1584
180,2,3,172,2,2,2,2363
181,8,8,173,3,1,11,2427
182,4,7,174,3,2,9,964
183,2,8,175,1,2,6,534
184,2,5,176,3,2,9,1965
185,2,2,177,2,1,11,1942
186,5,1,165,2,2,11,1303
187,2,4,178,2,2,8,891
188,3,3,125,3,2,4,1918
189,2,4,179,2,2,11,1071
190,1,8,180,3,1,7,2085
191,2,1,181,2,2,3,2285
192,3,6,182,3,2,1,1011
193,8,8,183,3,1,4,2088
194,2,1,143,1,2,4,373
195,2,7,184,1,1,5,1720
196,5,1,185,4,1,4,2045
197,2,4,186,2,1,9,973
198,7,1,182,2,2,5,1429
199,2,4,187,2,2,5,959
200,2,3,67,5,2,8,611
201,1,8,188,3,2,7,400
202,3,3,189,2,2,2,1825
203,5,7,190,1,2,1,1471
204,2,3,191,3,2,1,1782
205,2,5,192,3,2,1,1179
206,7,4,193,3,1,10,1102
207,2,7,165,3,1,6,687
208,3,2,194,3,2,5,1751
209,2,8,195,3,1,9,2434
210,2,2,196,2,1,6,705
211,5,1,89,2,2,10,878
212,7,5,76,2,2,10,1210
213,5,2,197,1,2,5,1283
214,5,7,198,3,1,7,2100
215,3,3,199,5,2,5,1912
216,3,6,200,1,1,1,2003
217,5,4,201,1,1,9,1759
218,2,6,202,2,1,4,1380
219,2,2,203,2,2,5,1395
220,8,5,132,2,2,4,253
221,2,2,204,3,2,6,2319
222,2,3,205,3,2,9,1947
223,3,5,206,2,1,1,761
224,5,6,207,3,1,4,2065
225,3,4,208,3,1,10,2324
226,2,7,209,3,2,3,1515
227,6,1,210,5,2,3,247
228,5,3,211,5,1,8,1971
229,7,8,212,2,1,8,1467
230,2,8,213,2,2,7,1909
231,2,7,214,2,1,10,1294
232,2,5,215,2,2,5,1631
233,2,1,216,2,2,2,1805
234,2,3,217,4,1,5,1375
235,2,7,218,4,1,4,1865
236,3,4,92,2,2,8,1141
237,5,4,219,1,1,6,1744
238,5,6,220,2,1,1,1191
239,2,8,56,2,2,5,375
240,2,5,221,3,1,8,390
241,2,2,222,3,2,1,1202
242,2,5,140,1,2,1,2400
243,2,5,223,4,2,3,529
244,3,3,224,2,2,1,447
245,1,2,225,5,2,6,1298
246,5,7,87,2,2,5,1781
247,3,7,15,2,1,5,868
248,4,7,226,2,2,3,2455
249,5,6,227,1,2,2,890
250,7,8,228,3,1,1,1365
251,3,1,229,5,2,2,370
252,3,6,230,2,2,10,1332
253,5,2,231,2,2,9,264
254,2,4,210,2,2,10,1001
255,5,1,232,3,1,5,724
256,8,5,233,2,2,11,1713
257,5,8,84,2,2,8,1788
258,2,7,234,2,2,3,1241
259,2,1,190,2,1,5,1438
260,5,8,235,3,2,7,774
261,8,5,236,3,2,2,2493
262,2,4,237,1,1,3,351
263,7,2,238,1,2,3,556
264,4,6,239,3,2,11,1074
265,2,3,153,1,1,9,1018
266,7,1,240,2,1,11,176
267,2,3,241,3,2,1,2142
268,3,4,181,2,1,9,1962
269,3,8,242,2,1,1,881
270,3,3,81,3,1,10,294
271,5,1,243,1,2,7,528
272,2,3,44,2,2,11,2056
273,4,3,244,2,1,4,2094
274,5,3,245,3,2,10,2017
275,5,6,246,2,1,8,1045
276,3,5,247,3,2,1,826
277,2,7,170,1,1,1,1633
278,3,6,248,3,1,6,1271
279,1,4,249,5,2,5,1905
280,2,4,250,2,2,5,1297
281,6,6,251,2,2,2,1480
282,5,4,237,1,2,2,2464
283,5,5,252,4,2,4,180
284,5,5,253,4,2,2,2195
285,3,4,254,2,2,4,2205
286,5,3,124,3,1,5,2308
287,2,8,255,2,2,4,1028
288,7,6,256,3,1,6,2199
289,5,7,257,3,1,3,1198
290,5,1,87,1,2,2,727
291,5,1,258,3,2,1,2055
292,2,3,259,1,2,5,1410
293,2,7,260,5,2,4,1739
294,5,6,261,3,1,9,2024
295,2,3,262,3,2,10,1252
296,3,6,133,3,1,1,2203
297,2,7,263,3,1,9,357
298,2,3,81,1,2,8,1828
299,2,8,264,2,2,10,939
300,7,5,265,3,1,11,794
301,3,1,266,3,1,4,144
302,3,4,203,2,2,11,761
303,8,3,267,3,1,2,1577
304,2,6,119,3,1,3,658
305,2,4,268,3,2,10,1065
306,5,4,27,2,2,9,1802
307,5,4,219,5,2,10,2017
308,2,1,269,2,2,2,913
309,8,3,270,3,1,8,1560
310,8,2,271,2,2,10,1019
311,2,1,272,3,2,1,1849
312,2,4,273,3,2,4,832
313,7,2,274,2,2,3,1209
314,2,6,275,2,2,10,303
315,2,5,41,2,1,2,1653
316,5,5,276,2,2,3,385
317,3,8,168,2,2,3,2479
318,3,6,277,2,2,9,2151
319,2,2,278,4,2,3,1807
320,3,4,263,2,2,9,599
321,3,5,279,3,1,4,2377
322,2,8,280,2,1,1,1954
323,2,4,88,1,1,8,2108
324,3,5,281,3,2,10,163
325,8,2,238,2,1,5,2276
326,8,8,282,3,1,2,247
327,2,3,81,3,1,9,139
328,5,5,283,2,2,7,1914
329,5,7,284,3,2,6,800
330,5,5,23,1,1,2,1558
331,3,7,285,2,1,6,1989
332,2,7,286,3,1,7,724
333,5,3,287,1,2,5,316
334,2,2,288,4,2,5,274
335,2,8,289,3,1,4,836
336,3,2,290,2,2,10,1257
337,6,3,291,3,1,1,1102
338,2,5,13,2,2,10,1726
339,3,7,292,3,1,7,925
340,2,3,124,3,2,3,327
341,1,6,239,2,2,5,1375
342,3,4,205,3,2,8,1703
343,2,3,217,3,1,2,379
344,2,4,293,2,2,4,438
345,2,8,294,3,1,9,2329
346,2,7,295,2,2,11,1100
347,2,7,296,3,1,2,334
348,5,1,242,2,2,8,2120
349,2,8,36,1,2,9,1634
350,5,2,297,2,1,3,1077
351,2,5,298,1,1,5,906
352,3,5,299,2,1,4,1355
353,2,6,30,2,2,10,1460
354,2,5,300,2,1,10,2290
355,3,6,301,2,1,8,402
356,2,6,26,3,1,8,137
357,7,2,302,3,1,11,723
358,3,6,303,3,2,5,1901
359,3,2,304,3,2,5,976
360,2,4,305,1,2,1,2154
361,2,8,72,2,1,5,2378
362,3,4,306,1,1,1,1503
363,3,6,303,1,1,4,1746
364,2,4,307,2,2,7,392
365,2,3,308,3,1,11,759
366,2,8,309,2,1,11,956
367,3,2,310,5,2,2,2364
368,2,1,311,3,2,1,1902
369,3,3,312,2,1,2,1888
370,2,7,313,3,2,7,1428
371,3,6,185,3,2,3,1439
372,2,1,314,3,2,5,1650
373,3,2,315,2,2,1,1301
374,2,1,316,3,2,10,1443
375,2,8,317,5,1,10,2460
376,2,1,318,4,2,10,2216
377,2,6,319,3,1,8,1365
378,2,8,320,1,2,4,345
379,5,3,321,4,1,10,1717
380,4,8,322,2,2,2,535
381,2,1,323,3,1,8,307
382,7,8,152,2,2,10,1564
383,3,8,324,3,2,5,2256
384,2,8,325,5,2,2,163
385,6,3,326,4,2,9,2286
386,7,4,327,5,2,6,2032
387,6,1,328,2,1,8,2191
388,2,2,329,1,2,2,1506
389,2,6,330,1,2,5,1750
390,3,1,331,3,2,11,312
391,3,6,332,3,2,3,705
392,2,4,333,5,2,8,317
393,4,4,334,4,2,1,1441
394,3,3,335,2,1,9,2228
395,2,1,336,2,2,6,1726
396,3,2,337,5,1,1,2072
397,3,5,338,2,2,3,1839
398,2,7,339,2,1,8,1869
399,6,3,310,2,1,8,853
400,2,7,340,3,2,3,1512
401,2,8,341,2,2,10,2141
402,4,6,342,1,1,8,930
403,6,7,343,3,1,6,2034
404,7,3,344,2,2,7,278
405,4,2,345,4,2,2,2034
406,3,4,306,5,2,1,1681
407,8,6,346,1,1,11,601
408,2,6,347,3,1,1,1863
409,5,8,157,1,1,3,1657
410,5,6,348,2,1,7,465
411,2,5,349,2,2,9,229
412,3,8,350,5,2,2,1917
413,3,4,351,3,1,6,349
414,5,4,128,2,2,8,266
415,2,5,297,1,2,11,2059
416,5,6,352,3,2,9,192
417,2,8,89,2,1,10,2396
418,2,5,353,2,1,3,280
419,4,6,354,3,2,5,1264
420,3,2,1,3,2,5,1755
421,2,6,355,2,2,11,262
422,2,8,356,2,2,8,1753
423,5,5,357,2,1,1,1092
424,6,2,358,2,1,11,1713
425,1,2,206,1,1,3,2384
426,5,5,359,3,2,6,1070
427,2,8,360,3,1,6,839
428,2,6,361,3,2,4,311
429,2,5,362,3,1,5,1381
430,2,3,363,1,1,10,1697
431,2,5,364,1,1,3,2170
432,2,2,365,2,1,4,706
433,3,6,366,3,2,10,534
434,2,1,367,3,1,10,781
435,5,7,73,2,2,1,2181
436,8,6,368,2,2,6,1726
437,3,2,369,2,2,5,532
438,5,4,370,2,2,5,1774
439,5,6,371,3,1,4,522
440,2,7,56,1,2,9,190
441,2,2,372,2,2,11,1637
442,2,7,373,3,2,11,781
443,2,1,374,3,1,9,530
444,5,8,375,3,1,5,1955
445,1,4,316,3,2,7,1560
446,8,4,159,3,1,3,1600
447,2,5,371,1,1,1,1157
448,6,7,376,5,2,1,1929
449,2,7,377,2,2,3,585
450,7,4,378,2,2,3,553
451,2,7,379,3,2,5,1378
452,2,3,380,2,1,8,2274
453,2,8,381,3,2,6,1854
454,4,6,382,3,2,8,1112
455,2,1,383,5,1,7,801
456,2,6,235,3,1,1,1922
457,1,3,384,3,2,10,440
458,8,3,385,3,1,8,281
459,2,3,386,1,2,1,1279
460,5,1,387,2,2,5,439
461,2,4,388,2,1,3,212
462,2,3,3,3,1,7,1521
463,3,3,198,4,2,5,1343
464,2,7,389,1,1,2,1178
465,3,7,390,2,1,1,1515
466,3,4,391,2,1,10,1701
467,3,3,392,3,2,6,1951
468,5,3,155,5,1,6,1185
469,5,4,393,3,1,8,631
470,2,1,394,3,1,9,675
471,2,6,288,3,1,2,1573
472,3,1,395,4,2,5,971
473,5,4,396,3,2,5,288
474,3,1,397,3,2,10,774
475,3,3,398,3,2,8,427
476,2,5,39,3,1,9,1979
477,3,4,399,3,1,5,510
478,2,6,238,2,1,5,2058
479,1,8,400,3,2,3,707
480,3,6,401,2,2,6,1989
481,2,8,402,5,2,7,124
482,3,5,403,2,1,3,321
483,7,8,404,4,1,2,1388
484,2,6,405,4,1,2,1726
485,3,4,225,3,2,9,911
486,5,3,406,2,1,6,632
487,5,3,407,2,2,2,259
488,2,3,408,2,2,5,699
489,3,3,409,2,2,7,1121
490,1,2,410,3,2,1,1403
491,6,3,14,3,1,11,174
492,3,2,378,2,1,8,2482
493,6,4,411,1,2,11,304
494,3,6,412,3,2,6,765
495,2,6,413,2,2,1,2467
496,3,2,183,2,2,8,696
497,2,6,414,3,1,5,1350
498,2,1,415,2,2,7,708
499,3,5,416,3,2,10,142
500,7,1,417,3,2,4,1040
501,5,2,418,3,2,2,1201
502,3,5,90,2,2,8,297
503,2,4,419,1,1,4,809
504,2,2,420,2,1,8,2477
505,2,3,293,1,2,9,809
506,5,5,421,2,2,11,2092
507,2,2,422,2,2,4,494
508,2,3,423,2,2,8,778
509,2,6,424,3,2,4,171
510,5,7,94,5,1,8,564
511,4,2,260,2,1,1,988
512,5,4,425,2,2,2,1231
513,2,5,426,2,2,10,481
514,2,6,184,2,2,3,2060
515,2,2,427,2,2,2,1366
516,2,2,428,3,1,10,600
517,2,6,429,2,2,8,1898
518,2,4,430,2,2,10,1566
519,2,8,431,3,1,11,2378
520,2,8,432,3,1,9,276
521,2,4,433,2,2,9,1560
522,3,7,434,4,2,1,1186
523,6,3,435,3,2,9,1758
524,4,5,436,3,1,8,2469
525,2,4,65,1,1,8,1528
526,2,3,339,5,1,3,859
527,4,8,437,2,1,8,1307
528,2,5,438,2,1,2,437
529,7,8,64,1,2,2,396
530,3,7,439,3,1,4,1036
531,8,6,440,2,1,7,646
532,4,3,70,2,2,4,1193
533,5,4,441,3,2,2,2365
534,3,7,442,1,2,5,2312
535,2,1,443,3,2,8,1520
536,2,1,355,1,1,7,1637
537,2,2,444,2,2,7,177
538,2,3,445,2,1,9,1437
539,2,4,446,2,2,5,2359
540,2,2,447,4,1,4,805
541,4,4,249,1,1,10,2486
542,2,3,448,3,1,11,675
543,2,5,263,2,2,9,130
544,2,7,144,3,1,11,2063
545,3,5,449,1,2,11,1748
546,2,7,450,1,1,11,133
547,6,6,451,3,2,1,1357
548,3,8,452,2,1,6,1487
549,3,1,453,3,1,11,2232
550,2,1,454,3,1,3,1354
551,3,6,455,2,1,6,2007
552,7,6,242,4,2,7,1404
553,2,6,456,2,2,1,1504
554,2,4,397,1,2,6,187
555,2,6,145,2,2,8,444
556,6,3,457,3,1,5,1236
557,2,6,342,2,1,5,1437
558,1,2,458,3,1,7,1447
559,2,8,459,1,2,8,1173
560,3,6,460,2,2,7,2013
561,5,3,91,3,2,3,525
562,2,1,361,3,1,6,1825
563,2,7,461,5,2,9,1512
564,2,1,462,3,1,2,1612
565,2,1,463,2,2,9,1130
566,7,7,464,5,2,3,1775
567,2,8,448,5,1,3,909
568,3,3,346,2,1,10,790
569,2,8,431,4,1,2,562
570,2,6,188,3,2,3,1786
571,3,5,465,5,2,7,349
572,3,1,466,2,2,3,208
573,2,1,467,2,1,1,1441
574,3,5,468,1,2,4,979
575,2,6,181,5,1,7,575
576,4,7,469,2,1,6,1915
577,2,1,470,3,1,10,1995
578,2,6,471,1,2,3,2418
579,5,2,472,3,2,1,527
580,2,7,473,1,1,8,2464
581,2,5,474,3,1,2,2280
582,2,3,475,3,1,5,2067
583,4,8,61,5,2,3,1689
584,8,6,210,2,1,4,2495
585,5,5,476,1,2,3,1756
586,3,8,395,3,2,3,1767
587,3,7,242,2,1,3,2039
588,2,5,467,2,2,10,1381
589,2,5,477,5,2,11,1565
590,8,7,478,2,2,11,489
591,2,4,479,2,2,8,2236
592,2,3,480,4,2,11,2331
593,1,4,481,2,2,1,674
594,5,1,482,5,2,2,1149
595,2,8,319,2,1,2,2287
596,2,2,483,3,1,9,741
597,3,1,484,2,1,7,488
598,3,6,485,2,2,10,1956
599,2,5,486,3,2,7,721
600,2,1,133,4,1,8,882
601,6,3,412,5,2,2,1572
602,2,3,376,4,2,10,2153
603,3,7,487,3,2,11,1267
604,2,4,259,2,2,1,1537
605,2,4,10,3,1,6,903
606,2,2,488,3,1,3,2437
607,1,1,489,2,1,2,1313
608,4,4,490,1,1,3,696
609,2,7,491,3,1,4,1270
610,4,4,492,3,2,5,1629
611,2,3,493,2,2,10,1974
612,3,4,494,2,1,10,620
613,2,7,495,4,2,4,334
614,4,8,496,1,1,8,1273
615,2,3,497,3,2,6,721
616,3,4,434,5,1,7,181
617,5,2,498,2,1,4,1701
618,2,6,499,1,2,7,227
619,2,1,428,3,1,5,504
620,2,7,500,5,1,11,203
621,5,6,316,3,1,2,2186
622,2,5,501,3,1,9,1624
623,3,8,135,2,2,2,2155
624,8,6,376,2,1,2,821
625,2,3,502,2,2,3,1151
626,2,3,503,3,1,4,629
627,5,8,504,2,1,7,1000
628,5,6,250,1,2,5,1997
629,8,6,505,2,1,7,2022
630,2,5,275,1,1,1,2385
631,2,7,346,1,1,4,2013
632,7,4,506,3,1,2,837
633,5,5,35,2,1,6,681
634,3,1,507,2,2,2,298
635,2,3,91,2,1,4,700
636,2,7,508,3,1,5,810
637,2,1,509,3,1,8,1987
638,8,1,510,2,2,5,460
639,2,6,83,2,2,2,214
640,3,3,229,1,1,10,1227
641,3,7,468,2,2,8,1196
642,2,7,511,2,2,8,1552
643,2,1,512,1,1,10,2258
644,3,6,48,5,2,1,505
645,2,2,513,3,2,9,2468
646,2,8,514,2,2,8,252
647,2,5,515,2,2,1,314
648,5,6,516,3,2,9,2064
649,6,6,517,2,2,11,1681
650,3,1,518,2,1,9,886
651,5,6,436,3,1,8,2432
652,3,4,288,3,2,11,794
653,3,6,371,3,2,10,639
654,6,4,519,3,1,7,1028
655,2,1,82,2,2,6,227
656,2,7,520,3,2,5,2402
657,8,6,521,1,2,6,2128
658,5,4,522,2,2,1,1678
659,2,5,523,4,1,1,161
660,6,3,524,2,1,9,668
661,2,8,525,2,2,6,2230
662,2,1,38,1,2,3,232
663,3,2,526,5,1,9,1174
664,2,2,527,2,2,3,1746
665,5,4,459,2,2,9,1345
666,2,3,528,2,1,5,992
667,2,5,529,3,2,1,293
668,3,6,224,3,1,11,1721
669,3,4,530,3,2,5,1483
670,2,2,531,2,2,10,787
671,6,6,532,2,2,2,838
672,3,5,533,2,2,2,1103
673,2,1,327,3,2,1,1710
674,2,3,534,3,1,10,2257
675,5,4,517,3,2,4,1226
676,3,5,535,3,1,4,921
677,2,2,536,3,2,5,1035
678,2,2,537,5,1,4,440
679,2,3,538,3,1,2,1184
680,2,1,539,3,2,5,1647
681,3,5,200,3,1,8,2255
682,8,2,92,1,1,6,975
683,2,4,540,5,2,5,912
684,4,2,252,3,1,7,566
685,8,1,541,2,1,1,351
686,1,8,360,1,2,6,1328
687,8,2,181,3,1,2,1349
688,7,7,542,5,2,5,1656
689,3,8,335,2,2,10,753
690,2,2,229,4,2,4,1330
691,3,6,13,3,2,7,359
692,4,8,172,4,2,9,776
693,2,3,364,1,2,9,402
694,2,4,334,1,1,10,202
695,2,6,543,2,2,1,1466
696,7,2,544,2,2,7,1697
697,5,7,545,3,2,7,301
698,3,7,546,2,2,5,1258
699,2,1,547,4,1,8,2420
700,5,7,548,3,2,10,2382
701,2,8,549,2,1,4,2486
702,3,4,333,3,2,11,1212
703,2,3,550,3,1,1,2141
704,6,5,551,2,2,4,1748
705,3,5,552,2,1,11,1590
706,3,1,553,2,2,2,864
707,5,5,554,3,2,3,1940
708,3,4,163,2,1,4,2062
709,2,6,450,2,1,7,1283
710,3,2,438,1,2,9,1928
711,8,7,555,2,1,4,434
712,2,7,556,3,1,2,2149
713,5,7,557,3,2,10,334
714,6,5,558,1,2,10,2349
715,7,7,559,2,2,4,879
716,3,4,560,5,2,8,1519
717,5,4,113,2,2,11,1916
718,8,8,561,2,2,2,1626
719,8,4,562,3,2,8,2158
720,6,4,563,1,2,5,1437
721,3,8,564,2,2,2,269
722,2,6,212,3,2,8,1081
723,2,3,224,2,2,2,1937
724,2,1,565,2,1,4,231
725,8,4,559,3,2,2,1014
726,4,8,209,5,1,6,1834
727,3,3,566,2,1,3,943
728,3,3,567,2,2,7,1741
729,2,6,434,3,2,6,382
730,3,4,568,5,1,1,1427
731,5,4,569,3,2,9,873
732,2,8,570,2,2,7,920
733,2,7,571,3,2,1,1248
734,3,5,572,2,2,4,2108
735,2,6,573,2,2,4,1136
736,6,5,529,5,1,6,590
737,2,2,279,1,2,3,2332
738,1,1,574,5,1,2,620
739,2,2,575,3,2,3,2394
740,2,8,357,3,2,4,2107
741,3,4,130,3,2,8,253
742,5,5,576,2,1,11,189
743,3,8,415,2,2,8,979
744,2,5,577,2,2,1,708
745,2,3,578,3,2,9,1982
746,3,5,579,3,2,4,925
747,2,3,580,2,2,4,727
748,2,4,581,5,1,4,1974
749,5,3,466,3,2,7,1116
750,2,1,582,2,2,2,1869
751,2,5,583,2,1,7,1242
752,2,4,584,2,1,10,1325
753,6,2,585,4,2,11,1144
754,2,6,586,2,1,2,1995
755,1,3,135,2,2,3,1918
756,2,7,587,2,1,11,1190
757,5,8,588,2,2,11,2153
758,2,4,242,3,2,5,1186
759,3,6,35,2,1,1,761
760,7,3,194,2,2,11,873
761,7,2,589,4,2,8,2455
762,5,7,362,3,2,6,1468
763,7,3,292,2,2,4,2335
764,2,8,519,3,1,3,416
765,3,1,571,2,2,7,1763
766,3,8,590,4,2,6,1785
767,1,3,591,2,1,9,1698
768,2,8,592,2,1,2,1002
769,8,7,392,3,2,6,1733
770,3,5,593,2,1,10,1854
771,3,1,514,3,2,1,2054
772,2,7,594,1,1,4,1481
773,2,3,564,2,1,4,1752
774,5,3,595,3,1,9,726
775,3,6,596,2,1,9,1125
776,8,3,452,3,2,8,495
777,5,4,597,2,2,8,1853
778,3,4,340,2,2,11,2211
779,4,1,327,1,1,5,667
780,3,4,598,2,1,11,2094
781,3,3,599,1,2,3,1310
782,2,6,234,3,2,10,1595
783,2,2,382,2,1,5,305
784,5,6,600,2,2,10,2334
785,1,6,163,3,1,7,1376
786,2,3,601,3,1,8,1352
787,2,2,6,3,2,8,874
788,3,8,390,3,2,2,1287
789,2,7,602,2,1,7,2263
790,5,4,603,2,2,4,1164
791,5,1,276,3,2,4,196
792,2,4,604,3,2,9,476
793,1,8,590,3,2,7,2312
794,3,1,605,2,2,5,1259
795,3,4,606,2,1,5,1421
796,2,7,349,1,1,7,1035
797,2,5,607,1,2,9,1524
798,4,7,608,4,1,6,1268
799,2,6,609,2,2,10,1026
800,2,7,610,2,2,7,2402
801,2,6,203,3,2,4,1673
802,2,5,233,3,1,9,2335
803,2,8,132,2,1,8,818
804,2,3,611,3,2,9,1724
805,8,1,612,2,2,5,298
806,5,4,613,2,1,11,1372
807,2,1,540,3,2,1,347
808,5,5,582,2,1,8,752
809,2,7,156,3,2,8,2149
810,3,5,614,2,1,7,1470
811,2,4,615,2,2,7,736
812,2,5,616,1,2,5,2390
813,4,2,250,3,1,8,216
814,2,6,92,1,2,3,1876
815,7,1,617,3,2,11,451
816,2,3,21,3,2,5,814
817,2,8,605,5,2,10,786
818,5,2,618,2,2,10,2406
819,3,6,279,2,2,9,900
820,2,8,619,4,2,11,315
821,2,2,620,2,1,8,392
822,2,7,615,3,2,9,799
823,8,6,621,1,2,8,498
824,3,5,622,5,1,6,1029
825,2,7,623,5,1,7,596
826,4,7,624,3,2,6,466
827,2,8,625,3,2,2,865
828,2,7,619,2,2,1,2172
829,2,3,282,2,2,1,580
830,3,7,626,4,1,7,1899
831,2,5,320,4,1,8,1276
832,3,1,73,2,1,1,473
833,1,1,627,2,2,1,2073
834,2,1,628,3,1,7,2099
835,2,7,629,3,2,11,403
836,2,8,630,1,2,5,1713
