id_visita,fecha,pais_origen,via_ingreso,motivo_viaje,departamento_visitado,noches_estadia,gasto_total
95,2023-02-03,Nicaragua,Aerea,Familiares,San Miguel,9,1346
96,2021-07-07,Nicaragua,Terrestre,Religioso,Ahuachapan,11,851
97,2022-01-15,Guatemala,Aerea,Familiares,Santa Ana,11,1923
98,2022-05-08,Guatemala,Terrestre,Ocio,Santa Ana,5,1416
99,2023-12-01,Honduras,Aerea,Ocio,San Salvador,6,2028
100,2024-03-26,Honduras,Terrestre,Negocios,Santa Ana,7,1348
101,2021-01-15,Estados Unidos,Terrestre,Familiares,Ahuachapan,3,644
102,2021-03-06,Honduras,Aerea,Ocio,Ahuachapan,1,2327
103,2022-06-05,Canada,Aerea,Ocio,Santa Ana,2,1500
104,2024-09-29,Estados Unidos,Aerea,Familiares,Usulutan,4,2336
105,2024-02-27,Costa Rica,Terrestre,Familiares,Ahuachapan,9,2424
106,2022-10-10,Estados Unidos,Aerea,Familiares,San Miguel,1,206
107,2023-12-23,Estados Unidos,Aerea,Familiares,Sonsonate,6,2372
108,2024-03-08,Estados Unidos,Aerea,Negocios,Sonsonate,4,1888
109,2022-08-16,Estados Unidos,Aerea,Ocio,Usulutan,6,1498
110,2022-01-27,Nicaragua,Terrestre,Ocio,Santa Ana,2,2132
111,2022-02-23,Canada,Aerea,Familiares,Usulutan,2,2489
112,2021-10-16,Honduras,Terrestre,Familiares,Ahuachapan,7,807
113,2022-01-14,España,Terrestre,Ocio,Sonsonate,5,2221
114,2021-08-19,Estados Unidos,Aerea,Religioso,Sonsonate,6,1786
115,2023-10-15,Estados Unidos,Terrestre,Negocios,San Miguel,4,1605
116,2021-02-10,Guatemala,Aerea,Religioso,San Miguel,1,1476
117,2023-11-18,Nicaragua,Terrestre,Ocio,Ahuachapan,8,2041
118,2021-05-15,Estados Unidos,Aerea,Familiares,Usulutan,1,2094
119,2021-07-20,España,Terrestre,Familiares,Santa Ana,8,320
120,2023-02-19,Guatemala,Aerea,Religioso,La Libertad,11,391
121,2023-07-19,España,Terrestre,Ocio,Santa Ana,1,815
122,2023-11-23,Estados Unidos,Terrestre,Negocios,Ahuachapan,10,2345
123,2023-12-08,Guatemala,Aerea,Ocio,La Paz,10,2148
124,2022-05-18,Honduras,Aerea,Negocios,Sonsonate,4,216
125,2022-02-11,Honduras,Terrestre,Familiares,Ahuachapan,6,716
126,2023-03-16,Estados Unidos,Aerea,Ocio,Usulutan,1,1538
127,2021-04-09,Costa Rica,Terrestre,Ocio,San Salvador,9,265
128,2022-11-15,Mexico,Terrestre,Ocio,Santa Ana,7,1360
129,2022-12-27,Estados Unidos,Terrestre,Negocios,La Libertad,1,2415
130,2023-08-19,Estados Unidos,Aerea,Salud,La Libertad,10,2251
131,2022-09-05,Guatemala,Aerea,Familiares,Sonsonate,2,1584
132,2022-10-05,Guatemala,Terrestre,Ocio,Santa Ana,5,1601
133,2023-10-26,Honduras,Aerea,Ocio,Ahuachapan,3,619
134,2024-05-26,Estados Unidos,Aerea,Ocio,Santa Ana,1,622
135,2022-05-18,Guatemala,Aerea,Ocio,San Miguel,5,223
136,2023-02-06,Guatemala,Terrestre,Negocios,La Paz,8,1237
137,2022-02-02,Estados Unidos,Aerea,Ocio,San Miguel,1,2173
138,2023-05-21,Guatemala,Terrestre,Ocio,Ahuachapan,6,1455
139,2023-03-06,Estados Unidos,Aerea,Familiares,Santa Ana,1,1641
140,2022-01-28,Estados Unidos,Aerea,Familiares,San Miguel,8,678
141,2021-07-26,Guatemala,Terrestre,Salud,La Paz,5,967
142,2023-11-05,España,Aerea,Religioso,La Libertad,3,138
143,2023-06-11,Estados Unidos,Aerea,Ocio,Santa Ana,8,2170
144,2023-05-14,Estados Unidos,Terrestre,Negocios,San Miguel,10,260
145,2023-01-13,Estados Unidos,Aerea,Familiares,San Miguel,8,1271
146,2024-06-18,Estados Unidos,Aerea,Familiares,Sonsonate,3,928
147,2022-07-18,Estados Unidos,Aerea,Religioso,La Paz,7,1568
148,2023-10-18,Honduras,Terrestre,Ocio,Usulutan,1,2174
149,2021-04-06,Estados Unidos,Terrestre,Ocio,La Paz,3,150
150,2022-04-30,Costa Rica,Aerea,Religioso,Sonsonate,7,756
151,2024-12-01,Estados Unidos,Aerea,Familiares,San Salvador,3,1143
152,2021-08-19,Mexico,Aerea,Ocio,Usulutan,11,1738
153,2023-01-19,Canada,Aerea,Familiares,Sonsonate,7,2186
154,2024-04-09,Guatemala,Aerea,Salud,La Paz,3,166
155,2022-06-25,Estados Unidos,Aerea,Salud,Sonsonate,3,575
156,2023-11-26,Guatemala,Terrestre,Familiares,La Paz,2,2023
157,2022-06-09,Guatemala,Terrestre,Negocios,San Miguel,5,743
158,2024-03-29,Mexico,Terrestre,Ocio,San Salvador,11,1652
159,2024-06-20,Guatemala,Aerea,Familiares,Santa Ana,1,1441
160,2024-01-15,Estados Unidos,Aerea,Familiares,Ahuachapan,11,1612
161,2022-08-01,Nicaragua,Terrestre,Familiares,La Libertad,4,404
162,2022-11-13,España,Aerea,Familiares,San Salvador,11,2111
163,2022-07-11,Guatemala,Terrestre,Ocio,Santa Ana,4,491
164,2023-10-10,Mexico,Terrestre,Ocio,San Miguel,10,1661
165,2022-10-08,Guatemala,Aerea,Salud,Sonsonate,3,2107
166,2023-03-07,Honduras,Aerea,Familiares,Ahuachapan,5,2191
167,2023-11-18,Honduras,Aerea,Ocio,La Paz,4,2146
168,2024-09-25,Honduras,Aerea,Familiares,Usulutan,8,2150
169,2024-09-16,Estados Unidos,Terrestre,Familiares,Ahuachapan,11,1482
170,2024-10-03,Guatemala,Terrestre,Religioso,San Miguel,8,840
171,2024-06-08,Guatemala,Terrestre,Familiares,San Miguel,10,2012
172,2021-07-09,Estados Unidos,Aerea,Religioso,San Salvador,1,1806
173,2024-06-02,Estados Unidos,Terrestre,Religioso,Sonsonate,8,1093
174,2024-11-09,Honduras,Terrestre,Negocios,San Miguel,11,1390
175,2024-11-01,Guatemala,Terrestre,Familiares,Ahuachapan,9,1730
176,2024-07-30,Estados Unidos,Terrestre,Salud,Santa Ana,4,2435
177,2022-09-25,Nicaragua,Aerea,Familiares,San Miguel,11,1700
178,2022-09-20,Mexico,Aerea,Religioso,Usulutan,8,1514
179,2023-08-31,Guatemala,Aerea,Ocio,La Libertad,9,1584
180,2024-07-06,Estados Unidos,Aerea,Familiares,San Salvador,2,2363
181,2024-10-14,Costa Rica,Terrestre,Ocio,Ahuachapan,11,2427
182,2022-12-11,Mexico,Aerea,Ocio,Usulutan,9,964
183,2024-12-05,Estados Unidos,Aerea,Negocios,Ahuachapan,6,534
184,2022-10-11,Estados Unidos,Aerea,Ocio,La Libertad,9,1965
185,2021-11-14,Estados Unidos,Terrestre,Familiares,Sonsonate,11,1942
186,2024-06-02,Honduras,Aerea,Familiares,Santa Ana,11,1303
187,2024-06-11,Estados Unidos,Aerea,Familiares,San Miguel,8,891
188,2022-11-15,Guatemala,Aerea,Ocio,San Salvador,4,1918
189,2022-10-26,Estados Unidos,Aerea,Familiares,San Miguel,11,1071
190,2024-10-29,Canada,Terrestre,Ocio,Ahuachapan,7,2085
191,2024-06-10,Estados Unidos,Aerea,Familiares,Santa Ana,3,2285
192,2024-02-11,Guatemala,Aerea,Ocio,La Paz,1,1011
193,2022-03-18,Costa Rica,Terrestre,Ocio,Ahuachapan,4,2088
194,2022-07-18,Estados Unidos,Aerea,Negocios,Santa Ana,4,373
195,2024-07-15,Estados Unidos,Terrestre,Negocios,Usulutan,5,1720
196,2024-11-10,Honduras,Terrestre,Salud,Santa Ana,4,2045
197,2024-11-11,Estados Unidos,Terrestre,Familiares,San Miguel,9,973
198,2024-02-11,Nicaragua,Aerea,Familiares,Santa Ana,5,1429
199,2023-08-10,Estados Unidos,Aerea,Familiares,San Miguel,5,959
200,2024-01-10,Estados Unidos,Aerea,Religioso,San Salvador,8,611
201,2022-11-30,Canada,Aerea,Ocio,Ahuachapan,7,400
202,2021-04-23,Guatemala,Aerea,Familiares,San Salvador,2,1825
203,2021-01-02,Honduras,Aerea,Negocios,Usulutan,1,1471
204,2022-10-04,Estados Unidos,Aerea,Ocio,San Salvador,1,1782
205,2021-08-08,Estados Unidos,Aerea,Ocio,La Libertad,1,1179
206,2023-05-05,Nicaragua,Terrestre,Ocio,San Miguel,10,1102
207,2024-06-02,Estados Unidos,Terrestre,Ocio,Usulutan,6,687
208,2022-01-20,Guatemala,Aerea,Ocio,Sonsonate,5,1751
209,2024-11-27,Estados Unidos,Terrestre,Ocio,Ahuachapan,9,2434
210,2024-02-28,Estados Unidos,Terrestre,Familiares,Sonsonate,6,705
211,2023-12-13,Honduras,Aerea,Familiares,Santa Ana,10,878
212,2022-12-31,Nicaragua,Aerea,Familiares,La Libertad,10,1210
213,2024-12-10,Honduras,Aerea,Negocios,Sonsonate,5,1283
214,2021-09-04,Honduras,Terrestre,Ocio,Usulutan,7,2100
215,2023-04-16,Guatemala,Aerea,Religioso,San Salvador,5,1912
216,2021-07-22,Guatemala,Terrestre,Negocios,La Paz,1,2003
217,2024-04-22,Honduras,Terrestre,Negocios,San Miguel,9,1759
218,2021-05-03,Estados Unidos,Terrestre,Familiares,La Paz,4,1380
219,2022-02-05,Estados Unidos,Aerea,Familiares,Sonsonate,5,1395
220,2023-02-06,Costa Rica,Aerea,Familiares,La Libertad,4,253
221,2021-10-21,Estados Unidos,Aerea,Ocio,Sonsonate,6,2319
222,2021-10-07,Estados Unidos,Aerea,Ocio,San Salvador,9,1947
223,2023-06-03,Guatemala,Terrestre,Familiares,La Libertad,1,761
224,2021-07-17,Honduras,Terrestre,Ocio,La Paz,4,2065
225,2023-09-09,Guatemala,Terrestre,Ocio,San Miguel,10,2324
226,2023-01-22,Estados Unidos,Aerea,Ocio,Usulutan,3,1515
227,2021-05-24,España,Aerea,Religioso,Santa Ana,3,247
228,2022-09-01,Honduras,Terrestre,Religioso,San Salvador,8,1971
229,2024-05-09,Nicaragua,Terrestre,Familiares,Ahuachapan,8,1467
230,2024-02-22,Estados Unidos,Aerea,Familiares,Ahuachapan,7,1909
231,2021-07-06,Estados Unidos,Terrestre,Familiares,Usulutan,10,1294
232,2024-09-11,Estados Unidos,Aerea,Familiares,La Libertad,5,1631
233,2022-04-09,Estados Unidos,Aerea,Familiares,Santa Ana,2,1805
234,2024-10-04,Estados Unidos,Terrestre,Salud,San Salvador,5,1375
235,2022-10-22,Estados Unidos,Terrestre,Salud,Usulutan,4,1865
236,2023-02-03,Guatemala,Aerea,Familiares,San Miguel,8,1141
237,2023-08-13,Honduras,Terrestre,Negocios,San Miguel,6,1744
238,2022-02-07,Honduras,Terrestre,Familiares,La Paz,1,1191
239,2024-10-01,Estados Unidos,Aerea,Familiares,Ahuachapan,5,375
240,2021-05-27,Estados Unidos,Terrestre,Ocio,La Libertad,8,390
241,2024-03-17,Estados Unidos,Aerea,Ocio,Sonsonate,1,1202
242,2023-05-14,Estados Unidos,Aerea,Negocios,La Libertad,1,2400
243,2022-05-04,Estados Unidos,Aerea,Salud,La Libertad,3,529
244,2023-07-18,Guatemala,Aerea,Familiares,San Salvador,1,447
245,2022-07-05,Canada,Aerea,Religioso,Sonsonate,6,1298
246,2021-12-04,Honduras,Aerea,Familiares,Usulutan,5,1781
247,2023-05-22,Guatemala,Terrestre,Familiares,Usulutan,5,868
248,2022-10-03,Mexico,Aerea,Familiares,Usulutan,3,2455
249,2022-04-18,Honduras,Aerea,Negocios,La Paz,2,890
250,2021-05-31,Nicaragua,Terrestre,Ocio,Ahuachapan,1,1365
251,2024-12-09,Guatemala,Aerea,Religioso,Santa Ana,2,370
252,2024-08-14,Guatemala,Aerea,Familiares,La Paz,10,1332
253,2021-09-20,Honduras,Aerea,Familiares,Sonsonate,9,264
254,2021-05-24,Estados Unidos,Aerea,Familiares,San Miguel,10,1001
255,2021-12-12,Honduras,Terrestre,Ocio,Santa Ana,5,724
256,2022-09-16,Costa Rica,Aerea,Familiares,La Libertad,11,1713
257,2023-10-14,Honduras,Aerea,Familiares,Ahuachapan,8,1788
258,2023-05-31,Estados Unidos,Aerea,Familiares,Usulutan,3,1241
259,2021-01-02,Estados Unidos,Terrestre,Familiares,Santa Ana,5,1438
260,2023-06-16,Honduras,Aerea,Ocio,Ahuachapan,7,774
261,2024-08-20,Costa Rica,Aerea,Ocio,La Libertad,2,2493
262,2021-09-11,Estados Unidos,Terrestre,Negocios,San Miguel,3,351
263,2022-03-29,Nicaragua,Aerea,Negocios,Sonsonate,3,556
264,2023-11-27,Mexico,Aerea,Ocio,La Paz,11,1074
265,2024-03-29,Estados Unidos,Terrestre,Negocios,San Salvador,9,1018
266,2023-10-12,Nicaragua,Terrestre,Familiares,Santa Ana,11,176
267,2021-01-09,Estados Unidos,Aerea,Ocio,San Salvador,1,2142
268,2024-06-10,Guatemala,Terrestre,Familiares,San Miguel,9,1962
269,2024-01-28,Guatemala,Terrestre,Familiares,Ahuachapan,1,881
270,2023-03-27,Guatemala,Terrestre,Ocio,San Salvador,10,294
271,2021-07-27,Honduras,Aerea,Negocios,Santa Ana,7,528
272,2024-02-29,Estados Unidos,Aerea,Familiares,San Salvador,11,2056
273,2022-02-08,Mexico,Terrestre,Familiares,San Salvador,4,2094
274,2021-06-01,Honduras,Aerea,Ocio,San Salvador,10,2017
275,2021-02-23,Honduras,Terrestre,Familiares,La Paz,8,1045
276,2024-02-18,Guatemala,Aerea,Ocio,La Libertad,1,826
277,2022-09-20,Estados Unidos,Terrestre,Negocios,Usulutan,1,1633
278,2022-08-10,Guatemala,Terrestre,Ocio,La Paz,6,1271
279,2024-12-14,Canada,Aerea,Religioso,San Miguel,5,1905
280,2024-12-16,Estados Unidos,Aerea,Familiares,San Miguel,5,1297
281,2021-04-14,España,Aerea,Familiares,La Paz,2,1480
282,2021-09-11,Honduras,Aerea,Negocios,San Miguel,2,2464
283,2024-06-04,Honduras,Aerea,Salud,La Libertad,4,180
284,2024-02-10,Honduras,Aerea,Salud,La Libertad,2,2195
285,2022-05-25,Guatemala,Aerea,Familiares,San Miguel,4,2205
286,2021-04-09,Honduras,Terrestre,Ocio,San Salvador,5,2308
287,2021-06-02,Estados Unidos,Aerea,Familiares,Ahuachapan,4,1028
288,2023-07-03,Nicaragua,Terrestre,Ocio,La Paz,6,2199
289,2023-05-28,Honduras,Terrestre,Ocio,Usulutan,3,1198
290,2021-12-04,Honduras,Aerea,Negocios,Santa Ana,2,727
291,2023-04-02,Honduras,Aerea,Ocio,Santa Ana,1,2055
292,2024-04-01,Estados Unidos,Aerea,Negocios,San Salvador,5,1410
293,2023-08-15,Estados Unidos,Aerea,Religioso,Usulutan,4,1739
294,2021-06-10,Honduras,Terrestre,Ocio,La Paz,9,2024
295,2023-03-12,Estados Unidos,Aerea,Ocio,San Salvador,10,1252
296,2022-02-02,Guatemala,Terrestre,Ocio,La Paz,1,2203
297,2024-07-24,Estados Unidos,Terrestre,Ocio,Usulutan,9,357
298,2023-03-27,Estados Unidos,Aerea,Negocios,San Salvador,8,1828
299,2024-11-16,Estados Unidos,Aerea,Familiares,Ahuachapan,10,939
300,2024-03-04,Nicaragua,Terrestre,Ocio,La Libertad,11,794
301,2024-05-03,Guatemala,Terrestre,Ocio,Santa Ana,4,144
302,2022-02-05,Guatemala,Aerea,Familiares,San Miguel,11,761
303,2022-10-02,Costa Rica,Terrestre,Ocio,San Salvador,2,1577
304,2023-11-23,Estados Unidos,Terrestre,Ocio,La Paz,3,658
305,2022-11-19,Estados Unidos,Aerea,Ocio,San Miguel,10,1065
306,2022-04-05,Honduras,Aerea,Familiares,San Miguel,9,1802
307,2023-08-13,Honduras,Aerea,Religioso,San Miguel,10,2017
308,2022-04-15,Estados Unidos,Aerea,Familiares,Santa Ana,2,913
309,2024-10-30,Costa Rica,Terrestre,Ocio,San Salvador,8,1560
310,2023-11-12,Costa Rica,Aerea,Familiares,Sonsonate,10,1019
311,2023-01-20,Estados Unidos,Aerea,Ocio,Santa Ana,1,1849
312,2021-02-07,Estados Unidos,Aerea,Ocio,San Miguel,4,832
313,2021-08-18,Nicaragua,Aerea,Familiares,Sonsonate,3,1209
314,2024-10-20,Estados Unidos,Aerea,Familiares,La Paz,10,303
315,2022-07-17,Estados Unidos,Terrestre,Familiares,La Libertad,2,1653
316,2022-03-14,Honduras,Aerea,Familiares,La Libertad,3,385
317,2024-07-30,Guatemala,Aerea,Familiares,Ahuachapan,3,2479
318,2021-01-27,Guatemala,Aerea,Familiares,La Paz,9,2151
319,2021-08-14,Estados Unidos,Aerea,Salud,Sonsonate,3,1807
320,2024-07-24,Guatemala,Aerea,Familiares,San Miguel,9,599
321,2023-03-09,Guatemala,Terrestre,Ocio,La Libertad,4,2377
322,2021-10-11,Estados Unidos,Terrestre,Familiares,Ahuachapan,1,1954
323,2023-05-29,Estados Unidos,Terrestre,Negocios,San Miguel,8,2108
324,2023-08-18,Guatemala,Aerea,Ocio,La Libertad,10,163
325,2022-03-29,Costa Rica,Terrestre,Familiares,Sonsonate,5,2276
326,2023-10-17,Costa Rica,Terrestre,Ocio,Ahuachapan,2,247
327,2023-03-27,Estados Unidos,Terrestre,Ocio,San Salvador,9,139
328,2022-10-21,Honduras,Aerea,Familiares,La Libertad,7,1914
329,2022-07-01,Honduras,Aerea,Ocio,Usulutan,6,800
330,2024-04-30,Honduras,Terrestre,Negocios,La Libertad,2,1558
331,2023-12-09,Guatemala,Terrestre,Familiares,Usulutan,6,1989
332,2021-01-17,Estados Unidos,Terrestre,Ocio,Usulutan,7,724
333,2024-04-10,Honduras,Aerea,Negocios,San Salvador,5,316
334,2024-05-28,Estados Unidos,Aerea,Salud,Sonsonate,5,274
335,2021-06-07,Estados Unidos,Terrestre,Ocio,Ahuachapan,4,836
336,2022-04-22,Guatemala,Aerea,Familiares,Sonsonate,10,1257
337,2023-12-06,España,Terrestre,Ocio,San Salvador,1,1102
338,2024-10-28,Estados Unidos,Aerea,Familiares,La Libertad,10,1726
339,2022-06-02,Guatemala,Terrestre,Ocio,Usulutan,7,925
340,2021-04-09,Estados Unidos,Aerea,Ocio,San Salvador,3,327
341,2023-11-27,Canada,Aerea,Familiares,La Paz,5,1375
342,2021-10-07,Guatemala,Aerea,Ocio,San Miguel,8,1703
343,2024-10-04,Estados Unidos,Terrestre,Ocio,San Salvador,2,379
344,2022-05-12,Estados Unidos,Aerea,Familiares,San Miguel,4,438
345,2021-10-29,Estados Unidos,Terrestre,Ocio,Ahuachapan,9,2329
346,2021-06-30,Estados Unidos,Aerea,Familiares,Usulutan,11,1100
347,2022-08-30,Estados Unidos,Terrestre,Ocio,Usulutan,2,334
348,2024-01-28,Honduras,Aerea,Familiares,Santa Ana,8,2120
349,2022-12-01,Estados Unidos,Aerea,Negocios,Ahuachapan,9,1634
350,2023-09-20,Honduras,Terrestre,Familiares,Sonsonate,3,1077
351,2024-02-14,Estados Unidos,Terrestre,Negocios,La Libertad,5,906
352,2021-07-10,Guatemala,Terrestre,Familiares,La Libertad,4,1355
353,2021-09-10,Estados Unidos,Aerea,Familiares,La Paz,10,1460
354,2023-09-08,Estados Unidos,Terrestre,Familiares,La Libertad,10,2290
355,2023-07-17,Guatemala,Terrestre,Familiares,La Paz,8,402
356,2024-03-30,Estados Unidos,Terrestre,Ocio,La Paz,8,137
357,2024-07-03,Nicaragua,Terrestre,Ocio,Sonsonate,11,723
358,2024-09-08,Guatemala,Aerea,Ocio,La Paz,5,1901
359,2021-05-08,Guatemala,Aerea,Ocio,Sonsonate,5,976
360,2021-01-18,Estados Unidos,Aerea,Negocios,San Miguel,1,2154
361,2022-07-20,Estados Unidos,Terrestre,Familiares,Ahuachapan,5,2378
362,2022-07-24,Guatemala,Terrestre,Negocios,San Miguel,1,1503
363,2024-09-08,Guatemala,Terrestre,Negocios,La Paz,4,1746
364,2022-11-17,Estados Unidos,Aerea,Familiares,San Miguel,7,392
365,2022-09-18,Estados Unidos,Terrestre,Ocio,San Salvador,11,759
366,2024-08-04,Estados Unidos,Terrestre,Familiares,Ahuachapan,11,956
367,2023-05-04,Guatemala,Aerea,Religioso,Sonsonate,2,2364
368,2023-08-20,Estados Unidos,Aerea,Ocio,Santa Ana,1,1902
369,2021-06-04,Guatemala,Terrestre,Familiares,San Salvador,2,1888
370,2022-05-05,Estados Unidos,Aerea,Ocio,Usulutan,7,1428
371,2024-11-10,Guatemala,Aerea,Ocio,La Paz,3,1439
372,2023-02-24,Estados Unidos,Aerea,Ocio,Santa Ana,5,1650
373,2024-02-02,Guatemala,Aerea,Familiares,Sonsonate,1,1301
374,2024-11-17,Estados Unidos,Aerea,Ocio,Santa Ana,10,1443
375,2021-09-03,Estados Unidos,Terrestre,Religioso,Ahuachapan,10,2460
