id_reserva,fecha,departamento,tipo_hotel,habitaciones,ocupadas,tarifa_promedio
59,2022-04-26,La Paz,Montaña,153,47,153
60,2023-11-17,Santa Ana,Rural,79,90,64
61,2021-09-28,Santa Ana,Playa,114,61,46
62,2024-05-04,La Libertad,Playa,156,25,191
63,2021-12-03,Santa Ana,Ciudad,71,107,47
64,2021-10-24,Sonsonate,Playa,186,112,166
65,2021-11-19,Santa Ana,Playa,162,161,83
66,2022-09-02,San Miguel,Playa,178,157,184
67,2024-01-22,La Libertad,Playa,119,139,222
68,2022-09-25,San Salvador,Montaña,147,34,65
69,2021-01-16,Usulutan,Rural,193,77,40
70,2021-12-11,Usulutan,Rural,67,28,232
71,2023-09-12,Santa Ana,Playa,78,16,167
72,2022-12-08,Sonsonate,Montaña,102,81,43
73,2021-05-02,La Paz,Ciudad,65,162,196
74,2022-10-22,Ahuachapan,Playa,121,130,90
75,2022-02-09,La Libertad,Montaña,150,101,90
76,2022-07-15,Ahuachapan,Rural,45,66,132
77,2022-09-12,La Libertad,Ciudad,181,28,44
78,2021-05-23,Usulutan,Montaña,185,83,190
79,2023-04-20,Usulutan,Ciudad,133,148,72
80,2024-04-05,San Salvador,Playa,72,118,211
81,2022-08-07,La Libertad,Rural,32,24,245
82,2023-06-25,Sonsonate,Playa,85,87,161
83,2022-11-11,La Libertad,Montaña,119,177,162
84,2023-01-21,Sonsonate,Rural,70,63,102
85,2024-04-22,La Paz,Montaña,131,151,246
86,2022-11-30,San Miguel,Playa,161,29,50
87,2024-11-27,La Libertad,Ciudad,125,54,117
88,2024-05-09,San Salvador,Playa,150,162,211
89,2023-12-11,Usulutan,Rural,186,77,247
90,2022-08-27,Santa Ana,Rural,26,147,145
91,2021-01-31,La Paz,Montaña,54,53,153
92,2024-08-20,Sonsonate,Playa,185,36,233
93,2024-04-09,Santa Ana,Ciudad,142,168,182
94,2022-10-28,Ahuachapan,Ciudad,25,11,222
95,2021-06-05,La Paz,Ciudad,185,65,154
96,2024-01-24,La Paz,Playa,104,101,187
97,2022-03-18,La Paz,Ciudad,156,41,72
98,2021-03-03,Ahuachapan,Rural,112,74,135
99,2024-10-13,San Miguel,Playa,193,83,196
100,2023-11-05,La Paz,Montaña,142,21,165
101,2024-05-29,Ahuachapan,Montaña,102,42,248
102,2022-03-14,San Miguel,Rural,54,77,198
103,2024-03-05,San Miguel,Montaña,34,89,240
104,2021-09-15,Sonsonate,Rural,107,111,83
105,2024-10-29,San Salvador,Ciudad,166,159,47
106,2022-05-30,San Miguel,Rural,63,136,74
107,2022-04-26,San Miguel,Playa,95,86,100
108,2024-08-08,Usulutan,Rural,137,174,145
109,2021-12-07,Usulutan,Playa,117,92,174
110,2022-02-23,Usulutan,Rural,110,98,167
111,2024-05-16,La Libertad,Ciudad,100,104,79
112,2024-12-22,La Libertad,Montaña,103,167,241
113,2021-01-01,La Libertad,Rural,40,79,219
114,2024-04-06,Santa Ana,Ciudad,116,27,144
115,2022-10-19,San Miguel,Montaña,89,103,226
116,2022-03-29,La Libertad,Ciudad,45,132,60
117,2023-09-28,San Salvador,Playa,196,17,48
118,2022-04-20,La Paz,Montaña,180,11,173
119,2021-08-14,Sonsonate,Montaña,168,144,89
120,2021-01-01,San Miguel,Montaña,124,156,187
121,2022-03-15,Ahuachapan,Playa,123,31,213
122,2021-06-09,San Miguel,Ciudad,66,26,201
123,2023-08-13,La Libertad,Ciudad,170,119,90
124,2022-12-04,Sonsonate,Montaña,196,146,151
125,2023-07-26,Ahuachapan,Playa,174,177,48
126,2023-10-12,Santa Ana,Rural,74,12,170
127,2024-02-19,La Libertad,Montaña,42,81,99
128,2022-12-24,San Salvador,Ciudad,166,147,228
129,2024-01-08,Sonsonate,Montaña,150,61,211
130,2021-02-11,San Salvador,Montaña,69,79,114
131,2024-10-01,La Paz,Montaña,61,110,125
132,2024-05-02,Santa Ana,Rural,199,23,141
133,2022-04-04,Ahuachapan,Rural,153,114,223
134,2023-04-04,Santa Ana,Montaña,182,14,243
135,2023-01-16,Santa Ana,Montaña,46,102,65
136,2021-06-30,San Salvador,Playa,158,129,192
137,2022-03-29,San Salvador,Ciudad,97,60,130
138,2023-10-21,Usulutan,Ciudad,185,85,81
139,2023-06-26,La Paz,Playa,53,75,176
140,2022-11-28,Sonsonate,Ciudad,49,79,165
141,2024-01-28,Santa Ana,Playa,78,157,87
142,2023-07-12,Ahuachapan,Playa,24,73,142
143,2024-01-04,La Paz,Rural,51,106,58
144,2022-02-18,Sonsonate,Rural,23,109,77
145,2023-06-18,Usulutan,Montaña,180,16,229
146,2023-01-26,Ahuachapan,Ciudad,132,37,37
147,2023-07-09,La Paz,Ciudad,189,162,233
148,2024-07-08,Usulutan,Montaña,84,55,44
149,2022-06-09,Usulutan,Playa,159,155,190
150,2021-10-26,Ahuachapan,Montaña,137,177,142
151,2021-05-30,Usulutan,Rural,157,155,171
152,2023-03-13,Ahuachapan,Ciudad,68,162,131
153,2023-05-05,San Miguel,Playa,147,158,100
154,2022-11-15,San Miguel,Montaña,132,20,60
155,2024-03-11,Ahuachapan,Playa,101,171,177
156,2024-07-19,Sonsonate,Ciudad,173,113,73
157,2021-06-16,Ahuachapan,Rural,55,89,148
158,2024-12-20,Sonsonate,Montaña,58,141,100
159,2022-10-18,Sonsonate,Playa,87,177,114
160,2022-06-02,La Paz,Montaña,42,169,70
161,2023-10-30,San Salvador,Rural,47,86,79
162,2024-12-29,Sonsonate,Ciudad,148,131,119
163,2023-11-18,La Libertad,Montaña,29,135,181
164,2024-12-28,San Salvador,Montaña,100,164,106
165,2022-01-14,La Paz,Rural,188,36,148
166,2024-02-02,La Libertad,Ciudad,186,125,47
167,2024-12-05,La Libertad,Playa,198,117,247
168,2021-11-28,Sonsonate,Rural,169,168,86
169,2024-06-25,San Miguel,Montaña,150,74,56
170,2022-05-17,La Libertad,Playa,42,71,65
171,2023-04-13,La Libertad,Rural,59,88,186
172,2021-06-22,San Miguel,Ciudad,121,151,122
173,2024-07-16,Ahuachapan,Ciudad,74,137,136
174,2021-02-03,San Miguel,Montaña,198,52,147
175,2022-07-19,Sonsonate,Ciudad,74,61,41
176,2021-09-24,San Miguel,Rural,165,115,65
177,2024-07-24,San Salvador,Montaña,136,107,42
178,2021-01-19,La Libertad,Rural,166,68,135
179,2023-10-11,Sonsonate,Ciudad,67,143,185
180,2024-12-01,La Libertad,Montaña,99,21,174
181,2022-07-16,La Libertad,Rural,164,152,46
182,2021-07-04,La Libertad,Rural,191,148,144
183,2022-07-14,La Libertad,Playa,65,61,215
184,2021-05-27,Santa Ana,Playa,58,136,75
185,2021-11-30,Ahuachapan,Playa,101,110,205
186,2022-03-31,San Salvador,Rural,27,39,157
187,2023-09-19,Ahuachapan,Montaña,59,170,226
188,2024-02-10,La Libertad,Montaña,63,153,57
189,2021-03-15,San Salvador,Playa,48,146,116
190,2021-12-30,La Libertad,Montaña,131,78,149
191,2022-07-31,La Libertad,Ciudad,50,34,234
192,2023-06-22,La Libertad,Rural,68,113,97
193,2021-01-04,San Salvador,Ciudad,66,127,222
194,2022-07-19,La Paz,Ciudad,163,74,119
195,2021-08-25,Ahuachapan,Rural,70,174,74
196,2024-10-19,Usulutan,Rural,128,27,160
197,2021-11-28,Usulutan,Ciudad,29,24,152
198,2024-06-19,Santa Ana,Montaña,25,21,177
199,2024-10-11,Sonsonate,Ciudad,49,132,131
200,2023-12-05,San Miguel,Montaña,123,81,128
201,2024-10-06,La Paz,Ciudad,36,47,247
202,2024-06-17,Usulutan,Rural,138,165,143
203,2021-08-01,San Miguel,Montaña,110,103,220
204,2022-07-14,San Miguel,Playa,137,174,125
205,2023-01-28,Ahuachapan,Rural,135,175,181
206,2024-03-28,La Paz,Rural,21,100,150
207,2022-01-03,San Salvador,Ciudad,158,20,70
208,2021-10-11,La Paz,Ciudad,29,36,209
209,2022-07-14,La Paz,Montaña,136,48,234
210,2024-04-13,La Libertad,Rural,36,123,209
211,2023-03-09,Santa Ana,Montaña,123,168,146
212,2021-04-07,Ahuachapan,Rural,100,139,197
213,2024-12-24,Usulutan,Rural,177,69,229
214,2022-11-01,San Miguel,Playa,65,171,80
215,2023-05-15,Ahuachapan,Playa,52,128,207
216,2021-11-08,Santa Ana,Ciudad,169,88,243
217,2021-02-27,San Miguel,Playa,119,106,90
218,2023-02-25,Usulutan,Playa,160,114,79
219,2021-04-18,Usulutan,Montaña,26,142,120
220,2023-03-09,Ahuachapan,Playa,92,67,189
221,2023-04-14,San Salvador,Playa,58,44,48
222,2022-02-10,Santa Ana,Playa,170,43,206
223,2024-11-16,La Paz,Montaña,130,112,196
224,2022-11-25,La Paz,Playa,188,42,136
225,2022-03-18,Santa Ana,Ciudad,136,72,147
226,2022-04-15,La Libertad,Montaña,181,172,155
227,2023-09-24,San Salvador,Playa,82,106,220
228,2022-02-15,La Libertad,Playa,97,20,234
229,2023-06-13,Santa Ana,Ciudad,176,131,155
230,2023-03-09,San Salvador,Rural,58,8,201
231,2023-04-04,Ahuachapan,Rural,183,17,166
232,2023-03-01,La Paz,Montaña,82,133,219
233,2022-08-30,San Salvador,Ciudad,123,122,207
234,2023-10-09,Sonsonate,Playa,31,26,144
235,2021-04-04,Santa Ana,Montaña,129,110,86
236,2021-05-18,Usulutan,Ciudad,63,6,81
237,2023-12-05,San Salvador,Ciudad,104,29,84
238,2023-10-23,Usulutan,Montaña,30,74,43
239,2024-04-09,San Miguel,Rural,121,63,164
240,2023-07-07,La Paz,Montaña,176,89,191
241,2022-07-05,Sonsonate,Montaña,178,152,37
242,2023-04-15,Sonsonate,Montaña,97,60,230
243,2021-12-28,San Salvador,Ciudad,122,138,79
244,2024-05-10,San Salvador,Montaña,76,132,238
245,2022-01-23,San Salvador,Rural,184,119,162
246,2024-10-26,San Miguel,Montaña,99,145,185
247,2022-01-19,San Salvador,Montaña,66,91,187
248,2023-01-19,Sonsonate,Ciudad,124,146,223
249,2023-08-15,La Paz,Rural,69,136,83
250,2024-06-01,Ahuachapan,Rural,138,67,242
251,2023-11-26,San Miguel,Rural,78,122,216
252,2024-03-29,Santa Ana,Montaña,84,177,209
253,2024-02-10,La Paz,Playa,103,138,53
254,2022-11-03,Santa Ana,Ciudad,94,175,110
255,2022-07-29,Sonsonate,Playa,83,64,138
256,2024-12-22,Santa Ana,Playa,185,33,101
257,2021-02-08,La Paz,Playa,61,38,199
258,2021-12-05,Sonsonate,Montaña,54,120,227
259,2023-10-05,La Libertad,Ciudad,125,121,151
260,2023-07-12,Sonsonate,Montaña,132,29,150
261,2021-10-28,Santa Ana,Rural,159,105,80
262,2022-04-20,San Salvador,Rural,68,152,246
263,2024-09-07,Ahuachapan,Montaña,119,41,70
264,2021-03-20,Santa Ana,Ciudad,142,43,99
265,2022-04-18,Sonsonate,Montaña,181,102,191
266,2024-06-17,Sonsonate,Montaña,55,156,64
267,2024-06-18,San Salvador,Montaña,68,65,237
268,2022-08-27,San Salvador,Playa,55,75,127
269,2024-04-21,La Paz,Rural,174,144,80
270,2024-04-25,La Libertad,Montaña,85,144,174
271,2022-12-21,Usulutan,Ciudad,57,68,103
272,2023-09-24,La Libertad,Playa,133,30,243
273,2023-11-22,La Paz,Montaña,98,120,199
274,2024-12-23,San Salvador,Montaña,54,159,220
275,2024-06-09,Usulutan,Rural,46,124,84
276,2024-05-26,Sonsonate,Rural,45,155,175
277,2021-04-29,La Paz,Montaña,143,65,153
278,2024-12-16,Santa Ana,Rural,56,172,218
279,2022-04-01,Ahuachapan,Playa,26,131,145
280,2023-08-17,Usulutan,Rural,174,105,239
281,2023-11-23,San Salvador,Montaña,177,164,81
282,2024-09-17,San Miguel,Montaña,116,87,60
283,2024-10-13,Santa Ana,Rural,41,72,95
284,2023-06-16,Usulutan,Rural,97,138,193
285,2024-04-09,Ahuachapan,Rural,59,49,67
286,2022-10-13,San Miguel,Montaña,151,160,194
287,2023-01-10,La Paz,Ciudad,121,101,55
288,2023-06-14,Sonsonate,Montaña,176,158,118
289,2021-07-02,Santa Ana,Rural,142,64,72
290,2021-09-16,Santa Ana,Montaña,107,138,93
291,2021-01-26,Ahuachapan,Playa,42,140,222
292,2022-10-10,Usulutan,Ciudad,167,5,212
293,2021-11-20,Santa Ana,Montaña,139,13,93
294,2022-06-22,La Paz,Rural,112,161,88
295,2023-05-24,San Salvador,Ciudad,59,86,191
296,2023-01-19,San Salvador,Rural,92,20,155
297,2022-07-03,Usulutan,Montaña,97,156,72
298,2024-03-23,Ahuachapan,Ciudad,185,23,233
299,2021-12-03,Sonsonate,Ciudad,150,146,112
300,2021-04-22,Santa Ana,Montaña,153,87,122
301,2022-03-10,Sonsonate,Montaña,140,26,127
302,2023-03-04,San Miguel,Rural,119,135,166
303,2023-11-21,Santa Ana,Montaña,129,166,91
304,2024-04-12,Sonsonate,Playa,92,116,53
305,2023-04-25,Usulutan,Ciudad,77,146,241
306,2021-12-21,Sonsonate,Ciudad,37,155,113
307,2024-07-16,Usulutan,Montaña,150,96,194
308,2021-05-09,La Paz,Rural,78,144,127
309,2023-02-21,Ahuachapan,Ciudad,141,176,56
310,2023-10-01,Santa Ana,Ciudad,113,73,148
311,2022-12-05,La Libertad,Ciudad,158,122,212
312,2022-11-22,La Paz,Montaña,35,104,70
313,2021-05-28,Santa Ana,Ciudad,109,164,215
314,2021-01-05,La Libertad,Ciudad,106,89,243
315,2021-01-04,San Miguel,Playa,86,163,146
316,2022-06-08,San Miguel,Playa,111,44,239
317,2023-02-01,Sonsonate,Rural,189,44,93
318,2024-12-22,San Miguel,Ciudad,120,58,91
319,2022-09-18,San Miguel,Playa,124,173,249
320,2024-04-11,Santa Ana,Playa,194,115,83
321,2021-06-01,San Miguel,Ciudad,109,157,56
322,2024-07-28,Usulutan,Ciudad,85,135,74
323,2023-04-28,Sonsonate,Ciudad,87,30,51
324,2024-05-28,Santa Ana,Playa,65,172,205
325,2021-11-17,La Libertad,Ciudad,152,134,147
326,2022-03-06,Sonsonate,Montaña,74,150,118
327,2023-03-07,Santa Ana,Ciudad,165,112,35
328,2024-10-06,Santa Ana,Ciudad,44,38,82
329,2022-04-07,Santa Ana,Playa,63,15,182
330,2024-10-10,Ahuachapan,Rural,143,94,75
331,2022-09-20,La Libertad,Ciudad,85,19,221
332,2021-08-01,Usulutan,Playa,73,28,68
333,2024-10-13,Ahuachapan,Playa,70,43,167
334,2022-09-23,La Libertad,Rural,75,46,148
335,2024-02-09,Sonsonate,Rural,95,51,146
336,2024-11-02,Sonsonate,Rural,74,168,152
337,2024-07-16,La Paz,Rural,42,145,248
338,2021-07-20,Usulutan,Montaña,157,75,199
339,2023-07-22,Santa Ana,Rural,126,81,159
340,2024-01-03,Usulutan,Ciudad,63,40,136
341,2022-06-29,San Salvador,Ciudad,86,44,235
342,2024-10-19,Ahuachapan,Rural,184,138,117
343,2021-08-19,La Paz,Montaña,76,43,142
344,2021-09-15,Sonsonate,Playa,55,54,131
345,2024-05-02,Sonsonate,Montaña,59,75,212
346,2023-02-18,San Miguel,Playa,189,87,52
347,2022-09-13,La Paz,Montaña,126,133,96
348,2021-10-27,Usulutan,Montaña,165,65,185
349,2024-11-28,Santa Ana,Rural,120,24,222
350,2024-06-23,Santa Ana,Playa,136,99,157
351,2024-01-16,Usulutan,Montaña,148,129,219
352,2021-06-25,Sonsonate,Ciudad,131,116,168
353,2024-03-21,San Miguel,Playa,161,152,107
354,2024-01-03,Sonsonate,Ciudad,167,149,158
355,2022-01-06,San Salvador,Rural,77,129,245
356,2023-01-06,La Paz,Rural,88,120,39
357,2023-05-16,Ahuachapan,Ciudad,131,16,216
358,2024-01-29,La Libertad,Montaña,180,47,223
359,2022-01-13,Usulutan,Ciudad,155,114,189
360,2021-06-25,Sonsonate,Playa,62,128,83
361,2024-03-10,San Salvador,Playa,85,126,99
362,2022-05-16,San Miguel,Montaña,57,49,49
363,2024-08-14,Sonsonate,Ciudad,68,9,83
364,2023-06-05,La Libertad,Rural,35,153,132
365,2021-02-01,La Paz,Rural,72,94,175
366,2021-03-02,San Salvador,Montaña,150,165,179
367,2022-06-27,Sonsonate,Montaña,140,51,181
368,2023-03-17,Sonsonate,Rural,77,123,61
369,2023-08-01,Santa Ana,Rural,113,97,93
370,2021-04-15,La Libertad,Playa,154,163,82
371,2024-09-24,Usulutan,Ciudad,173,98,128
372,2023-09-25,Ahuachapan,Rural,138,152,134
373,2023-12-01,La Paz,Ciudad,23,133,165
374,2024-10-10,Sonsonate,Ciudad,86,18,162
375,2021-09-11,Sonsonate,Rural,88,171,118
376,2022-11-09,Ahuachapan,Rural,188,129,206
377,2023-04-29,La Paz,Montaña,77,75,205
378,2023-02-18,Usulutan,Ciudad,138,113,162
379,2022-06-12,San Salvador,Ciudad,110,174,193
380,2021-10-25,La Paz,Rural,76,24,106
381,2023-07-27,La Paz,Rural,154,40,181
382,2024-11-30,La Paz,Rural,68,70,91
383,2023-03-14,Sonsonate,Montaña,31,127,208
384,2021-03-27,La Libertad,Montaña,127,161,38
385,2023-06-01,San Salvador,Ciudad,143,169,35
386,2024-11-24,Ahuachapan,Montaña,81,47,118
387,2023-02-15,San Miguel,Montaña,24,67,240
388,2021-09-03,Santa Ana,Montaña,32,17,100
389,2021-10-11,Sonsonate,Rural,106,159,248
390,2021-03-26,Ahuachapan,Montaña,159,114,62
391,2021-05-09,Usulutan,Montaña,170,104,93
392,2023-01-23,San Miguel,Montaña,25,27,138
393,2022-08-04,Santa Ana,Playa,130,70,197
394,2022-06-03,Usulutan,Playa,152,131,208
395,2022-12-28,Usulutan,Ciudad,88,140,209
396,2023-11-23,Santa Ana,Rural,70,150,80
397,2022-08-25,San Salvador,Ciudad,66,76,192
398,2021-10-13,Santa Ana,Playa,177,69,85
399,2022-06-12,Sonsonate,Montaña,156,29,227
400,2021-08-28,Santa Ana,Playa,79,81,82
401,2021-01-26,Santa Ana,Rural,58,158,137
402,2024-04-16,Santa Ana,Playa,44,19,124
403,2022-07-24,Sonsonate,Montaña,154,47,183
404,2022-09-09,La Paz,Playa,65,151,194
405,2024-03-16,Sonsonate,Rural,196,127,216
406,2023-06-13,San Miguel,Ciudad,67,54,110
407,2021-10-28,Santa Ana,Ciudad,106,76,133
408,2021-03-30,Santa Ana,Ciudad,48,149,180
409,2022-09-10,Usulutan,Rural,114,43,77
410,2022-05-07,Ahuachapan,Ciudad,119,154,167
411,2021-12-27,La Paz,Playa,53,104,187
412,2023-06-24,Sonsonate,Ciudad,122,126,172
413,2023-11-10,Sonsonate,Ciudad,41,37,166
414,2024-07-21,Sonsonate,Playa,112,39,95
415,2021-02-11,Santa Ana,Rural,71,144,128
416,2023-09-26,San Salvador,Montaña,134,92,169
417,2021-03-09,San Miguel,Rural,171,148,76
418,2022-12-10,Santa Ana,Rural,96,44,234
419,2022-11-13,Usulutan,Ciudad,113,173,230
420,2024-08-22,La Libertad,Playa,188,49,40
421,2024-02-10,La Paz,Playa,25,30,71
422,2024-11-28,La Libertad,Rural,122,66,192
423,2022-08-02,Ahuachapan,Montaña,104,71,108
424,2024-12-01,Usulutan,Playa,90,29,160
425,2021-01-31,La Libertad,Rural,37,177,241
426,2021-09-29,San Miguel,Rural,45,92,140
427,2024-01-18,San Salvador,Ciudad,150,65,135
428,2023-09-02,Usulutan,Montaña,99,26,149
429,2021-09-12,La Paz,Montaña,143,168,99
430,2022-01-24,San Miguel,Ciudad,131,32,45
431,2023-05-20,San Miguel,Rural,194,169,218
432,2022-09-09,La Paz,Rural,165,25,236
433,2024-02-02,La Libertad,Rural,51,163,216
434,2024-08-04,Usulutan,Ciudad,192,57,74
435,2024-06-21,Sonsonate,Ciudad,148,57,46
436,2021-11-22,La Libertad,Playa,35,162,60
437,2021-08-30,Ahuachapan,Montaña,165,28,151
438,2024-09-03,Usulutan,Ciudad,25,84,221
439,2023-09-10,San Salvador,Playa,36,21,139
440,2021-04-22,San Salvador,Montaña,28,32,159
441,2021-03-05,La Paz,Montaña,106,172,210
442,2021-04-27,San Miguel,Playa,160,89,223
443,2021-02-27,La Paz,Playa,87,34,36
444,2024-08-05,Usulutan,Playa,133,39,98
445,2021-08-11,San Salvador,Montaña,84,151,145
446,2024-04-02,Sonsonate,Playa,84,124,61
447,2022-05-20,Ahuachapan,Montaña,73,85,194
448,2023-05-15,San Salvador,Ciudad,127,55,178
449,2021-05-25,Usulutan,Rural,100,122,225
450,2023-05-24,Ahuachapan,Rural,103,139,176
451,2021-10-14,San Miguel,Montaña,30,25,199
452,2024-08-22,Ahuachapan,Rural,138,9,192
453,2023-06-20,Usulutan,Montaña,171,89,133
454,2024-06-21,San Salvador,Playa,93,72,50
455,2024-09-29,Sonsonate,Montaña,61,169,98
456,2022-11-18,San Salvador,Playa,188,179,168
457,2021-05-06,Santa Ana,Playa,196,11,201
458,2023-05-16,La Libertad,Montaña,97,11,91
459,2023-10-12,Usulutan,Montaña,186,110,205
460,2021-01-24,Sonsonate,Ciudad,102,55,98
461,2022-10-25,Usulutan,Playa,106,52,56
462,2022-12-07,Ahuachapan,Montaña,52,126,128
463,2024-11-23,San Salvador,Ciudad,124,5,121
464,2022-11-10,San Salvador,Playa,133,66,180
465,2023-12-05,San Salvador,Rural,94,94,78
466,2023-04-01,San Miguel,Rural,199,90,58
467,2024-07-18,Santa Ana,Playa,34,150,233
468,2024-04-10,San Miguel,Ciudad,85,93,88
469,2021-09-05,La Libertad,Ciudad,83,100,213
470,2023-12-01,Usulutan,Montaña,63,137,63
471,2024-06-16,Usulutan,Playa,101,41,84
472,2024-12-01,Usulutan,Ciudad,47,67,96
473,2021-12-22,San Salvador,Playa,84,73,92
474,2024-01-26,San Salvador,Rural,117,34,92
475,2021-09-02,La Libertad,Playa,197,175,195
476,2021-01-14,Santa Ana,Playa,116,126,61
477,2024-01-06,Sonsonate,Ciudad,140,70,238
478,2021-09-16,San Salvador,Rural,83,42,225
479,2023-05-30,San Miguel,Playa,94,153,140
480,2021-01-15,San Salvador,Ciudad,67,51,83
481,2024-06-17,La Paz,Montaña,175,126,54
482,2021-11-10,San Miguel,Ciudad,126,16,63
483,2024-10-14,Santa Ana,Ciudad,136,63,197
484,2023-12-20,San Salvador,Ciudad,59,102,239
485,2023-05-08,Sonsonate,Rural,36,23,226
486,2023-09-13,La Paz,Ciudad,157,145,243
487,2022-06-16,Santa Ana,Rural,127,75,175
488,2021-09-23,La Paz,Rural,104,79,65
489,2024-10-15,Ahuachapan,Ciudad,39,172,130
490,2023-05-30,San Salvador,Ciudad,43,18,94
491,2021-12-18,Usulutan,Playa,79,25,126
492,2021-02-23,La Paz,Montaña,71,91,215
493,2021-10-26,Sonsonate,Ciudad,30,175,87
494,2023-09-01,La Libertad,Rural,93,129,115
495,2024-08-24,San Miguel,Playa,177,138,62
496,2021-09-20,Santa Ana,Playa,64,154,176
497,2024-07-04,San Miguel,Ciudad,66,151,190
498,2024-05-21,Santa Ana,Playa,44,123,234
499,2024-01-05,Sonsonate,Rural,40,165,115
500,2023-08-18,La Paz,Ciudad,63,130,103
501,2024-08-09,San Miguel,Montaña,70,88,125
502,2022-09-10,Usulutan,Ciudad,175,130,208
503,2021-06-22,Ahuachapan,Rural,96,114,101
504,2024-04-17,La Libertad,Playa,26,82,56
505,2021-11-11,San Miguel,Montaña,109,102,74
506,2021-05-11,Usulutan,Montaña,158,93,194
507,2023-07-25,San Salvador,Montaña,195,100,71
508,2023-10-25,La Paz,Montaña,32,69,204
509,2024-06-27,Santa Ana,Montaña,51,151,221
510,2021-03-29,Santa Ana,Rural,60,77,74
511,2021-10-27,Usulutan,Ciudad,181,159,52
512,2021-09-12,Ahuachapan,Ciudad,142,57,185
513,2024-08-10,Santa Ana,Playa,82,108,55
514,2022-08-24,Santa Ana,Playa,113,54,191
515,2024-08-04,Ahuachapan,Rural,137,16,208
516,2021-10-27,La Libertad,Rural,110,162,214
517,2021-01-05,Ahuachapan,Playa,132,107,60
518,2024-06-13,Santa Ana,Montaña,126,99,155
519,2024-11-24,Usulutan,Playa,127,30,221
520,2023-06-11,Usulutan,Rural,158,110,217
521,2021-03-30,La Libertad,Playa,102,9,191
522,2024-02-03,Santa Ana,Montaña,161,36,40
523,2021-10-11,San Miguel,Playa,81,53,178
524,2024-10-27,Sonsonate,Ciudad,30,124,114
525,2024-07-21,San Salvador,Ciudad,20,82,136
526,2023-12-24,Ahuachapan,Rural,152,7,170
527,2021-09-30,Sonsonate,Montaña,31,72,157
528,2024-11-26,Santa Ana,Playa,70,141,198
529,2022-07-20,La Libertad,Montaña,47,70,240
530,2024-12-14,La Paz,Montaña,114,5,167
531,2021-10-05,Usulutan,Rural,89,46,167
532,2023-06-17,La Libertad,Playa,69,148,237
