id_visita_parque,fecha,parque,pais_origen,gasto_estimado
245,2023-08-13,Apulo,Nicaragua,64
246,2022-12-22,Cerro Verde,Estados Unidos,65
247,2023-11-23,Apulo,Costa Rica,24
248,2023-11-03,Amulapa,Guatemala,12
249,2021-07-30,Apulo,Nicaragua,57
250,2022-01-18,Sunset Park,Costa Rica,55
251,2023-09-05,Sunset Park,Nicaragua,67
252,2024-04-19,Puerta del Diablo,Honduras,47
253,2024-01-26,Balboa,Nicaragua,24
254,2021-05-22,Amulapa,Honduras,11
255,2021-04-27,Sunset Park,Guatemala,20
256,2022-08-14,Cerro Verde,Estados Unidos,62
257,2021-08-24,Cerro Verde,Nicaragua,60
258,2024-02-19,Amulapa,Nicaragua,25
259,2022-01-28,Apulo,Nicaragua,15
260,2021-11-17,Amulapa,España,48
261,2022-05-06,Balboa,Estados Unidos,10
262,2024-09-05,Apulo,Canada,27
263,2022-07-19,Balboa,Costa Rica,29
264,2024-08-03,Apulo,Estados Unidos,68
265,2022-06-26,Balboa,Nicaragua,51
266,2024-06-26,Sunset Park,Honduras,58
267,2024-02-27,Sunset Park,Mexico,57
268,2021-08-25,Sunset Park,Estados Unidos,9
269,2022-03-03,Sunset Park,España,78
270,2023-06-25,Amulapa,Mexico,16
271,2024-07-11,Puerta del Diablo,España,24
272,2024-08-12,Cerro Verde,Mexico,73
273,2023-02-03,Sunset Park,Honduras,54
274,2022-11-17,Sunset Park,Mexico,28
275,2023-04-04,Puerta del Diablo,Honduras,14
276,2023-11-27,Cerro Verde,Canada,65
277,2022-06-22,Apulo,Honduras,77
278,2021-03-23,Cerro Verde,Mexico,17
279,2022-05-25,Balboa,Nicaragua,65
280,2022-01-28,Apulo,Costa Rica,23
281,2022-10-11,Apulo,Guatemala,59
282,2021-02-10,Balboa,Honduras,26
283,2022-03-03,Sunset Park,Guatemala,70
284,2022-11-11,Cerro Verde,Nicaragua,5
285,2022-01-02,Balboa,Nicaragua,71
286,2023-04-12,Cerro Verde,Guatemala,64
287,2024-02-29,Amulapa,Nicaragua,56
288,2021-01-11,Apulo,Costa Rica,65
289,2022-01-29,Apulo,Mexico,29
290,2024-12-26,Sunset Park,Nicaragua,27
291,2023-02-16,Amulapa,Guatemala,10
292,2021-01-13,Sunset Park,Costa Rica,49
293,2023-01-19,Balboa,Mexico,53
294,2021-05-08,Cerro Verde,Costa Rica,78
295,2022-09-26,Amulapa,Guatemala,41
296,2023-03-01,Sunset Park,Guatemala,22
297,2024-09-03,Cerro Verde,Honduras,54
298,2024-02-08,Puerta del Diablo,Nicaragua,59
299,2023-02-07,Balboa,Canada,8
300,2023-11-11,Amulapa,Estados Unidos,36
301,2021-03-09,Cerro Verde,Nicaragua,19
302,2021-02-14,Sunset Park,Estados Unidos,52
303,2024-01-28,Sunset Park,Canada,60
304,2021-07-18,Amulapa,Canada,50
305,2022-04-25,Cerro Verde,Estados Unidos,30
306,2021-11-22,Apulo,Nicaragua,15
307,2021-05-17,Puerta del Diablo,Nicaragua,19
308,2022-09-22,Balboa,Estados Unidos,70
309,2021-08-26,Cerro Verde,Costa Rica,13
310,2024-06-04,Sunset Park,Costa Rica,35
311,2024-09-25,Balboa,España,41
312,2021-03-15,Cerro Verde,Estados Unidos,43
313,2022-06-07,Sunset Park,Canada,53
314,2022-10-16,Amulapa,Canada,75
315,2021-01-30,Puerta del Diablo,Canada,67
316,2021-12-11,Amulapa,Estados Unidos,75
317,2023-04-09,Cerro Verde,España,55
318,2023-11-02,Cerro Verde,Costa Rica,16
319,2021-12-06,Balboa,Nicaragua,62
320,2022-11-26,Balboa,Nicaragua,72
321,2021-12-16,Sunset Park,España,77
322,2024-01-23,Apulo,Guatemala,44
323,2021-03-17,Puerta del Diablo,Estados Unidos,55
324,2022-02-05,Sunset Park,Nicaragua,22
325,2023-01-19,Amulapa,Mexico,18
326,2023-03-21,Amulapa,Guatemala,43
327,2022-06-04,Sunset Park,Costa Rica,33
328,2021-03-19,Balboa,Guatemala,58
329,2024-12-23,Sunset Park,España,35
330,2022-11-20,Amulapa,Canada,70
331,2023-04-30,Puerta del Diablo,Honduras,16
332,2024-07-03,Cerro Verde,Canada,73
333,2022-05-06,Apulo,Guatemala,48
334,2023-09-04,Apulo,Honduras,33
335,2023-11-02,Cerro Verde,Costa Rica,11
336,2024-06-30,Balboa,Guatemala,55
337,2021-08-16,Amulapa,Costa Rica,78
338,2024-12-02,Sunset Park,Mexico,19
339,2024-05-21,Apulo,Nicaragua,68
340,2021-06-22,Balboa,Canada,37
341,2023-04-10,Sunset Park,Canada,32
342,2022-02-15,Apulo,Costa Rica,72
343,2024-09-22,Apulo,Canada,79
344,2021-01-01,Cerro Verde,Guatemala,59
345,2024-09-05,Balboa,Canada,11
346,2024-03-08,Puerta del Diablo,Guatemala,59
347,2024-02-01,Apulo,Honduras,58
348,2024-09-11,Sunset Park,Nicaragua,66
349,2024-02-04,Balboa,Estados Unidos,50
350,2021-01-01,Amulapa,Mexico,28
351,2023-02-16,Amulapa,Estados Unidos,60
352,2021-10-04,Amulapa,España,75
353,2024-07-26,Apulo,Costa Rica,16
354,2022-02-22,Amulapa,Costa Rica,36
355,2021-11-28,Amulapa,Estados Unidos,23
356,2023-08-28,Puerta del Diablo,Mexico,48
357,2021-03-23,Puerta del Diablo,Honduras,32
358,2023-05-20,Apulo,Nicaragua,28
359,2023-04-22,Cerro Verde,Mexico,24
360,2024-04-09,Amulapa,Estados Unidos,18
361,2024-11-22,Apulo,Honduras,7
362,2021-12-05,Apulo,Nicaragua,52
363,2023-02-15,Amulapa,España,19
364,2022-01-21,Sunset Park,España,30
365,2024-09-24,Sunset Park,Guatemala,77
366,2021-09-18,Cerro Verde,Nicaragua,13
367,2021-03-15,Sunset Park,España,37
368,2021-04-03,Apulo,Canada,63
369,2022-02-21,Cerro Verde,Canada,7
370,2024-04-14,Sunset Park,Honduras,27
371,2024-11-23,Sunset Park,Nicaragua,10
372,2024-11-14,Apulo,Estados Unidos,76
373,2023-02-19,Cerro Verde,Costa Rica,51
374,2024-05-09,Sunset Park,Guatemala,47
375,2023-01-30,Balboa,España,53
376,2021-08-30,Apulo,Canada,21
377,2024-09-11,Balboa,Nicaragua,78
378,2024-01-14,Puerta del Diablo,Nicaragua,16
379,2022-03-21,Sunset Park,Estados Unidos,26
380,2022-02-18,Balboa,Canada,15
381,2021-12-04,Puerta del Diablo,España,26
382,2023-11-06,Apulo,Costa Rica,8
383,2021-06-24,Balboa,España,19
384,2024-07-14,Cerro Verde,Honduras,47
385,2023-11-12,Apulo,Guatemala,45
386,2021-01-02,Apulo,Guatemala,26
387,2021-05-09,Amulapa,España,72
388,2021-10-20,Cerro Verde,Guatemala,47
389,2023-05-21,Amulapa,Mexico,54
390,2023-11-21,Apulo,Mexico,77
391,2021-05-13,Amulapa,Guatemala,52
392,2024-10-10,Puerta del Diablo,Mexico,58
393,2022-12-07,Sunset Park,Nicaragua,11
394,2022-07-17,Apulo,Canada,64
395,2021-01-22,Balboa,Nicaragua,27
396,2024-08-28,Apulo,Guatemala,45
397,2021-03-27,Cerro Verde,Guatemala,65
398,2021-06-07,Balboa,Canada,15
399,2023-10-14,Cerro Verde,Guatemala,70
400,2024-05-25,Apulo,España,46
401,2022-04-28,Puerta del Diablo,Canada,19
402,2024-12-24,Balboa,Mexico,23
403,2023-10-04,Apulo,Canada,50
404,2023-05-03,Apulo,Costa Rica,21
405,2023-11-25,Cerro Verde,Guatemala,70
406,2023-10-10,Amulapa,Estados Unidos,10
407,2024-08-05,Apulo,Nicaragua,78
408,2024-12-11,Puerta del Diablo,Nicaragua,26
409,2022-09-05,Amulapa,Honduras,23
410,2021-01-26,Balboa,Canada,45
411,2023-02-09,Apulo,Nicaragua,35
412,2024-11-08,Cerro Verde,Nicaragua,8
413,2021-02-13,Puerta del Diablo,España,66
414,2023-07-05,Sunset Park,España,18
415,2022-05-09,Puerta del Diablo,España,57
416,2024-11-13,Apulo,Guatemala,42
417,2021-08-23,Apulo,Honduras,64
418,2021-10-01,Balboa,Estados Unidos,9
419,2024-01-09,Apulo,Canada,13
420,2023-02-10,Puerta del Diablo,Canada,8
421,2022-09-16,Sunset Park,Estados Unidos,58
422,2021-12-25,Puerta del Diablo,Guatemala,61
423,2024-12-08,Apulo,Guatemala,12
424,2021-03-14,Apulo,Estados Unidos,18
425,2022-11-24,Sunset Park,Costa Rica,32
426,2024-02-20,Sunset Park,Estados Unidos,51
427,2023-06-17,Balboa,Guatemala,57
428,2022-05-06,Sunset Park,Nicaragua,78
429,2022-11-17,Cerro Verde,España,71
430,2024-11-03,Apulo,Estados Unidos,70
431,2022-12-28,Balboa,Honduras,9
432,2024-01-28,Amulapa,Estados Unidos,13
433,2024-07-10,Puerta del Diablo,Mexico,73
434,2024-09-11,Balboa,Honduras,20
435,2022-03-25,Apulo,Nicaragua,28
436,2022-07-08,Apulo,Estados Unidos,79
437,2021-01-29,Sunset Park,Costa Rica,62
438,2022-08-04,Sunset Park,Guatemala,20
439,2021-11-29,Cerro Verde,Canada,36
440,2021-09-08,Cerro Verde,Honduras,57
441,2024-05-15,Apulo,Costa Rica,38
442,2024-11-09,Apulo,Guatemala,9
443,2022-04-04,Cerro Verde,Canada,59
444,2022-08-11,Cerro Verde,Mexico,51
445,2024-12-09,Sunset Park,Estados Unidos,26
446,2023-02-27,Amulapa,España,39
447,2023-04-21,Balboa,Estados Unidos,54
448,2022-12-26,Sunset Park,Honduras,51
449,2024-09-18,Cerro Verde,España,15
450,2021-09-18,Puerta del Diablo,Nicaragua,22
451,2024-10-04,Cerro Verde,Costa Rica,23
452,2023-09-17,Puerta del Diablo,Canada,62
453,2021-04-11,Sunset Park,Guatemala,26
454,2023-04-03,Sunset Park,Guatemala,11
455,2023-08-03,Sunset Park,Guatemala,31
456,2024-10-05,Amulapa,Mexico,6
457,2023-05-08,Apulo,Nicaragua,24
458,2022-11-10,Apulo,Costa Rica,25
459,2021-09-18,Sunset Park,España,46
460,2021-12-25,Amulapa,Nicaragua,35
461,2024-03-02,Balboa,Guatemala,67
462,2024-11-12,Amulapa,Guatemala,8
463,2023-03-20,Apulo,Canada,13
464,2023-02-12,Balboa,Estados Unidos,40
465,2021-01-06,Apulo,Honduras,17
466,2021-08-10,Cerro Verde,Nicaragua,60
467,2022-02-26,Sunset Park,Nicaragua,9
468,2021-12-29,Apulo,Mexico,19
469,2022-07-17,Cerro Verde,España,66
470,2023-10-29,Balboa,Guatemala,7
471,2024-05-09,Apulo,Mexico,56
472,2024-11-14,Amulapa,Mexico,28
473,2024-01-10,Balboa,Estados Unidos,24
474,2024-02-06,Amulapa,Estados Unidos,14
475,2022-11-16,Sunset Park,Nicaragua,68
476,2024-01-21,Apulo,Canada,31
477,2021-04-08,Sunset Park,Estados Unidos,53
478,2021-06-06,Amulapa,Mexico,56
479,2021-12-05,Puerta del Diablo,Estados Unidos,22
480,2022-04-11,Amulapa,Estados Unidos,53
481,2023-08-23,Sunset Park,Canada,64
482,2021-05-02,Balboa,Costa Rica,58
483,2021-07-31,Balboa,Canada,63
484,2021-12-12,Sunset Park,España,74
485,2023-10-19,Apulo,Honduras,74
486,2022-09-17,Apulo,Canada,7
487,2021-06-03,Balboa,Costa Rica,40
488,2022-11-11,Balboa,Mexico,20
489,2021-09-17,Amulapa,Guatemala,23
490,2022-04-02,Cerro Verde,Guatemala,65
491,2023-08-16,Apulo,Mexico,21
492,2021-11-03,Cerro Verde,Nicaragua,40
493,2022-02-02,Balboa,Nicaragua,52
494,2024-11-26,Balboa,España,31
495,2022-10-16,Cerro Verde,Guatemala,53
496,2024-06-29,Apulo,España,78
497,2023-10-23,Apulo,España,61
498,2021-09-15,Balboa,Honduras,30
499,2022-07-29,Puerta del Diablo,España,10
500,2024-05-28,Puerta del Diablo,Costa Rica,55
501,2022-10-03,Balboa,Nicaragua,69
502,2021-04-02,Amulapa,Honduras,41
503,2022-10-23,Puerta del Diablo,Canada,46
504,2024-01-03,Balboa,Costa Rica,39
505,2023-08-13,Apulo,Estados Unidos,35
506,2023-05-26,Apulo,España,36
507,2024-03-16,Amulapa,Honduras,36
508,2021-01-22,Puerta del Diablo,Costa Rica,42
509,2023-08-23,Amulapa,Estados Unidos,68
510,2021-01-22,Puerta del Diablo,Honduras,54
511,2021-01-13,Apulo,Guatemala,25
512,2023-09-06,Sunset Park,España,40
513,2022-03-17,Sunset Park,España,5
514,2022-04-11,Cerro Verde,Guatemala,24
515,2024-05-14,Cerro Verde,Canada,47
516,2022-04-30,Amulapa,Costa Rica,26
517,2024-07-18,Puerta del Diablo,Estados Unidos,5
518,2023-03-16,Amulapa,España,29
519,2023-05-21,Cerro Verde,Mexico,23
520,2023-10-14,Sunset Park,Guatemala,64
521,2021-06-20,Balboa,Estados Unidos,14
522,2021-09-28,Balboa,Costa Rica,52
523,2023-04-15,Sunset Park,Mexico,49
524,2023-03-09,Balboa,Costa Rica,11
525,2021-09-20,Cerro Verde,Nicaragua,22
526,2022-08-13,Puerta del Diablo,Nicaragua,63
527,2023-05-19,Sunset Park,Guatemala,78
528,2022-09-17,Apulo,Guatemala,54
529,2021-10-01,Apulo,Guatemala,22
530,2023-08-27,Puerta del Diablo,Guatemala,12
531,2021-11-06,Balboa,Guatemala,41
532,2024-10-06,Apulo,Canada,57
533,2022-10-27,Amulapa,Canada,39
534,2022-08-12,Apulo,Nicaragua,20
535,2021-07-29,Sunset Park,Estados Unidos,53
536,2024-11-26,Balboa,Costa Rica,66
537,2021-10-14,Balboa,Nicaragua,7
538,2021-10-03,Puerta del Diablo,Nicaragua,35
539,2024-10-04,Amulapa,Costa Rica,27
540,2023-03-10,Sunset Park,España,52
541,2021-05-21,Puerta del Diablo,Costa Rica,26
542,2022-03-14,Cerro Verde,Costa Rica,42
543,2021-09-12,Puerta del Diablo,Mexico,33
544,2024-06-13,Cerro Verde,Guatemala,77
545,2023-07-05,Balboa,España,73
546,2024-10-02,Puerta del Diablo,Canada,24
547,2024-06-17,Amulapa,Nicaragua,64
548,2022-01-06,Sunset Park,Canada,22
549,2023-05-23,Amulapa,Nicaragua,76
550,2024-09-01,Amulapa,Canada,37
551,2022-01-16,Apulo,Nicaragua,66
552,2021-10-13,Sunset Park,Nicaragua,26
553,2023-05-18,Apulo,Nicaragua,24
554,2023-05-26,Apulo,Nicaragua,62
555,2023-01-09,Puerta del Diablo,Mexico,40
556,2023-10-24,Sunset Park,Honduras,13
557,2024-09-29,Balboa,Estados Unidos,25
558,2024-10-23,Sunset Park,Nicaragua,32
559,2021-09-16,Apulo,Mexico,19
560,2021-10-20,Balboa,Canada,48
561,2021-09-30,Balboa,España,35
562,2022-03-08,Cerro Verde,Nicaragua,37
563,2023-03-06,Cerro Verde,Canada,32
564,2023-11-22,Amulapa,Costa Rica,27
565,2023-12-28,Cerro Verde,Guatemala,60
566,2022-03-24,Apulo,Honduras,44
567,2024-08-13,Amulapa,Costa Rica,26
568,2021-06-18,Amulapa,España,79
569,2021-12-26,Amulapa,Guatemala,62
570,2024-05-13,Amulapa,Canada,68
571,2023-03-05,Cerro Verde,Canada,27
572,2023-11-20,Balboa,Honduras,5
573,2022-06-21,Amulapa,Honduras,33
574,2023-12-13,Puerta del Diablo,Costa Rica,51
575,2024-06-20,Sunset Park,Guatemala,48
576,2022-08-23,Amulapa,Nicaragua,58
577,2023-12-11,Cerro Verde,Honduras,36
578,2022-08-01,Sunset Park,Costa Rica,63
579,2024-08-31,Amulapa,Mexico,34
580,2024-04-14,Apulo,Honduras,75
581,2024-08-21,Amulapa,Guatemala,33
582,2021-05-14,Amulapa,España,48
583,2024-11-12,Balboa,España,42
584,2023-11-04,Apulo,Costa Rica,37
585,2022-05-16,Amulapa,Mexico,44
586,2024-07-16,Amulapa,Estados Unidos,17
587,2022-04-26,Puerta del Diablo,Honduras,6
588,2021-01-01,Amulapa,España,47
589,2022-06-17,Apulo,España,69
590,2021-06-04,Cerro Verde,Nicaragua,38
591,2023-01-06,Balboa,Honduras,62
592,2022-04-13,Puerta del Diablo,Mexico,24
593,2023-10-06,Cerro Verde,Costa Rica,5
594,2024-01-12,Sunset Park,Canada,45
595,2024-03-17,Sunset Park,Mexico,30
596,2022-03-12,Cerro Verde,Costa Rica,66
597,2022-03-14,Cerro Verde,Nicaragua,44
598,2024-07-12,Sunset Park,Estados Unidos,22
599,2022-03-23,Puerta del Diablo,Nicaragua,33
600,2024-01-08,Amulapa,Honduras,46
