id_visita_parque,fecha,parque,pais_origen,gasto_estimado,anio,mes,dia,trimestre,categoria_gasto
31,2023-04-19,Cerro Verde,Guatemala,54,2023,4,19,2,Medio
32,2024-08-19,Amulapa,Guatemala,22,2024,8,19,3,Bajo
33,2024-08-08,Cerro Verde,Costa Rica,38,2024,8,8,3,Medio
34,2023-12-06,Puerta Del Diablo,Honduras,59,2023,12,6,4,Medio
35,2024-05-23,Apulo,Nicaragua,43,2024,5,23,2,Medio
36,2024-12-23,Sunset Park,Costa Rica,36,2024,12,23,4,Medio
37,2021-09-20,Cerro Verde,Guatemala,75,2021,9,20,3,Alto
38,2022-10-07,Amulapa,Nicaragua,26,2022,10,7,4,Bajo
39,2023-08-30,Amulapa,Honduras,36,2023,8,30,3,Medio
40,2024-09-09,Cerro Verde,Honduras,63,2024,9,9,3,Alto
41,2023-02-28,Puerta Del Diablo,Canada,61,2023,2,28,1,Alto
42,2023-03-28,Apulo,Honduras,13,2023,3,28,1,Bajo
43,2024-06-28,Apulo,Honduras,37,2024,6,28,2,Medio
44,2022-12-17,Balboa,Canada,10,2022,12,17,4,Bajo
45,2022-03-02,Sunset Park,España,19,2022,3,2,1,Bajo
46,2024-10-23,Amulapa,Estados Unidos,17,2024,10,23,4,Bajo
47,2022-02-12,Sunset Park,España,18,2022,2,12,1,Bajo
48,2022-10-27,Puerta Del Diablo,España,18,2022,10,27,4,Bajo
49,2023-10-04,Puerta Del Diablo,Costa Rica,78,2023,10,4,4,Alto
50,2022-07-01,Puerta Del Diablo,Mexico,43,2022,7,1,3,Medio
51,2021-03-09,Amulapa,Costa Rica,17,2021,3,9,1,Bajo
52,2022-08-04,Amulapa,Estados Unidos,43,2022,8,4,3,Medio
53,2024-09-10,Apulo,Canada,62,2024,9,10,3,Alto
54,2024-03-13,Cerro Verde,Estados Unidos,16,2024,3,13,1,Bajo
55,2024-02-24,Cerro Verde,Mexico,35,2024,2,24,1,Medio
56,2022-03-02,Cerro Verde,Honduras,64,2022,3,2,1,Alto
57,2022-04-30,Sunset Park,Guatemala,5,2022,4,30,2,Bajo
58,2023-12-13,Cerro Verde,Canada,17,2023,12,13,4,Bajo
59,2021-12-31,Sunset Park,Mexico,39,2021,12,31,4,Medio
60,2021-10-29,Balboa,Canada,50,2021,10,29,4,Medio
61,2021-10-25,Amulapa,Honduras,13,2021,10,25,4,Bajo
62,2022-02-06,Balboa,Guatemala,17,2022,2,6,1,Bajo
63,2021-01-17,Cerro Verde,España,54,2021,1,17,1,Medio
64,2022-05-31,Amulapa,Canada,39,2022,5,31,2,Medio
65,2022-12-12,Balboa,Mexico,76,2022,12,12,4,Alto
66,2021-06-04,Amulapa,Costa Rica,48,2021,6,4,2,Medio
67,2024-12-06,Amulapa,Nicaragua,15,2024,12,6,4,Bajo
68,2021-11-27,Puerta Del Diablo,Canada,70,2021,11,27,4,Alto
69,2024-06-12,Amulapa,Estados Unidos,52,2024,6,12,2,Medio
70,2023-06-01,Balboa,Guatemala,19,2023,6,1,2,Bajo
71,2021-08-21,Puerta Del Diablo,Canada,68,2021,8,21,3,Alto
72,2021-02-19,Balboa,Guatemala,44,2021,2,19,1,Medio
73,2024-09-23,Cerro Verde,Costa Rica,52,2024,9,23,3,Medio
74,2024-07-17,Cerro Verde,Costa Rica,27,2024,7,17,3,Bajo
75,2024-09-17,Puerta Del Diablo,España,19,2024,9,17,3,Bajo
76,2023-01-18,Amulapa,Mexico,70,2023,1,18,1,Alto
77,2024-10-17,Balboa,Canada,27,2024,10,17,4,Bajo
78,2024-08-01,Puerta Del Diablo,Canada,74,2024,8,1,3,Alto
79,2021-07-13,Puerta Del Diablo,Canada,16,2021,7,13,3,Bajo
80,2022-09-06,Apulo,Mexico,78,2022,9,6,3,Alto
81,2023-11-12,Apulo,Mexico,19,2023,11,12,4,Bajo
82,2023-06-30,Amulapa,Guatemala,22,2023,6,30,2,Bajo
83,2024-03-17,Puerta Del Diablo,Nicaragua,73,2024,3,17,1,Alto
84,2024-10-18,Sunset Park,España,77,2024,10,18,4,Alto
85,2023-12-15,Cerro Verde,España,25,2023,12,15,4,Bajo
86,2023-03-23,Cerro Verde,Costa Rica,33,2023,3,23,1,Medio
87,2024-09-07,Amulapa,Guatemala,64,2024,9,7,3,Alto
88,2021-09-08,Amulapa,Mexico,56,2021,9,8,3,Medio
89,2023-07-14,Amulapa,Canada,43,2023,7,14,3,Medio
90,2022-04-12,Cerro Verde,Guatemala,14,2022,4,12,2,Bajo
91,2024-05-19,Amulapa,Nicaragua,71,2024,5,19,2,Alto
92,2022-10-31,Amulapa,Estados Unidos,72,2022,10,31,4,Alto
93,2022-01-31,Cerro Verde,Guatemala,53,2022,1,31,1,Medio
94,2022-08-25,Apulo,España,46,2022,8,25,3,Medio
95,2021-06-22,Apulo,Nicaragua,18,2021,6,22,2,Bajo
96,2021-08-22,Puerta Del Diablo,Mexico,27,2021,8,22,3,Bajo
97,2021-06-28,Sunset Park,Mexico,35,2021,6,28,2,Medio
98,2022-04-19,Amulapa,Canada,42,2022,4,19,2,Medio
99,2023-08-11,Puerta Del Diablo,España,53,2023,8,11,3,Medio
100,2024-12-15,Sunset Park,Estados Unidos,71,2024,12,15,4,Alto
101,2023-05-26,Balboa,Canada,17,2023,5,26,2,Bajo
102,2023-12-02,Sunset Park,Estados Unidos,67,2023,12,2,4,Alto
103,2021-08-16,Sunset Park,Nicaragua,23,2021,8,16,3,Bajo
104,2024-11-08,Amulapa,Mexico,71,2024,11,8,4,Alto
105,2022-02-11,Cerro Verde,Honduras,10,2022,2,11,1,Bajo
106,2024-04-11,Sunset Park,Canada,53,2024,4,11,2,Medio
107,2022-05-16,Amulapa,Estados Unidos,57,2022,5,16,2,Medio
108,2021-08-02,Sunset Park,Costa Rica,57,2021,8,2,3,Medio
109,2023-06-06,Sunset Park,Canada,10,2023,6,6,2,Bajo
110,2022-04-11,Cerro Verde,Mexico,12,2022,4,11,2,Bajo
111,2023-09-15,Cerro Verde,Canada,36,2023,9,15,3,Medio
112,2024-11-17,Puerta Del Diablo,Canada,39,2024,11,17,4,Medio
113,2023-07-20,Amulapa,Honduras,6,2023,7,20,3,Bajo
114,2022-05-10,Apulo,Mexico,20,2022,5,10,2,Bajo
115,2022-02-23,Cerro Verde,Nicaragua,41,2022,2,23,1,Medio
116,2024-02-05,Apulo,Costa Rica,48,2024,2,5,1,Medio
117,2024-01-14,Amulapa,España,68,2024,1,14,1,Alto
118,2022-05-04,Cerro Verde,Mexico,14,2022,5,4,2,Bajo
119,2021-03-05,Amulapa,Guatemala,61,2021,3,5,1,Alto
120,2021-06-30,Puerta Del Diablo,Honduras,17,2021,6,30,2,Bajo
121,2021-09-13,Sunset Park,Canada,62,2021,9,13,3,Alto
122,2022-06-21,Balboa,Honduras,42,2022,6,21,2,Medio
123,2024-04-05,Amulapa,Canada,61,2024,4,5,2,Alto
124,2021-01-08,Amulapa,Mexico,30,2021,1,8,1,Medio
125,2022-05-05,Cerro Verde,Mexico,72,2022,5,5,2,Alto
126,2023-12-14,Puerta Del Diablo,Costa Rica,19,2023,12,14,4,Bajo
127,2021-05-05,Balboa,Costa Rica,48,2021,5,5,2,Medio
128,2023-01-29,Amulapa,Canada,42,2023,1,29,1,Medio
129,2024-12-17,Amulapa,España,61,2024,12,17,4,Alto
130,2023-07-28,Balboa,España,31,2023,7,28,3,Medio
131,2022-05-16,Sunset Park,España,28,2022,5,16,2,Bajo
132,2023-08-08,Sunset Park,Honduras,31,2023,8,8,3,Medio
133,2021-03-25,Amulapa,España,27,2021,3,25,1,Bajo
134,2022-06-03,Sunset Park,Mexico,17,2022,6,3,2,Bajo
135,2024-12-28,Cerro Verde,Honduras,8,2024,12,28,4,Bajo
136,2021-07-22,Sunset Park,Canada,63,2021,7,22,3,Alto
137,2022-08-22,Puerta Del Diablo,Costa Rica,37,2022,8,22,3,Medio
138,2022-07-10,Sunset Park,Honduras,35,2022,7,10,3,Medio
139,2021-10-12,Cerro Verde,Nicaragua,70,2021,10,12,4,Alto
140,2024-09-28,Amulapa,Honduras,31,2024,9,28,3,Medio
141,2024-08-14,Cerro Verde,Mexico,79,2024,8,14,3,Alto
142,2024-08-21,Apulo,Mexico,32,2024,8,21,3,Medio
143,2022-12-01,Balboa,Mexico,38,2022,12,1,4,Medio
144,2021-02-16,Amulapa,Mexico,70,2021,2,16,1,Alto
145,2022-06-12,Sunset Park,Honduras,44,2022,6,12,2,Medio
146,2023-01-20,Balboa,Canada,56,2023,1,20,1,Medio
147,2023-08-02,Cerro Verde,Costa Rica,14,2023,8,2,3,Bajo
148,2022-12-08,Puerta Del Diablo,Honduras,18,2022,12,8,4,Bajo
149,2024-03-30,Sunset Park,Costa Rica,7,2024,3,30,1,Bajo
150,2023-10-24,Balboa,Guatemala,58,2023,10,24,4,Medio
151,2023-05-30,Amulapa,Guatemala,77,2023,5,30,2,Alto
152,2023-01-01,Apulo,Estados Unidos,34,2023,1,1,1,Medio
153,2021-01-08,Cerro Verde,España,7,2021,1,8,1,Bajo
154,2023-02-03,Amulapa,Guatemala,21,2023,2,3,1,Bajo
155,2022-08-18,Amulapa,España,53,2022,8,18,3,Medio
156,2021-04-18,Puerta Del Diablo,España,58,2021,4,18,2,Medio
157,2021-03-03,Amulapa,Costa Rica,56,2021,3,3,1,Medio
158,2023-07-04,Balboa,Mexico,17,2023,7,4,3,Bajo
159,2021-07-07,Puerta Del Diablo,Estados Unidos,26,2021,7,7,3,Bajo
160,2021-04-19,Amulapa,Guatemala,50,2021,4,19,2,Medio
161,2024-09-12,Cerro Verde,Mexico,19,2024,9,12,3,Bajo
162,2024-02-09,Puerta Del Diablo,Costa Rica,12,2024,2,9,1,Bajo
163,2021-04-21,Puerta Del Diablo,Estados Unidos,51,2021,4,21,2,Medio
164,2021-03-31,Apulo,España,64,2021,3,31,1,Alto
165,2024-06-22,Balboa,España,62,2024,6,22,2,Alto
166,2022-03-11,Balboa,Guatemala,43,2022,3,11,1,Medio
167,2023-10-26,Balboa,Mexico,26,2023,10,26,4,Bajo
168,2023-03-30,Balboa,Nicaragua,35,2023,3,30,1,Medio
169,2022-07-23,Balboa,Nicaragua,48,2022,7,23,3,Medio
170,2022-11-22,Cerro Verde,Honduras,50,2022,11,22,4,Medio
171,2023-05-07,Cerro Verde,Honduras,23,2023,5,7,2,Bajo
172,2021-08-11,Apulo,Estados Unidos,19,2021,8,11,3,Bajo
173,2024-12-08,Amulapa,Mexico,52,2024,12,8,4,Medio
174,2023-12-20,Puerta Del Diablo,Costa Rica,40,2023,12,20,4,Medio
175,2021-03-25,Cerro Verde,Honduras,38,2021,3,25,1,Medio
176,2024-12-22,Amulapa,Canada,18,2024,12,22,4,Bajo
177,2023-05-09,Apulo,Guatemala,73,2023,5,9,2,Alto
178,2023-09-25,Amulapa,Costa Rica,69,2023,9,25,3,Alto
179,2023-11-27,Cerro Verde,Canada,39,2023,11,27,4,Medio
180,2021-11-14,Apulo,España,66,2021,11,14,4,Alto
181,2021-10-11,Amulapa,Estados Unidos,54,2021,10,11,4,Medio
182,2022-11-25,Amulapa,Honduras,29,2022,11,25,4,Bajo
183,2022-04-04,Amulapa,Mexico,21,2022,4,4,2,Bajo
184,2021-09-06,Balboa,Canada,65,2021,9,6,3,Alto
185,2023-03-23,Puerta Del Diablo,Guatemala,74,2023,3,23,1,Alto
186,2024-09-07,Sunset Park,Canada,52,2024,9,7,3,Medio
187,2022-02-07,Cerro Verde,Guatemala,25,2022,2,7,1,Bajo
188,2022-03-28,Puerta Del Diablo,Guatemala,64,2022,3,28,1,Alto
189,2021-07-13,Sunset Park,España,78,2021,7,13,3,Alto
190,2023-11-18,Apulo,Costa Rica,48,2023,11,18,4,Medio
191,2022-12-09,Puerta Del Diablo,Mexico,44,2022,12,9,4,Medio
192,2023-03-20,Amulapa,Nicaragua,50,2023,3,20,1,Medio
193,2021-04-14,Cerro Verde,Guatemala,19,2021,4,14,2,Bajo
194,2021-09-25,Cerro Verde,Nicaragua,27,2021,9,25,3,Bajo
195,2022-04-19,Cerro Verde,Costa Rica,36,2022,4,19,2,Medio
196,2021-03-12,Balboa,Canada,46,2021,3,12,1,Medio
197,2023-11-21,Cerro Verde,Costa Rica,56,2023,11,21,4,Medio
198,2023-07-15,Cerro Verde,Estados Unidos,66,2023,7,15,3,Alto
199,2024-08-16,Cerro Verde,Guatemala,54,2024,8,16,3,Medio
200,2022-03-11,Cerro Verde,Mexico,72,2022,3,11,1,Alto
201,2023-10-01,Cerro Verde,Canada,44,2023,10,1,4,Medio
202,2022-07-02,Amulapa,España,29,2022,7,2,3,Bajo
203,2021-07-06,Apulo,Mexico,24,2021,7,6,3,Bajo
204,2024-08-26,Cerro Verde,Costa Rica,28,2024,8,26,3,Bajo
205,2024-04-16,Amulapa,Guatemala,27,2024,4,16,2,Bajo
206,2024-02-16,Amulapa,Honduras,49,2024,2,16,1,Medio
207,2021-07-26,Balboa,Honduras,10,2021,7,26,3,Bajo
208,2023-12-28,Amulapa,Nicaragua,73,2023,12,28,4,Alto
209,2024-09-13,Amulapa,España,69,2024,9,13,3,Alto
210,2022-11-28,Amulapa,Guatemala,76,2022,11,28,4,Alto
211,2023-07-21,Cerro Verde,Nicaragua,46,2023,7,21,3,Medio
212,2024-11-09,Apulo,Canada,63,2024,11,9,4,Alto
213,2022-07-23,Balboa,Guatemala,13,2022,7,23,3,Bajo
214,2021-07-09,Apulo,Nicaragua,21,2021,7,9,3,Bajo
215,2021-07-25,Sunset Park,Estados Unidos,74,2021,7,25,3,Alto
216,2023-05-20,Puerta Del Diablo,Costa Rica,48,2023,5,20,2,Medio
217,2022-08-20,Sunset Park,Canada,78,2022,8,20,3,Alto
218,2023-05-03,Sunset Park,Costa Rica,10,2023,5,3,2,Bajo
219,2022-07-09,Balboa,Mexico,5,2022,7,9,3,Bajo
220,2022-09-17,Puerta Del Diablo,Honduras,28,2022,9,17,3,Bajo
221,2022-07-03,Puerta Del Diablo,Honduras,12,2022,7,3,3,Bajo
222,2022-03-11,Amulapa,Estados Unidos,34,2022,3,11,1,Medio
223,2022-12-17,Sunset Park,Mexico,48,2022,12,17,4,Medio
224,2022-03-24,Amulapa,España,6,2022,3,24,1,Bajo
225,2022-01-17,Puerta Del Diablo,Honduras,12,2022,1,17,1,Bajo
226,2021-12-30,Sunset Park,Estados Unidos,6,2021,12,30,4,Bajo
227,2021-11-05,Amulapa,Honduras,27,2021,11,5,4,Bajo
228,2021-07-04,Puerta Del Diablo,Canada,21,2021,7,4,3,Bajo
229,2021-06-28,Apulo,Honduras,14,2021,6,28,2,Bajo
230,2024-12-13,Apulo,Guatemala,21,2024,12,13,4,Bajo
231,2023-05-22,Sunset Park,Costa Rica,79,2023,5,22,2,Alto
232,2023-09-28,Cerro Verde,Estados Unidos,73,2023,9,28,3,Alto
233,2022-07-03,Sunset Park,Canada,64,2022,7,3,3,Alto
234,2022-01-12,Apulo,Canada,45,2022,1,12,1,Medio
235,2024-01-07,Balboa,Mexico,10,2024,1,7,1,Bajo
236,2021-10-03,Cerro Verde,España,77,2021,10,3,4,Alto
237,2024-12-25,Amulapa,Mexico,28,2024,12,25,4,Bajo
238,2024-09-01,Puerta Del Diablo,Honduras,10,2024,9,1,3,Bajo
239,2022-02-27,Balboa,Guatemala,69,2022,2,27,1,Alto
240,2021-03-10,Balboa,Costa Rica,32,2021,3,10,1,Medio
241,2022-04-24,Puerta Del Diablo,Estados Unidos,37,2022,4,24,2,Medio
242,2023-03-28,Sunset Park,España,45,2023,3,28,1,Medio
243,2022-10-17,Apulo,Mexico,39,2022,10,17,4,Medio
244,2023-03-04,Cerro Verde,Nicaragua,10,2023,3,4,1,Bajo
245,2023-08-13,Apulo,Nicaragua,64,2023,8,13,3,Alto
246,2022-12-22,Cerro Verde,Estados Unidos,65,2022,12,22,4,Alto
247,2023-11-23,Apulo,Costa Rica,24,2023,11,23,4,Bajo
248,2023-11-03,Amulapa,Guatemala,12,2023,11,3,4,Bajo
249,2021-07-30,Apulo,Nicaragua,57,2021,7,30,3,Medio
250,2022-01-18,Sunset Park,Costa Rica,55,2022,1,18,1,Medio
251,2023-09-05,Sunset Park,Nicaragua,67,2023,9,5,3,Alto
252,2024-04-19,Puerta Del Diablo,Honduras,47,2024,4,19,2,Medio
253,2024-01-26,Balboa,Nicaragua,24,2024,1,26,1,Bajo
254,2021-05-22,Amulapa,Honduras,11,2021,5,22,2,Bajo
255,2021-04-27,Sunset Park,Guatemala,20,2021,4,27,2,Bajo
256,2022-08-14,Cerro Verde,Estados Unidos,62,2022,8,14,3,Alto
257,2021-08-24,Cerro Verde,Nicaragua,60,2021,8,24,3,Alto
258,2024-02-19,Amulapa,Nicaragua,25,2024,2,19,1,Bajo
259,2022-01-28,Apulo,Nicaragua,15,2022,1,28,1,Bajo
260,2021-11-17,Amulapa,España,48,2021,11,17,4,Medio
261,2022-05-06,Balboa,Estados Unidos,10,2022,5,6,2,Bajo
262,2024-09-05,Apulo,Canada,27,2024,9,5,3,Bajo
263,2022-07-19,Balboa,Costa Rica,29,2022,7,19,3,Bajo
264,2024-08-03,Apulo,Estados Unidos,68,2024,8,3,3,Alto
265,2022-06-26,Balboa,Nicaragua,51,2022,6,26,2,Medio
266,2024-06-26,Sunset Park,Honduras,58,2024,6,26,2,Medio
267,2024-02-27,Sunset Park,Mexico,57,2024,2,27,1,Medio
268,2021-08-25,Sunset Park,Estados Unidos,9,2021,8,25,3,Bajo
269,2022-03-03,Sunset Park,España,78,2022,3,3,1,Alto
270,2023-06-25,Amulapa,Mexico,16,2023,6,25,2,Bajo
271,2024-07-11,Puerta Del Diablo,España,24,2024,7,11,3,Bajo
272,2024-08-12,Cerro Verde,Mexico,73,2024,8,12,3,Alto
273,2023-02-03,Sunset Park,Honduras,54,2023,2,3,1,Medio
274,2022-11-17,Sunset Park,Mexico,28,2022,11,17,4,Bajo
275,2023-04-04,Puerta Del Diablo,Honduras,14,2023,4,4,2,Bajo
276,2023-11-27,Cerro Verde,Canada,65,2023,11,27,4,Alto
277,2022-06-22,Apulo,Honduras,77,2022,6,22,2,Alto
278,2021-03-23,Cerro Verde,Mexico,17,2021,3,23,1,Bajo
279,2022-05-25,Balboa,Nicaragua,65,2022,5,25,2,Alto
280,2022-01-28,Apulo,Costa Rica,23,2022,1,28,1,Bajo
281,2022-10-11,Apulo,Guatemala,59,2022,10,11,4,Medio
282,2021-02-10,Balboa,Honduras,26,2021,2,10,1,Bajo
283,2022-03-03,Sunset Park,Guatemala,70,2022,3,3,1,Alto
284,2022-11-11,Cerro Verde,Nicaragua,5,2022,11,11,4,Bajo
285,2022-01-02,Balboa,Nicaragua,71,2022,1,2,1,Alto
286,2023-04-12,Cerro Verde,Guatemala,64,2023,4,12,2,Alto
287,2024-02-29,Amulapa,Nicaragua,56,2024,2,29,1,Medio
288,2021-01-11,Apulo,Costa Rica,65,2021,1,11,1,Alto
289,2022-01-29,Apulo,Mexico,29,2022,1,29,1,Bajo
290,2024-12-26,Sunset Park,Nicaragua,27,2024,12,26,4,Bajo
291,2023-02-16,Amulapa,Guatemala,10,2023,2,16,1,Bajo
292,2021-01-13,Sunset Park,Costa Rica,49,2021,1,13,1,Medio
293,2023-01-19,Balboa,Mexico,53,2023,1,19,1,Medio
294,2021-05-08,Cerro Verde,Costa Rica,78,2021,5,8,2,Alto
295,2022-09-26,Amulapa,Guatemala,41,2022,9,26,3,Medio
296,2023-03-01,Sunset Park,Guatemala,22,2023,3,1,1,Bajo
297,2024-09-03,Cerro Verde,Honduras,54,2024,9,3,3,Medio
298,2024-02-08,Puerta Del Diablo,Nicaragua,59,2024,2,8,1,Medio
299,2023-02-07,Balboa,Canada,8,2023,2,7,1,Bajo
300,2023-11-11,Amulapa,Estados Unidos,36,2023,11,11,4,Medio
301,2021-03-09,Cerro Verde,Nicaragua,19,2021,3,9,1,Bajo
302,2021-02-14,Sunset Park,Estados Unidos,52,2021,2,14,1,Medio
303,2024-01-28,Sunset Park,Canada,60,2024,1,28,1,Alto
304,2021-07-18,Amulapa,Canada,50,2021,7,18,3,Medio
305,2022-04-25,Cerro Verde,Estados Unidos,30,2022,4,25,2,Medio
306,2021-11-22,Apulo,Nicaragua,15,2021,11,22,4,Bajo
307,2021-05-17,Puerta Del Diablo,Nicaragua,19,2021,5,17,2,Bajo
308,2022-09-22,Balboa,Estados Unidos,70,2022,9,22,3,Alto
309,2021-08-26,Cerro Verde,Costa Rica,13,2021,8,26,3,Bajo
310,2024-06-04,Sunset Park,Costa Rica,35,2024,6,4,2,Medio
311,2024-09-25,Balboa,España,41,2024,9,25,3,Medio
312,2021-03-15,Cerro Verde,Estados Unidos,43,2021,3,15,1,Medio
313,2022-06-07,Sunset Park,Canada,53,2022,6,7,2,Medio
314,2022-10-16,Amulapa,Canada,75,2022,10,16,4,Alto
315,2021-01-30,Puerta Del Diablo,Canada,67,2021,1,30,1,Alto
316,2021-12-11,Amulapa,Estados Unidos,75,2021,12,11,4,Alto
317,2023-04-09,Cerro Verde,España,55,2023,4,9,2,Medio
318,2023-11-02,Cerro Verde,Costa Rica,16,2023,11,2,4,Bajo
319,2021-12-06,Balboa,Nicaragua,62,2021,12,6,4,Alto
320,2022-11-26,Balboa,Nicaragua,72,2022,11,26,4,Alto
321,2021-12-16,Sunset Park,España,77,2021,12,16,4,Alto
322,2024-01-23,Apulo,Guatemala,44,2024,1,23,1,Medio
323,2021-03-17,Puerta Del Diablo,Estados Unidos,55,2021,3,17,1,Medio
324,2022-02-05,Sunset Park,Nicaragua,22,2022,2,5,1,Bajo
325,2023-01-19,Amulapa,Mexico,18,2023,1,19,1,Bajo
326,2023-03-21,Amulapa,Guatemala,43,2023,3,21,1,Medio
327,2022-06-04,Sunset Park,Costa Rica,33,2022,6,4,2,Medio
328,2021-03-19,Balboa,Guatemala,58,2021,3,19,1,Medio
329,2024-12-23,Sunset Park,España,35,2024,12,23,4,Medio
330,2022-11-20,Amulapa,Canada,70,2022,11,20,4,Alto
331,2023-04-30,Puerta Del Diablo,Honduras,16,2023,4,30,2,Bajo
332,2024-07-03,Cerro Verde,Canada,73,2024,7,3,3,Alto
333,2022-05-06,Apulo,Guatemala,48,2022,5,6,2,Medio
334,2023-09-04,Apulo,Honduras,33,2023,9,4,3,Medio
335,2023-11-02,Cerro Verde,Costa Rica,11,2023,11,2,4,Bajo
336,2024-06-30,Balboa,Guatemala,55,2024,6,30,2,Medio
337,2021-08-16,Amulapa,Costa Rica,78,2021,8,16,3,Alto
338,2024-12-02,Sunset Park,Mexico,19,2024,12,2,4,Bajo
339,2024-05-21,Apulo,Nicaragua,68,2024,5,21,2,Alto
340,2021-06-22,Balboa,Canada,37,2021,6,22,2,Medio
341,2023-04-10,Sunset Park,Canada,32,2023,4,10,2,Medio
342,2022-02-15,Apulo,Costa Rica,72,2022,2,15,1,Alto
343,2024-09-22,Apulo,Canada,79,2024,9,22,3,Alto
344,2021-01-01,Cerro Verde,Guatemala,59,2021,1,1,1,Medio
345,2024-09-05,Balboa,Canada,11,2024,9,5,3,Bajo
346,2024-03-08,Puerta Del Diablo,Guatemala,59,2024,3,8,1,Medio
347,2024-02-01,Apulo,Honduras,58,2024,2,1,1,Medio
348,2024-09-11,Sunset Park,Nicaragua,66,2024,9,11,3,Alto
349,2024-02-04,Balboa,Estados Unidos,50,2024,2,4,1,Medio
350,2021-01-01,Amulapa,Mexico,28,2021,1,1,1,Bajo
351,2023-02-16,Amulapa,Estados Unidos,60,2023,2,16,1,Alto
352,2021-10-04,Amulapa,España,75,2021,10,4,4,Alto
353,2024-07-26,Apulo,Costa Rica,16,2024,7,26,3,Bajo
354,2022-02-22,Amulapa,Costa Rica,36,2022,2,22,1,Medio
355,2021-11-28,Amulapa,Estados Unidos,23,2021,11,28,4,Bajo
356,2023-08-28,Puerta Del Diablo,Mexico,48,2023,8,28,3,Medio
357,2021-03-23,Puerta Del Diablo,Honduras,32,2021,3,23,1,Medio
358,2023-05-20,Apulo,Nicaragua,28,2023,5,20,2,Bajo
359,2023-04-22,Cerro Verde,Mexico,24,2023,4,22,2,Bajo
360,2024-04-09,Amulapa,Estados Unidos,18,2024,4,9,2,Bajo
361,2024-11-22,Apulo,Honduras,7,2024,11,22,4,Bajo
362,2021-12-05,Apulo,Nicaragua,52,2021,12,5,4,Medio
363,2023-02-15,Amulapa,España,19,2023,2,15,1,Bajo
364,2022-01-21,Sunset Park,España,30,2022,1,21,1,Medio
365,2024-09-24,Sunset Park,Guatemala,77,2024,9,24,3,Alto
366,2021-09-18,Cerro Verde,Nicaragua,13,2021,9,18,3,Bajo
367,2021-03-15,Sunset Park,España,37,2021,3,15,1,Medio
368,2021-04-03,Apulo,Canada,63,2021,4,3,2,Alto
369,2022-02-21,Cerro Verde,Canada,7,2022,2,21,1,Bajo
370,2024-04-14,Sunset Park,Honduras,27,2024,4,14,2,Bajo
371,2024-11-23,Sunset Park,Nicaragua,10,2024,11,23,4,Bajo
372,2024-11-14,Apulo,Estados Unidos,76,2024,11,14,4,Alto
373,2023-02-19,Cerro Verde,Costa Rica,51,2023,2,19,1,Medio
374,2024-05-09,Sunset Park,Guatemala,47,2024,5,9,2,Medio
375,2023-01-30,Balboa,España,53,2023,1,30,1,Medio
376,2021-08-30,Apulo,Canada,21,2021,8,30,3,Bajo
377,2024-09-11,Balboa,Nicaragua,78,2024,9,11,3,Alto
378,2024-01-14,Puerta Del Diablo,Nicaragua,16,2024,1,14,1,Bajo
