id_reserva,fecha,departamento,tipo_hotel,habitaciones,ocupadas,tarifa_promedio,anio,mes,dia,trimestre,porcentaje_ocupacion,nivel_ocupacion,ingreso_estimado
218,2023-02-25,Usulutan,Playa,160,114,79,2023,2,25,1,71.25,Alta,9006
220,2023-03-09,Ahuachapan,Playa,92,67,189,2023,3,9,1,72.82608695652173,Alta,12663
221,2023-04-14,San Salvador,Playa,58,44,48,2023,4,14,2,75.86206896551724,Alta,2112
222,2022-02-10,Santa Ana,Playa,170,43,206,2022,2,10,1,25.294117647058822,Baja,8858
223,2024-11-16,La Paz,Montaña,130,112,196,2024,11,16,4,86.15384615384616,Alta,21952
224,2022-11-25,La Paz,Playa,188,42,136,2022,11,25,4,22.340425531914892,Baja,5712
225,2022-03-18,Santa Ana,Ciudad,136,72,147,2022,3,18,1,52.94117647058824,Media,10584
226,2022-04-15,La Libertad,Montaña,181,172,155,2022,4,15,2,95.02762430939227,Alta,26660
228,2022-02-15,La Libertad,Playa,97,20,234,2022,2,15,1,20.618556701030926,Baja,4680
229,2023-06-13,Santa Ana,Ciudad,176,131,155,2023,6,13,2,74.43181818181817,Alta,20305
230,2023-03-09,San Salvador,Rural,58,8,201,2023,3,9,1,13.793103448275861,Baja,1608
231,2023-04-04,Ahuachapan,Rural,183,17,166,2023,4,4,2,9.289617486338798,Baja,2822
233,2022-08-30,San Salvador,Ciudad,123,122,207,2022,8,30,3,99.1869918699187,Alta,25254
234,2023-10-09,Sonsonate,Playa,31,26,144,2023,10,9,4,83.87096774193549,Alta,3744
235,2021-04-04,Santa Ana,Montaña,129,110,86,2021,4,4,2,85.27131782945736,Alta,9460
236,2021-05-18,Usulutan,Ciudad,63,6,81,2021,5,18,2,9.523809523809524,Baja,486
237,2023-12-05,San Salvador,Ciudad,104,29,84,2023,12,5,4,27.884615384615387,Baja,2436
239,2024-04-09,San Miguel,Rural,121,63,164,2024,4,9,2,52.066115702479344,Media,10332
240,2023-07-07,La Paz,Montaña,176,89,191,2023,7,7,3,50.56818181818182,Media,16999
241,2022-07-05,Sonsonate,Montaña,178,152,37,2022,7,5,3,85.39325842696628,Alta,5624
242,2023-04-15,Sonsonate,Montaña,97,60,230,2023,4,15,2,61.855670103092784,Media,13800
245,2022-01-23,San Salvador,Rural,184,119,162,2022,1,23,1,64.67391304347827,Media,19278
250,2024-06-01,Ahuachapan,Rural,138,67,242,2024,6,1,2,48.55072463768116,Media,16214
255,2022-07-29,Sonsonate,Playa,83,64,138,2022,7,29,3,77.10843373493977,Alta,8832
256,2024-12-22,Santa Ana,Playa,185,33,101,2024,12,22,4,17.83783783783784,Baja,3333
257,2021-02-08,La Paz,Playa,61,38,199,2021,2,8,1,62.295081967213115,Media,7562
259,2023-10-05,La Libertad,Ciudad,125,121,151,2023,10,5,4,96.8,Alta,18271
260,2023-07-12,Sonsonate,Montaña,132,29,150,2023,7,12,3,21.96969696969697,Baja,4350
261,2021-10-28,Santa Ana,Rural,159,105,80,2021,10,28,4,66.0377358490566,Media,8400
263,2024-09-07,Ahuachapan,Montaña,119,41,70,2024,9,7,3,34.45378151260504,Baja,2870
264,2021-03-20,Santa Ana,Ciudad,142,43,99,2021,3,20,1,30.28169014084507,Baja,4257
265,2022-04-18,Sonsonate,Montaña,181,102,191,2022,4,18,2,56.353591160220994,Media,19482
267,2024-06-18,San Salvador,Montaña,68,65,237,2024,6,18,2,95.58823529411765,Alta,15405
269,2024-04-21,La Paz,Rural,174,144,80,2024,4,21,2,82.75862068965517,Alta,11520
272,2023-09-24,La Libertad,Playa,133,30,243,2023,9,24,3,22.55639097744361,Baja,7290
277,2021-04-29,La Paz,Montaña,143,65,153,2021,4,29,2,45.45454545454545,Media,9945
280,2023-08-17,Usulutan,Rural,174,105,239,2023,8,17,3,60.3448275862069,Media,25095
281,2023-11-23,San Salvador,Montaña,177,164,81,2023,11,23,4,92.65536723163842,Alta,13284
282,2024-09-17,San Miguel,Montaña,116,87,60,2024,9,17,3,75.0,Alta,5220
285,2024-04-09,Ahuachapan,Rural,59,49,67,2024,4,9,2,83.05084745762711,Alta,3283
287,2023-01-10,La Paz,Ciudad,121,101,55,2023,1,10,1,83.47107438016529,Alta,5555
288,2023-06-14,Sonsonate,Montaña,176,158,118,2023,6,14,2,89.77272727272727,Alta,18644
289,2021-07-02,Santa Ana,Rural,142,64,72,2021,7,2,3,45.07042253521127,Media,4608
292,2022-10-10,Usulutan,Ciudad,167,5,212,2022,10,10,4,2.9940119760479043,Baja,1060
293,2021-11-20,Santa Ana,Montaña,139,13,93,2021,11,20,4,9.352517985611511,Baja,1209
296,2023-01-19,San Salvador,Rural,92,20,155,2023,1,19,1,21.73913043478261,Baja,3100
298,2024-03-23,Ahuachapan,Ciudad,185,23,233,2024,3,23,1,12.432432432432433,Baja,5359
299,2021-12-03,Sonsonate,Ciudad,150,146,112,2021,12,3,4,97.33333333333334,Alta,16352
300,2021-04-22,Santa Ana,Montaña,153,87,122,2021,4,22,2,56.86274509803921,Media,10614
301,2022-03-10,Sonsonate,Montaña,140,26,127,2022,3,10,1,18.571428571428573,Baja,3302
307,2024-07-16,Usulutan,Montaña,150,96,194,2024,7,16,3,64.0,Media,18624
310,2023-10-01,Santa Ana,Ciudad,113,73,148,2023,10,1,4,64.60176991150442,Media,10804
311,2022-12-05,La Libertad,Ciudad,158,122,212,2022,12,5,4,77.21518987341773,Alta,25864
314,2021-01-05,La Libertad,Ciudad,106,89,243,2021,1,5,1,83.9622641509434,Alta,21627
316,2022-06-08,San Miguel,Playa,111,44,239,2022,6,8,2,39.63963963963964,Baja,10516
317,2023-02-01,Sonsonate,Rural,189,44,93,2023,2,1,1,23.28042328042328,Baja,4092
318,2024-12-22,San Miguel,Ciudad,120,58,91,2024,12,22,4,48.333333333333336,Media,5278
320,2024-04-11,Santa Ana,Playa,194,115,83,2024,4,11,2,59.27835051546392,Media,9545
323,2023-04-28,Sonsonate,Ciudad,87,30,51,2023,4,28,2,34.48275862068966,Baja,1530
325,2021-11-17,La Libertad,Ciudad,152,134,147,2021,11,17,4,88.1578947368421,Alta,19698
327,2023-03-07,Santa Ana,Ciudad,165,112,35,2023,3,7,1,67.87878787878789,Media,3920
328,2024-10-06,Santa Ana,Ciudad,44,38,82,2024,10,6,4,86.36363636363636,Alta,3116
329,2022-04-07,Santa Ana,Playa,63,15,182,2022,4,7,2,23.809523809523807,Baja,2730
330,2024-10-10,Ahuachapan,Rural,143,94,75,2024,10,10,4,65.73426573426573,Media,7050
331,2022-09-20,La Libertad,Ciudad,85,19,221,2022,9,20,3,22.35294117647059,Baja,4199
332,2021-08-01,Usulutan,Playa,73,28,68,2021,8,1,3,38.35616438356164,Baja,1904
333,2024-10-13,Ahuachapan,Playa,70,43,167,2024,10,13,4,61.42857142857143,Media,7181
334,2022-09-23,La Libertad,Rural,75,46,148,2022,9,23,3,61.33333333333333,Media,6808
335,2024-02-09,Sonsonate,Rural,95,51,146,2024,2,9,1,53.68421052631579,Media,7446
338,2021-07-20,Usulutan,Montaña,157,75,199,2021,7,20,3,47.77070063694268,Media,14925
339,2023-07-22,Santa Ana,Rural,126,81,159,2023,7,22,3,64.28571428571429,Media,12879
340,2024-01-03,Usulutan,Ciudad,63,40,136,2024,1,3,1,63.49206349206349,Media,5440
341,2022-06-29,San Salvador,Ciudad,86,44,235,2022,6,29,2,51.162790697674424,Media,10340
342,2024-10-19,Ahuachapan,Rural,184,138,117,2024,10,19,4,75.0,Alta,16146
343,2021-08-19,La Paz,Montaña,76,43,142,2021,8,19,3,56.57894736842105,Media,6106
344,2021-09-15,Sonsonate,Playa,55,54,131,2021,9,15,3,98.18181818181819,Alta,7074
346,2023-02-18,San Miguel,Playa,189,87,52,2023,2,18,1,46.03174603174603,Media,4524
348,2021-10-27,Usulutan,Montaña,165,65,185,2021,10,27,4,39.39393939393939,Baja,12025
349,2024-11-28,Santa Ana,Rural,120,24,222,2024,11,28,4,20.0,Baja,5328
350,2024-06-23,Santa Ana,Playa,136,99,157,2024,6,23,2,72.79411764705883,Alta,15543
351,2024-01-16,Usulutan,Montaña,148,129,219,2024,1,16,1,87.16216216216216,Alta,28251
352,2021-06-25,Sonsonate,Ciudad,131,116,168,2021,6,25,2,88.54961832061069,Alta,19488
353,2024-03-21,San Miguel,Playa,161,152,107,2024,3,21,1,94.40993788819875,Alta,16264
354,2024-01-03,Sonsonate,Ciudad,167,149,158,2024,1,3,1,89.22155688622755,Alta,23542
357,2023-05-16,Ahuachapan,Ciudad,131,16,216,2023,5,16,2,12.213740458015266,Baja,3456
358,2024-01-29,La Libertad,Montaña,180,47,223,2024,1,29,1,26.111111111111114,Baja,10481
359,2022-01-13,Usulutan,Ciudad,155,114,189,2022,1,13,1,73.54838709677419,Alta,21546
362,2022-05-16,San Miguel,Montaña,57,49,49,2022,5,16,2,85.96491228070175,Alta,2401
363,2024-08-14,Sonsonate,Ciudad,68,9,83,2024,8,14,3,13.23529411764706,Baja,747
367,2022-06-27,Sonsonate,Montaña,140,51,181,2022,6,27,2,36.42857142857142,Baja,9231
369,2023-08-01,Santa Ana,Rural,113,97,93,2023,8,1,3,85.84070796460178,Alta,9021
371,2024-09-24,Usulutan,Ciudad,173,98,128,2024,9,24,3,56.64739884393064,Media,12544
374,2024-10-10,Sonsonate,Ciudad,86,18,162,2024,10,10,4,20.930232558139537,Baja,2916
376,2022-11-09,Ahuachapan,Rural,188,129,206,2022,11,9,4,68.61702127659575,Media,26574
377,2023-04-29,La Paz,Montaña,77,75,205,2023,4,29,2,97.40259740259741,Alta,15375
378,2023-02-18,Usulutan,Ciudad,138,113,162,2023,2,18,1,81.88405797101449,Alta,18306
380,2021-10-25,La Paz,Rural,76,24,106,2021,10,25,4,31.57894736842105,Baja,2544
381,2023-07-27,La Paz,Rural,154,40,181,2023,7,27,3,25.97402597402597,Baja,7240
386,2024-11-24,Ahuachapan,Montaña,81,47,118,2024,11,24,4,58.0246913580247,Media,5546
388,2021-09-03,Santa Ana,Montaña,32,17,100,2021,9,3,3,53.125,Media,1700
390,2021-03-26,Ahuachapan,Montaña,159,114,62,2021,3,26,1,71.69811320754717,Alta,7068
391,2021-05-09,Usulutan,Montaña,170,104,93,2021,5,9,2,61.1764705882353,Media,9672
393,2022-08-04,Santa Ana,Playa,130,70,197,2022,8,4,3,53.84615384615385,Media,13790
394,2022-06-03,Usulutan,Playa,152,131,208,2022,6,3,2,86.18421052631578,Alta,27248
398,2021-10-13,Santa Ana,Playa,177,69,85,2021,10,13,4,38.983050847457626,Baja,5865
399,2022-06-12,Sonsonate,Montaña,156,29,227,2022,6,12,2,18.58974358974359,Baja,6583
402,2024-04-16,Santa Ana,Playa,44,19,124,2024,4,16,2,43.18181818181818,Media,2356
403,2022-07-24,Sonsonate,Montaña,154,47,183,2022,7,24,3,30.519480519480517,Baja,8601
405,2024-03-16,Sonsonate,Rural,196,127,216,2024,3,16,1,64.79591836734694,Media,27432
406,2023-06-13,San Miguel,Ciudad,67,54,110,2023,6,13,2,80.59701492537313,Alta,5940
407,2021-10-28,Santa Ana,Ciudad,106,76,133,2021,10,28,4,71.69811320754717,Alta,10108
409,2022-09-10,Usulutan,Rural,114,43,77,2022,9,10,3,37.719298245614034,Baja,3311
413,2023-11-10,Sonsonate,Ciudad,41,37,166,2023,11,10,4,90.2439024390244,Alta,6142
414,2024-07-21,Sonsonate,Playa,112,39,95,2024,7,21,3,34.82142857142857,Baja,3705
416,2023-09-26,San Salvador,Montaña,134,92,169,2023,9,26,3,68.65671641791045,Media,15548
417,2021-03-09,San Miguel,Rural,171,148,76,2021,3,9,1,86.54970760233918,Alta,11248
418,2022-12-10,Santa Ana,Rural,96,44,234,2022,12,10,4,45.83333333333333,Media,10296
420,2024-08-22,La Libertad,Playa,188,49,40,2024,8,22,3,26.063829787234045,Baja,1960
422,2024-11-28,La Libertad,Rural,122,66,192,2024,11,28,4,54.09836065573771,Media,12672
423,2022-08-02,Ahuachapan,Montaña,104,71,108,2022,8,2,3,68.26923076923077,Media,7668
424,2024-12-01,Usulutan,Playa,90,29,160,2024,12,1,4,32.22222222222222,Baja,4640
427,2024-01-18,San Salvador,Ciudad,150,65,135,2024,1,18,1,43.333333333333336,Media,8775
428,2023-09-02,Usulutan,Montaña,99,26,149,2023,9,2,3,26.262626262626267,Baja,3874
430,2022-01-24,San Miguel,Ciudad,131,32,45,2022,1,24,1,24.427480916030532,Baja,1440
431,2023-05-20,San Miguel,Rural,194,169,218,2023,5,20,2,87.11340206185567,Alta,36842
432,2022-09-09,La Paz,Rural,165,25,236,2022,9,9,3,15.151515151515152,Baja,5900
434,2024-08-04,Usulutan,Ciudad,192,57,74,2024,8,4,3,29.6875,Baja,4218
435,2024-06-21,Sonsonate,Ciudad,148,57,46,2024,6,21,2,38.513513513513516,Baja,2622
437,2021-08-30,Ahuachapan,Montaña,165,28,151,2021,8,30,3,16.969696969696972,Baja,4228
439,2023-09-10,San Salvador,Playa,36,21,139,2023,9,10,3,58.333333333333336,Media,2919
442,2021-04-27,San Miguel,Playa,160,89,223,2021,4,27,2,55.625,Media,19847
443,2021-02-27,La Paz,Playa,87,34,36,2021,2,27,1,39.08045977011494,Baja,1224
444,2024-08-05,Usulutan,Playa,133,39,98,2024,8,5,3,29.32330827067669,Baja,3822
448,2023-05-15,San Salvador,Ciudad,127,55,178,2023,5,15,2,43.30708661417323,Media,9790
451,2021-10-14,San Miguel,Montaña,30,25,199,2021,10,14,4,83.33333333333334,Alta,4975
452,2024-08-22,Ahuachapan,Rural,138,9,192,2024,8,22,3,6.521739130434782,Baja,1728
453,2023-06-20,Usulutan,Montaña,171,89,133,2023,6,20,2,52.046783625730995,Media,11837
454,2024-06-21,San Salvador,Playa,93,72,50,2024,6,21,2,77.41935483870968,Alta,3600
456,2022-11-18,San Salvador,Playa,188,179,168,2022,11,18,4,95.2127659574468,Alta,30072
457,2021-05-06,Santa Ana,Playa,196,11,201,2021,5,6,2,5.612244897959184,Baja,2211
458,2023-05-16,La Libertad,Montaña,97,11,91,2023,5,16,2,11.34020618556701,Baja,1001
459,2023-10-12,Usulutan,Montaña,186,110,205,2023,10,12,4,59.13978494623656,Media,22550
460,2021-01-24,Sonsonate,Ciudad,102,55,98,2021,1,24,1,53.92156862745098,Media,5390
461,2022-10-25,Usulutan,Playa,106,52,56,2022,10,25,4,49.056603773584904,Media,2912
463,2024-11-23,San Salvador,Ciudad,124,5,121,2024,11,23,4,4.032258064516129,Baja,605
464,2022-11-10,San Salvador,Playa,133,66,180,2022,11,10,4,49.62406015037594,Media,11880
465,2023-12-05,San Salvador,Rural,94,94,78,2023,12,5,4,100.0,Alta,7332
466,2023-04-01,San Miguel,Rural,199,90,58,2023,4,1,2,45.22613065326633,Media,5220
471,2024-06-16,Usulutan,Playa,101,41,84,2024,6,16,2,40.5940594059406,Media,3444
473,2021-12-22,San Salvador,Playa,84,73,92,2021,12,22,4,86.90476190476191,Alta,6716
474,2024-01-26,San Salvador,Rural,117,34,92,2024,1,26,1,29.059829059829063,Baja,3128
475,2021-09-02,La Libertad,Playa,197,175,195,2021,9,2,3,88.83248730964468,Alta,34125
477,2024-01-06,Sonsonate,Ciudad,140,70,238,2024,1,6,1,50.0,Media,16660
478,2021-09-16,San Salvador,Rural,83,42,225,2021,9,16,3,50.602409638554214,Media,9450
480,2021-01-15,San Salvador,Ciudad,67,51,83,2021,1,15,1,76.11940298507463,Alta,4233
481,2024-06-17,La Paz,Montaña,175,126,54,2024,6,17,2,72.0,Alta,6804
482,2021-11-10,San Miguel,Ciudad,126,16,63,2021,11,10,4,12.698412698412698,Baja,1008
483,2024-10-14,Santa Ana,Ciudad,136,63,197,2024,10,14,4,46.32352941176471,Media,12411
485,2023-05-08,Sonsonate,Rural,36,23,226,2023,5,8,2,63.888888888888886,Media,5198
486,2023-09-13,La Paz,Ciudad,157,145,243,2023,9,13,3,92.35668789808918,Alta,35235
487,2022-06-16,Santa Ana,Rural,127,75,175,2022,6,16,2,59.055118110236215,Media,13125
488,2021-09-23,La Paz,Rural,104,79,65,2021,9,23,3,75.96153846153845,Alta,5135
490,2023-05-30,San Salvador,Ciudad,43,18,94,2023,5,30,2,41.86046511627907,Media,1692
